participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PA:	wait and it's a gold good job team we did that one	['wait', 'and', 'it', 'is', 'a', 'gold', 'good', 'job', 'team', 'we', 'did', 'that', 'one']	['wait', 'and', 'it', 'be', 'a', 'gold', 'good', 'job', 'team', 'we', 'do', 'that', 'one']	[('wait', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('gold', 'NN'), ('good', 'JJ'), ('job', 'NN'), ('team', 'NN'), ('we', 'PRP'), ('did', 'VBD'), ('that', 'IN'), ('one', 'CD')]	[('wait', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('gold', 'NN'), ('good', 'JJ'), ('job', 'NN'), ('team', 'NN'), ('we', 'PRP'), ('do', 'VBP'), ('that', 'DT'), ('one', 'CD')]	[('wait', 'VB'), ('and', 'CC'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('gold', 'NN'), ('good', 'JJ'), ('job', 'NN'), ('team', 'NN'), ('we', 'PRP'), ('did', 'VBD'), ('that', 'DT'), ('one', 'CD')]	[('wait', 'VB'), ('and', 'CC'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('gold', 'NN'), ('good', 'JJ'), ('job', 'NN'), ('team', 'NN'), ('we', 'PRP'), ('do', 'VBP'), ('that', 'DT'), ('one', 'CD')]	ASU-T40_ExpBlock2-GreenApple-1.txt
PC:	we did that one let's try okay no i don't want that one	['we', 'did', 'that', 'one', 'let', 'us', 'try', 'okay', 'no', 'i', 'do', 'not', 'want', 'that', 'one']	['we', 'do', 'that', 'one', 'let', 'u', 'try', 'okay', 'no', 'i', 'do', 'not', 'want', 'that', 'one']	[('we', 'PRP'), ('did', 'VBD'), ('that', 'IN'), ('one', 'CD'), ('let', 'NN'), ('us', 'PRP'), ('try', 'VB'), ('okay', 'IN'), ('no', 'DT'), ('i', 'NN'), ('do', 'VBP'), ('not', 'RB'), ('want', 'VB'), ('that', 'IN'), ('one', 'CD')]	[('we', 'PRP'), ('do', 'VBP'), ('that', 'DT'), ('one', 'CD'), ('let', 'NN'), ('u', 'JJ'), ('try', 'VB'), ('okay', 'IN'), ('no', 'DT'), ('i', 'NN'), ('do', 'VBP'), ('not', 'RB'), ('want', 'VB'), ('that', 'IN'), ('one', 'CD')]	[('we', 'PRP'), ('did', 'VBD'), ('that', 'DT'), ('one', 'CD'), ('let', 'VB'), ('us', 'PRP'), ('try', 'VB'), ('okay', 'JJ'), ('no', 'DT'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('want', 'VB'), ('that', 'DT'), ('one', 'CD')]	[('we', 'PRP'), ('do', 'VBP'), ('that', 'DT'), ('one', 'CD'), ('let', 'VBD'), ('u', 'NN'), ('try', 'VBP'), ('okay', 'JJ'), ('no', 'DT'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('want', 'VB'), ('that', 'DT'), ('one', 'CD')]	ASU-T40_ExpBlock2-GreenApple-1.txt
PB:	 the apple again  	['the', 'apple', 'again']	['the', 'apple', 'again']	[('the', 'DT'), ('apple', 'NN'), ('again', 'RB')]	[('the', 'DT'), ('apple', 'NN'), ('again', 'RB')]	[('the', 'DT'), ('apple', 'NN'), ('again', 'RB')]	[('the', 'DT'), ('apple', 'NN'), ('again', 'RB')]	ASU-T40_ExpBlock2-GreenApple-1.txt
PC:	how do i	['how', 'do', 'i']	['how', 'do', 'i']	[('how', 'WRB'), ('do', 'VBP'), ('i', 'VB')]	[('how', 'WRB'), ('do', 'VBP'), ('i', 'VB')]	[('how', 'WRB'), ('do', 'VBP'), ('i', 'FW')]	[('how', 'WRB'), ('do', 'VBP'), ('i', 'FW')]	ASU-T40_ExpBlock2-GreenApple-1.txt
PA:	to get out you can oh no press enter to select no ugh	['to', 'get', 'out', 'you', 'can', 'oh', 'no', 'press', 'enter', 'to', 'select', 'no', 'ugh']	['to', 'get', 'out', 'you', 'can', 'oh', 'no', 'press', 'enter', 'to', 'select', 'no', 'ugh']	[('to', 'TO'), ('get', 'VB'), ('out', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('oh', 'VB'), ('no', 'DT'), ('press', 'NN'), ('enter', 'NN'), ('to', 'TO'), ('select', 'VB'), ('no', 'DT'), ('ugh', 'NN')]	[('to', 'TO'), ('get', 'VB'), ('out', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('oh', 'VB'), ('no', 'DT'), ('press', 'NN'), ('enter', 'NN'), ('to', 'TO'), ('select', 'VB'), ('no', 'DT'), ('ugh', 'NN')]	[('to', 'TO'), ('get', 'VB'), ('out', 'RP'), ('you', 'PRP'), ('can', 'MD'), ('oh', 'UH'), ('no', 'DT'), ('press', 'NN'), ('enter', 'VB'), ('to', 'TO'), ('select', 'VB'), ('no', 'DT'), ('ugh', 'NN')]	[('to', 'TO'), ('get', 'VB'), ('out', 'RP'), ('you', 'PRP'), ('can', 'MD'), ('oh', 'UH'), ('no', 'DT'), ('press', 'NN'), ('enter', 'VB'), ('to', 'TO'), ('select', 'VB'), ('no', 'DT'), ('ugh', 'NN')]	ASU-T40_ExpBlock2-GreenApple-1.txt
PB:	looks like we're playing the apple game	['looks', 'like', 'we', 'are', 'playing', 'the', 'apple', 'game']	['look', 'like', 'we', 'be', 'play', 'the', 'apple', 'game']	[('looks', 'NNS'), ('like', 'IN'), ('we', 'PRP'), ('are', 'VBP'), ('playing', 'VBG'), ('the', 'DT'), ('apple', 'NN'), ('game', 'NN')]	[('look', 'NN'), ('like', 'IN'), ('we', 'PRP'), ('be', 'VB'), ('play', 'VBN'), ('the', 'DT'), ('apple', 'NN'), ('game', 'NN')]	[('looks', 'NNS'), ('like', 'IN'), ('we', 'PRP'), ('are', 'VBP'), ('playing', 'VBG'), ('the', 'DT'), ('apple', 'NN'), ('game', 'NN')]	[('look', 'VB'), ('like', 'IN'), ('we', 'PRP'), ('be', 'VB'), ('play', 'VB'), ('the', 'DT'), ('apple', 'NN'), ('game', 'NN')]	ASU-T40_ExpBlock2-GreenApple-1.txt
PA:	what about escape yeah do that again	['what', 'about', 'escape', 'yeah', 'do', 'that', 'again']	['what', 'about', 'escape', 'yeah', 'do', 'that', 'again']	[('what', 'WP'), ('about', 'IN'), ('escape', 'NN'), ('yeah', 'NNS'), ('do', 'VBP'), ('that', 'DT'), ('again', 'RB')]	[('what', 'WP'), ('about', 'IN'), ('escape', 'NN'), ('yeah', 'NNS'), ('do', 'VBP'), ('that', 'DT'), ('again', 'RB')]	[('what', 'WP'), ('about', 'IN'), ('escape', 'NN'), ('yeah', 'NN'), ('do', 'VBP'), ('that', 'DT'), ('again', 'RB')]	[('what', 'WP'), ('about', 'IN'), ('escape', 'NN'), ('yeah', 'NN'), ('do', 'VBP'), ('that', 'DT'), ('again', 'RB')]	ASU-T40_ExpBlock2-GreenApple-1.txt
PC:	the apple one again	['the', 'apple', 'one', 'again']	['the', 'apple', 'one', 'again']	[('the', 'DT'), ('apple', 'NN'), ('one', 'CD'), ('again', 'RB')]	[('the', 'DT'), ('apple', 'NN'), ('one', 'CD'), ('again', 'RB')]	[('the', 'DT'), ('apple', 'NN'), ('one', 'CD'), ('again', 'RB')]	[('the', 'DT'), ('apple', 'NN'), ('one', 'CD'), ('again', 'RB')]	ASU-T40_ExpBlock2-GreenApple-1.txt
PA:	no like you put the weight there again	['no', 'like', 'you', 'put', 'the', 'weight', 'there', 'again']	['no', 'like', 'you', 'put', 'the', 'weight', 'there', 'again']	[('no', 'DT'), ('like', 'IN'), ('you', 'PRP'), ('put', 'VBP'), ('the', 'DT'), ('weight', 'NN'), ('there', 'RB'), ('again', 'RB')]	[('no', 'DT'), ('like', 'IN'), ('you', 'PRP'), ('put', 'VBP'), ('the', 'DT'), ('weight', 'NN'), ('there', 'RB'), ('again', 'RB')]	[('no', 'DT'), ('like', 'IN'), ('you', 'PRP'), ('put', 'VBP'), ('the', 'DT'), ('weight', 'NN'), ('there', 'RB'), ('again', 'RB')]	[('no', 'DT'), ('like', 'IN'), ('you', 'PRP'), ('put', 'VBP'), ('the', 'DT'), ('weight', 'NN'), ('there', 'RB'), ('again', 'RB')]	ASU-T40_ExpBlock2-GreenApple-1.txt
PB:	yeah we're going to play this one again to get out of it	['yeah', 'we', 'are', 'going', 'to', 'play', 'this', 'one', 'again', 'to', 'get', 'out', 'of', 'it']	['yeah', 'we', 'be', 'go', 'to', 'play', 'this', 'one', 'again', 'to', 'get', 'out', 'of', 'it']	[('yeah', 'NN'), ('we', 'PRP'), ('are', 'VBP'), ('going', 'VBG'), ('to', 'TO'), ('play', 'VB'), ('this', 'DT'), ('one', 'CD'), ('again', 'RB'), ('to', 'TO'), ('get', 'VB'), ('out', 'IN'), ('of', 'IN'), ('it', 'PRP')]	[('yeah', 'NN'), ('we', 'PRP'), ('be', 'VB'), ('go', 'VBN'), ('to', 'TO'), ('play', 'VB'), ('this', 'DT'), ('one', 'CD'), ('again', 'RB'), ('to', 'TO'), ('get', 'VB'), ('out', 'IN'), ('of', 'IN'), ('it', 'PRP')]	[('yeah', 'NN'), ('we', 'PRP'), ('are', 'VBP'), ('going', 'VBG'), ('to', 'TO'), ('play', 'VB'), ('this', 'DT'), ('one', 'CD'), ('again', 'RB'), ('to', 'TO'), ('get', 'VB'), ('out', 'IN'), ('of', 'IN'), ('it', 'PRP')]	[('yeah', 'NN'), ('we', 'PRP'), ('be', 'VB'), ('go', 'VB'), ('to', 'TO'), ('play', 'VB'), ('this', 'DT'), ('one', 'CD'), ('again', 'RB'), ('to', 'TO'), ('get', 'VB'), ('out', 'IN'), ('of', 'IN'), ('it', 'PRP')]	ASU-T40_ExpBlock2-GreenApple-1.txt
