participant,content,token,lemma,tagged_token,tagged_lemma,tagged_stan_token,tagged_stan_lemma,file,content1,content2,utter_order,content1_embedding_bert-base-uncased,content2_embedding_bert-base-uncased,content1_embedding_bert-base-uncased_content2_embedding_bert-base-uncased_cosine_similarity
PC:,i thought that maybe that would do something,"['i', 'thought', 'that', 'maybe', 'that', 'would', 'do', 'something']","['i', 'think', 'that', 'maybe', 'that', 'would', 'do', 'something']","[('i', 'NN'), ('thought', 'VBD'), ('that', 'IN'), ('maybe', 'NN'), ('that', 'WDT'), ('would', 'MD'), ('do', 'VB'), ('something', 'NN')]","[('i', 'NN'), ('think', 'VBP'), ('that', 'IN'), ('maybe', 'RB'), ('that', 'DT'), ('would', 'MD'), ('do', 'VB'), ('something', 'NN')]","[('i', 'LS'), ('thought', 'VBD'), ('that', 'IN'), ('maybe', 'RB'), ('that', 'DT'), ('would', 'MD'), ('do', 'VB'), ('something', 'NN')]","[('i', 'FW'), ('think', 'VBP'), ('that', 'IN'), ('maybe', 'RB'), ('that', 'DT'), ('would', 'MD'), ('do', 'VB'), ('something', 'NN')]",ASU-T10_ExpBlock2-DolphinShow.txt,i thought that maybe that would do something,i think you have to c maybe close it and it will work you didn't close the circle all the way,PC: PA:,,,
PA:,i think you have to c maybe close it and it will work you didn't close the circle all the way,"['i', 'think', 'you', 'have', 'to', 'c', 'maybe', 'close', 'it', 'and', 'it', 'will', 'work', 'you', 'did', 'not', 'close', 'the', 'circle', 'all', 'the', 'way']","['i', 'think', 'you', 'have', 'to', 'c', 'maybe', 'close', 'it', 'and', 'it', 'will', 'work', 'you', 'do', 'not', 'close', 'the', 'circle', 'all', 'the', 'way']","[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('c', 'VB'), ('maybe', 'RB'), ('close', 'JJ'), ('it', 'PRP'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('work', 'VB'), ('you', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('close', 'VB'), ('the', 'DT'), ('circle', 'NN'), ('all', 'PDT'), ('the', 'DT'), ('way', 'NN')]","[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('c', 'VB'), ('maybe', 'RB'), ('close', 'JJ'), ('it', 'PRP'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('work', 'VB'), ('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('close', 'VB'), ('the', 'DT'), ('circle', 'NN'), ('all', 'PDT'), ('the', 'DT'), ('way', 'NN')]","[('i', 'LS'), ('think', 'VB'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('c', 'NN'), ('maybe', 'RB'), ('close', 'RB'), ('it', 'PRP'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('work', 'VB'), ('you', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('close', 'VB'), ('the', 'DT'), ('circle', 'NN'), ('all', 'PDT'), ('the', 'DT'), ('way', 'NN')]","[('i', 'LS'), ('think', 'VB'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('c', 'NN'), ('maybe', 'RB'), ('close', 'RB'), ('it', 'PRP'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('work', 'VB'), ('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('close', 'VB'), ('the', 'DT'), ('circle', 'NN'), ('all', 'PDT'), ('the', 'DT'), ('way', 'NN')]",ASU-T10_ExpBlock2-DolphinShow.txt,i think you have to c maybe close it and it will work you didn't close the circle all the way,should i restart this it's like down there,PA: PC:,,,
PC:,should i restart this it's like down there,"['should', 'i', 'start', 'this', 'it', 'is', 'like', 'down', 'there']","['should', 'i', 'start', 'this', 'it', 'be', 'like', 'down', 'there']","[('should', 'MD'), ('i', 'VB'), ('start', 'VB'), ('this', 'DT'), ('it', 'PRP'), ('is', 'VBZ'), ('like', 'IN'), ('down', 'IN'), ('there', 'EX')]","[('should', 'MD'), ('i', 'VB'), ('start', 'VB'), ('this', 'DT'), ('it', 'PRP'), ('be', 'VB'), ('like', 'IN'), ('down', 'RB'), ('there', 'EX')]","[('should', 'MD'), ('i', 'FW'), ('start', 'VB'), ('this', 'DT'), ('it', 'PRP'), ('is', 'VBZ'), ('like', 'IN'), ('down', 'RB'), ('there', 'RB')]","[('should', 'MD'), ('i', 'FW'), ('start', 'VB'), ('this', 'DT'), ('it', 'PRP'), ('be', 'VB'), ('like', 'IN'), ('down', 'RB'), ('there', 'RB')]",ASU-T10_ExpBlock2-DolphinShow.txt,should i restart this it's like down there,yeah i would just restart it,PC: PA:,,,
PA:,yeah i would just restart it,"['yeah', 'i', 'would', 'just', 'start', 'it']","['yeah', 'i', 'would', 'just', 'start', 'it']","[('yeah', 'NN'), ('i', 'NN'), ('would', 'MD'), ('just', 'RB'), ('start', 'VB'), ('it', 'PRP')]","[('yeah', 'NN'), ('i', 'NN'), ('would', 'MD'), ('just', 'RB'), ('start', 'VB'), ('it', 'PRP')]","[('yeah', 'JJ'), ('i', 'FW'), ('would', 'MD'), ('just', 'RB'), ('start', 'VB'), ('it', 'PRP')]","[('yeah', 'JJ'), ('i', 'FW'), ('would', 'MD'), ('just', 'RB'), ('start', 'VB'), ('it', 'PRP')]",ASU-T10_ExpBlock2-DolphinShow.txt,yeah i would just restart it,okay now what  ,PA: PC:,,,
PC:,okay now what  ,"['okay', 'now', 'what']","['okay', 'now', 'what']","[('okay', 'RB'), ('now', 'RB'), ('what', 'WP')]","[('okay', 'RB'), ('now', 'RB'), ('what', 'WP')]","[('okay', 'JJ'), ('now', 'RB'), ('what', 'WP')]","[('okay', 'JJ'), ('now', 'RB'), ('what', 'WP')]",ASU-T10_ExpBlock2-DolphinShow.txt,okay now what  ,you didn't close it,PC: PA:,,,
PA:,you didn't close it,"['you', 'did', 'not', 'close', 'it']","['you', 'do', 'not', 'close', 'it']","[('you', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('close', 'VB'), ('it', 'PRP')]","[('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('close', 'VB'), ('it', 'PRP')]","[('you', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('close', 'VB'), ('it', 'PRP')]","[('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('close', 'VB'), ('it', 'PRP')]",ASU-T10_ExpBlock2-DolphinShow.txt,you didn't close it,yeah but what does it matter if i close it,PA: PC:,,,
PC:,yeah but what does it matter if i close it,"['yeah', 'but', 'what', 'does', 'it', 'matter', 'if', 'i', 'close', 'it']","['yeah', 'but', 'what', 'do', 'it', 'matter', 'if', 'i', 'close', 'it']","[('yeah', 'NN'), ('but', 'CC'), ('what', 'WP'), ('does', 'VBZ'), ('it', 'PRP'), ('matter', 'VB'), ('if', 'IN'), ('i', 'RB'), ('close', 'VBP'), ('it', 'PRP')]","[('yeah', 'NN'), ('but', 'CC'), ('what', 'WP'), ('do', 'VBP'), ('it', 'PRP'), ('matter', 'VB'), ('if', 'IN'), ('i', 'RB'), ('close', 'VBP'), ('it', 'PRP')]","[('yeah', 'NN'), ('but', 'CC'), ('what', 'WP'), ('does', 'VBZ'), ('it', 'PRP'), ('matter', 'VB'), ('if', 'IN'), ('i', 'FW'), ('close', 'VB'), ('it', 'PRP')]","[('yeah', 'NN'), ('but', 'CC'), ('what', 'WP'), ('do', 'VBP'), ('it', 'PRP'), ('matter', 'VB'), ('if', 'IN'), ('i', 'FW'), ('close', 'VB'), ('it', 'PRP')]",ASU-T10_ExpBlock2-DolphinShow.txt,yeah but what does it matter if i close it, we could make another pendulum and it could swing up to it,PC: PA:,,,
PA:, we could make another pendulum and it could swing up to it,"['we', 'could', 'make', 'another', 'pendulum', 'and', 'it', 'could', 'swing', 'up', 'to', 'it']","['we', 'could', 'make', 'another', 'pendulum', 'and', 'it', 'could', 'swing', 'up', 'to', 'it']","[('we', 'PRP'), ('could', 'MD'), ('make', 'VB'), ('another', 'DT'), ('pendulum', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('could', 'MD'), ('swing', 'VB'), ('up', 'RP'), ('to', 'TO'), ('it', 'PRP')]","[('we', 'PRP'), ('could', 'MD'), ('make', 'VB'), ('another', 'DT'), ('pendulum', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('could', 'MD'), ('swing', 'VB'), ('up', 'RP'), ('to', 'TO'), ('it', 'PRP')]","[('we', 'PRP'), ('could', 'MD'), ('make', 'VB'), ('another', 'DT'), ('pendulum', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('could', 'MD'), ('swing', 'VB'), ('up', 'RP'), ('to', 'TO'), ('it', 'PRP')]","[('we', 'PRP'), ('could', 'MD'), ('make', 'VB'), ('another', 'DT'), ('pendulum', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('could', 'MD'), ('swing', 'VB'), ('up', 'RP'), ('to', 'TO'), ('it', 'PRP')]",ASU-T10_ExpBlock2-DolphinShow.txt, we could make another pendulum and it could swing up to it,okay okay,PA: PC:,,,
PC:,okay okay,"['okay', 'okay']","['okay', 'okay']","[('okay', 'NN'), ('okay', 'NN')]","[('okay', 'NN'), ('okay', 'NN')]","[('okay', 'JJ'), ('okay', 'JJ')]","[('okay', 'JJ'), ('okay', 'JJ')]",ASU-T10_ExpBlock2-DolphinShow.txt,okay okay,you're gonna have to swing up somehow,PC: PB:,,,
PB:,you're gonna have to swing up somehow,"['you', 'are', 'on', 'na', 'have', 'to', 'swing', 'up', 'somehow']","['you', 'be', 'on', 'na', 'have', 'to', 'swing', 'up', 'somehow']","[('you', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'NNS'), ('have', 'VBP'), ('to', 'TO'), ('swing', 'VBG'), ('up', 'RP'), ('somehow', 'RB')]","[('you', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'NNS'), ('have', 'VBP'), ('to', 'TO'), ('swing', 'VBG'), ('up', 'RP'), ('somehow', 'RB')]","[('you', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'TO'), ('have', 'VB'), ('to', 'TO'), ('swing', 'VB'), ('up', 'RP'), ('somehow', 'RB')]","[('you', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('have', 'VB'), ('to', 'TO'), ('swing', 'VB'), ('up', 'RP'), ('somehow', 'RB')]",ASU-T10_ExpBlock2-DolphinShow.txt,you're gonna have to swing up somehow, well i don't really know how we're gonna get it to swing regardless though   'cause it's gonna be heavy,PB: PC:,,,
