participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PC:	weight on this side it would like	['weight', 'on', 'this', 'side', 'it', 'would', 'like']	['weight', 'on', 'this', 'side', 'it', 'would', 'like']	[('weight', 'NN'), ('on', 'IN'), ('this', 'DT'), ('side', 'NN'), ('it', 'PRP'), ('would', 'MD'), ('like', 'VB')]	[('weight', 'NN'), ('on', 'IN'), ('this', 'DT'), ('side', 'NN'), ('it', 'PRP'), ('would', 'MD'), ('like', 'VB')]	[('weight', 'NN'), ('on', 'IN'), ('this', 'DT'), ('side', 'NN'), ('it', 'PRP'), ('would', 'MD'), ('like', 'VB')]	[('weight', 'NN'), ('on', 'IN'), ('this', 'DT'), ('side', 'NN'), ('it', 'PRP'), ('would', 'MD'), ('like', 'VB')]	ASU-T83-ExpBlock2-Oneatatime.txt
PB:	a lot of weight and it'll fling up   this should be okay	['a', 'lot', 'of', 'weight', 'and', 'it', 'will', 'fling', 'up', 'this', 'should', 'be', 'okay']	['a', 'lot', 'of', 'weight', 'and', 'it', 'will', 'fling', 'up', 'this', 'should', 'be', 'okay']	[('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('weight', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('fling', 'VBG'), ('up', 'RP'), ('this', 'DT'), ('should', 'MD'), ('be', 'VB'), ('okay', 'JJ')]	[('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('weight', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('fling', 'VBG'), ('up', 'RP'), ('this', 'DT'), ('should', 'MD'), ('be', 'VB'), ('okay', 'JJ')]	[('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('weight', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('fling', 'VB'), ('up', 'RP'), ('this', 'DT'), ('should', 'MD'), ('be', 'VB'), ('okay', 'JJ')]	[('a', 'DT'), ('lot', 'NN'), ('of', 'IN'), ('weight', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('fling', 'VB'), ('up', 'RP'), ('this', 'DT'), ('should', 'MD'), ('be', 'VB'), ('okay', 'JJ')]	ASU-T83-ExpBlock2-Oneatatime.txt
PA:	  it's a lot    just disconnect it see what  now it's all	['it', 'is', 'a', 'lot', 'just', 'discontent', 'it', 'see', 'what', 'now', 'it', 'is', 'all']	['it', 'be', 'a', 'lot', 'just', 'discontent', 'it', 'see', 'what', 'now', 'it', 'be', 'all']	[('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('lot', 'NN'), ('just', 'RB'), ('discontent', 'VB'), ('it', 'PRP'), ('see', 'VB'), ('what', 'WP'), ('now', 'RB'), ('it', 'PRP'), ('is', 'VBZ'), ('all', 'DT')]	[('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('lot', 'NN'), ('just', 'RB'), ('discontent', 'VB'), ('it', 'PRP'), ('see', 'VB'), ('what', 'WP'), ('now', 'RB'), ('it', 'PRP'), ('be', 'VB'), ('all', 'DT')]	[('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('lot', 'NN'), ('just', 'RB'), ('discontent', 'NN'), ('it', 'PRP'), ('see', 'VBP'), ('what', 'WP'), ('now', 'RB'), ('it', 'PRP'), ('is', 'VBZ'), ('all', 'DT')]	[('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('lot', 'NN'), ('just', 'RB'), ('discontent', 'NN'), ('it', 'PRP'), ('see', 'VBP'), ('what', 'WP'), ('now', 'RB'), ('it', 'PRP'), ('be', 'VB'), ('all', 'DT')]	ASU-T83-ExpBlock2-Oneatatime.txt
PB:	now we have to start over	['now', 'we', 'have', 'to', 'start', 'over']	['now', 'we', 'have', 'to', 'start', 'over']	[('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('start', 'VB'), ('over', 'IN')]	[('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('start', 'VB'), ('over', 'IN')]	[('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('start', 'VB'), ('over', 'IN')]	[('now', 'RB'), ('we', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('start', 'VB'), ('over', 'IN')]	ASU-T83-ExpBlock2-Oneatatime.txt
PA:	i would hit restart 'cause i don't think you're gonna be able to get that on the other side again so just hit escape and restart	['i', 'would', 'hit', 'start', 'because', 'i', 'do', 'not', 'think', 'you', 'are', 'on', 'na', 'be', 'able', 'to', 'get', 'that', 'on', 'the', 'other', 'side', 'again', 'so', 'just', 'hit', 'escape', 'and', 'start']	['i', 'would', 'hit', 'start', 'because', 'i', 'do', 'not', 'think', 'you', 'be', 'on', 'na', 'be', 'able', 'to', 'get', 'that', 'on', 'the', 'other', 'side', 'again', 'so', 'just', 'hit', 'escape', 'and', 'start']	[('i', 'NN'), ('would', 'MD'), ('hit', 'VB'), ('start', 'NN'), ('because', 'IN'), ('i', 'NN'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('you', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'JJ'), ('be', 'VB'), ('able', 'JJ'), ('to', 'TO'), ('get', 'VB'), ('that', 'DT'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('side', 'NN'), ('again', 'RB'), ('so', 'RB'), ('just', 'RB'), ('hit', 'VBN'), ('escape', 'NN'), ('and', 'CC'), ('start', 'VB')]	[('i', 'NN'), ('would', 'MD'), ('hit', 'VB'), ('start', 'NN'), ('because', 'IN'), ('i', 'NN'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('you', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'JJ'), ('be', 'VB'), ('able', 'JJ'), ('to', 'TO'), ('get', 'VB'), ('that', 'DT'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('side', 'NN'), ('again', 'RB'), ('so', 'RB'), ('just', 'RB'), ('hit', 'VBN'), ('escape', 'NN'), ('and', 'CC'), ('start', 'VB')]	[('i', 'LS'), ('would', 'MD'), ('hit', 'VB'), ('start', 'NN'), ('because', 'IN'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('you', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'TO'), ('be', 'VB'), ('able', 'JJ'), ('to', 'TO'), ('get', 'VB'), ('that', 'DT'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('side', 'NN'), ('again', 'RB'), ('so', 'RB'), ('just', 'RB'), ('hit', 'VBN'), ('escape', 'NN'), ('and', 'CC'), ('start', 'NN')]	[('i', 'LS'), ('would', 'MD'), ('hit', 'VB'), ('start', 'NN'), ('because', 'IN'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('you', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('be', 'VB'), ('able', 'JJ'), ('to', 'TO'), ('get', 'VB'), ('that', 'DT'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('side', 'NN'), ('again', 'RB'), ('so', 'RB'), ('just', 'RB'), ('hit', 'VBN'), ('escape', 'NN'), ('and', 'CC'), ('start', 'NN')]	ASU-T83-ExpBlock2-Oneatatime.txt
PC:	so do the same thing but with less weight	['so', 'do', 'the', 'same', 'thing', 'but', 'with', 'less', 'weight']	['so', 'do', 'the', 'same', 'thing', 'but', 'with', 'less', 'weight']	[('so', 'RB'), ('do', 'VB'), ('the', 'DT'), ('same', 'JJ'), ('thing', 'NN'), ('but', 'CC'), ('with', 'IN'), ('less', 'JJR'), ('weight', 'NN')]	[('so', 'RB'), ('do', 'VB'), ('the', 'DT'), ('same', 'JJ'), ('thing', 'NN'), ('but', 'CC'), ('with', 'IN'), ('less', 'JJR'), ('weight', 'NN')]	[('so', 'RB'), ('do', 'VB'), ('the', 'DT'), ('same', 'JJ'), ('thing', 'NN'), ('but', 'CC'), ('with', 'IN'), ('less', 'JJR'), ('weight', 'NN')]	[('so', 'RB'), ('do', 'VB'), ('the', 'DT'), ('same', 'JJ'), ('thing', 'NN'), ('but', 'CC'), ('with', 'IN'), ('less', 'JJR'), ('weight', 'NN')]	ASU-T83-ExpBlock2-Oneatatime.txt
PA:	do you know what maybe you could draw the at the okay at the bottom where the ball is i think you can make a line make like another dot on that green platform and then draw a line so the the bubble stops swinging does that make sense	['do', 'you', 'know', 'what', 'maybe', 'you', 'could', 'draw', 'the', 'at', 'the', 'okay', 'at', 'the', 'bottom', 'where', 'the', 'ball', 'is', 'i', 'think', 'you', 'can', 'make', 'a', 'line', 'make', 'like', 'another', 'dot', 'on', 'that', 'green', 'platform', 'and', 'then', 'draw', 'a', 'line', 'so', 'the', 'the', 'bubble', 'stops', 'swinging', 'does', 'that', 'make', 'sense']	['do', 'you', 'know', 'what', 'maybe', 'you', 'could', 'draw', 'the', 'at', 'the', 'okay', 'at', 'the', 'bottom', 'where', 'the', 'ball', 'be', 'i', 'think', 'you', 'can', 'make', 'a', 'line', 'make', 'like', 'another', 'dot', 'on', 'that', 'green', 'platform', 'and', 'then', 'draw', 'a', 'line', 'so', 'the', 'the', 'bubble', 'stop', 'swing', 'do', 'that', 'make', 'sense']	[('do', 'VB'), ('you', 'PRP'), ('know', 'VB'), ('what', 'WP'), ('maybe', 'RB'), ('you', 'PRP'), ('could', 'MD'), ('draw', 'VB'), ('the', 'DT'), ('at', 'IN'), ('the', 'DT'), ('okay', 'NN'), ('at', 'IN'), ('the', 'DT'), ('bottom', 'NN'), ('where', 'WRB'), ('the', 'DT'), ('ball', 'NN'), ('is', 'VBZ'), ('i', 'JJ'), ('think', 'VBP'), ('you', 'PRP'), ('can', 'MD'), ('make', 'VB'), ('a', 'DT'), ('line', 'NN'), ('make', 'NN'), ('like', 'IN'), ('another', 'DT'), ('dot', 'NN'), ('on', 'IN'), ('that', 'DT'), ('green', 'JJ'), ('platform', 'NN'), ('and', 'CC'), ('then', 'RB'), ('draw', 'VB'), ('a', 'DT'), ('line', 'NN'), ('so', 'IN'), ('the', 'DT'), ('the', 'DT'), ('bubble', 'JJ'), ('stops', 'NNS'), ('swinging', 'VBG'), ('does', 'VBZ'), ('that', 'IN'), ('make', 'VB'), ('sense', 'NN')]	[('do', 'VB'), ('you', 'PRP'), ('know', 'VB'), ('what', 'WP'), ('maybe', 'RB'), ('you', 'PRP'), ('could', 'MD'), ('draw', 'VB'), ('the', 'DT'), ('at', 'IN'), ('the', 'DT'), ('okay', 'NN'), ('at', 'IN'), ('the', 'DT'), ('bottom', 'NN'), ('where', 'WRB'), ('the', 'DT'), ('ball', 'NN'), ('be', 'VB'), ('i', 'JJ'), ('think', 'VBP'), ('you', 'PRP'), ('can', 'MD'), ('make', 'VB'), ('a', 'DT'), ('line', 'NN'), ('make', 'NN'), ('like', 'IN'), ('another', 'DT'), ('dot', 'NN'), ('on', 'IN'), ('that', 'DT'), ('green', 'JJ'), ('platform', 'NN'), ('and', 'CC'), ('then', 'RB'), ('draw', 'VB'), ('a', 'DT'), ('line', 'NN'), ('so', 'IN'), ('the', 'DT'), ('the', 'DT'), ('bubble', 'JJ'), ('stop', 'NN'), ('swing', 'NN'), ('do', 'VBP'), ('that', 'DT'), ('make', 'VB'), ('sense', 'NN')]	[('do', 'VB'), ('you', 'PRP'), ('know', 'VB'), ('what', 'WP'), ('maybe', 'RB'), ('you', 'PRP'), ('could', 'MD'), ('draw', 'VB'), ('the', 'DT'), ('at', 'IN'), ('the', 'DT'), ('okay', 'JJ'), ('at', 'IN'), ('the', 'DT'), ('bottom', 'NN'), ('where', 'WRB'), ('the', 'DT'), ('ball', 'NN'), ('is', 'VBZ'), ('i', 'FW'), ('think', 'VBP'), ('you', 'PRP'), ('can', 'MD'), ('make', 'VB'), ('a', 'DT'), ('line', 'NN'), ('make', 'VB'), ('like', 'IN'), ('another', 'DT'), ('dot', 'NN'), ('on', 'IN'), ('that', 'DT'), ('green', 'JJ'), ('platform', 'NN'), ('and', 'CC'), ('then', 'RB'), ('draw', 'VB'), ('a', 'DT'), ('line', 'NN'), ('so', 'IN'), ('the', 'DT'), ('the', 'DT'), ('bubble', 'NN'), ('stops', 'VBZ'), ('swinging', 'VBG'), ('does', 'VBZ'), ('that', 'IN'), ('make', 'VBP'), ('sense', 'NN')]	[('do', 'VB'), ('you', 'PRP'), ('know', 'VB'), ('what', 'WP'), ('maybe', 'RB'), ('you', 'PRP'), ('could', 'MD'), ('draw', 'VB'), ('the', 'DT'), ('at', 'IN'), ('the', 'DT'), ('okay', 'JJ'), ('at', 'IN'), ('the', 'DT'), ('bottom', 'NN'), ('where', 'WRB'), ('the', 'DT'), ('ball', 'NN'), ('be', 'VB'), ('i', 'FW'), ('think', 'VBP'), ('you', 'PRP'), ('can', 'MD'), ('make', 'VB'), ('a', 'DT'), ('line', 'NN'), ('make', 'VB'), ('like', 'IN'), ('another', 'DT'), ('dot', 'NN'), ('on', 'IN'), ('that', 'DT'), ('green', 'JJ'), ('platform', 'NN'), ('and', 'CC'), ('then', 'RB'), ('draw', 'VB'), ('a', 'DT'), ('line', 'NN'), ('so', 'IN'), ('the', 'DT'), ('the', 'DT'), ('bubble', 'NN'), ('stop', 'VB'), ('swing', 'NN'), ('do', 'VBP'), ('that', 'DT'), ('make', 'VBP'), ('sense', 'NN')]	ASU-T83-ExpBlock2-Oneatatime.txt
PC:	gosh i can't get this to delete	['gash', 'i', 'can', 'not', 'get', 'this', 'to', 'delete']	['gash', 'i', 'can', 'not', 'get', 'this', 'to', 'delete']	[('gash', 'NN'), ('i', 'NN'), ('can', 'MD'), ('not', 'RB'), ('get', 'VB'), ('this', 'DT'), ('to', 'TO'), ('delete', 'VB')]	[('gash', 'NN'), ('i', 'NN'), ('can', 'MD'), ('not', 'RB'), ('get', 'VB'), ('this', 'DT'), ('to', 'TO'), ('delete', 'VB')]	[('gash', 'NN'), ('i', 'FW'), ('can', 'MD'), ('not', 'RB'), ('get', 'VB'), ('this', 'DT'), ('to', 'TO'), ('delete', 'VB')]	[('gash', 'NN'), ('i', 'FW'), ('can', 'MD'), ('not', 'RB'), ('get', 'VB'), ('this', 'DT'), ('to', 'TO'), ('delete', 'VB')]	ASU-T83-ExpBlock2-Oneatatime.txt
PB:	you'll have to make it a triangle 'cause if it's just a line	['you', 'will', 'have', 'to', 'make', 'it', 'a', 'triangle', 'because', 'if', 'it', 'is', 'just', 'a', 'line']	['you', 'will', 'have', 'to', 'make', 'it', 'a', 'triangle', 'because', 'if', 'it', 'be', 'just', 'a', 'line']	[('you', 'PRP'), ('will', 'MD'), ('have', 'VB'), ('to', 'TO'), ('make', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('triangle', 'NN'), ('because', 'IN'), ('if', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('just', 'RB'), ('a', 'DT'), ('line', 'NN')]	[('you', 'PRP'), ('will', 'MD'), ('have', 'VB'), ('to', 'TO'), ('make', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('triangle', 'NN'), ('because', 'IN'), ('if', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('just', 'RB'), ('a', 'DT'), ('line', 'NN')]	[('you', 'PRP'), ('will', 'MD'), ('have', 'VB'), ('to', 'TO'), ('make', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('triangle', 'NN'), ('because', 'IN'), ('if', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('just', 'RB'), ('a', 'DT'), ('line', 'NN')]	[('you', 'PRP'), ('will', 'MD'), ('have', 'VB'), ('to', 'TO'), ('make', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('triangle', 'NN'), ('because', 'IN'), ('if', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('just', 'RB'), ('a', 'DT'), ('line', 'NN')]	ASU-T83-ExpBlock2-Oneatatime.txt
PA:	yeah yeah yeah	['yeah', 'yeah', 'yeah']	['yeah', 'yeah', 'yeah']	[('yeah', 'NN'), ('yeah', 'NN'), ('yeah', 'NN')]	[('yeah', 'NN'), ('yeah', 'NN'), ('yeah', 'NN')]	[('yeah', 'JJ'), ('yeah', 'JJ'), ('yeah', 'NN')]	[('yeah', 'JJ'), ('yeah', 'JJ'), ('yeah', 'NN')]	ASU-T83-ExpBlock2-Oneatatime.txt
