participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PC:	okay i feel like this is pretty easy we just make a ramp right	['okay', 'i', 'feel', 'like', 'this', 'is', 'pretty', 'easy', 'we', 'just', 'make', 'a', 'camp', 'right']	['okay', 'i', 'feel', 'like', 'this', 'be', 'pretty', 'easy', 'we', 'just', 'make', 'a', 'camp', 'right']	[('okay', 'NN'), ('i', 'NN'), ('feel', 'VBP'), ('like', 'IN'), ('this', 'DT'), ('is', 'VBZ'), ('pretty', 'JJ'), ('easy', 'JJ'), ('we', 'PRP'), ('just', 'RB'), ('make', 'VB'), ('a', 'DT'), ('camp', 'NN'), ('right', 'NN')]	[('okay', 'NN'), ('i', 'NN'), ('feel', 'VBP'), ('like', 'IN'), ('this', 'DT'), ('be', 'VB'), ('pretty', 'JJ'), ('easy', 'JJ'), ('we', 'PRP'), ('just', 'RB'), ('make', 'VB'), ('a', 'DT'), ('camp', 'NN'), ('right', 'NN')]	[('okay', 'JJ'), ('i', 'FW'), ('feel', 'VB'), ('like', 'IN'), ('this', 'DT'), ('is', 'VBZ'), ('pretty', 'RB'), ('easy', 'JJ'), ('we', 'PRP'), ('just', 'RB'), ('make', 'VBP'), ('a', 'DT'), ('camp', 'NN'), ('right', 'NN')]	[('okay', 'JJ'), ('i', 'FW'), ('feel', 'VB'), ('like', 'IN'), ('this', 'DT'), ('be', 'VB'), ('pretty', 'RB'), ('easy', 'RB'), ('we', 'PRP'), ('just', 'RB'), ('make', 'VBP'), ('a', 'DT'), ('camp', 'NN'), ('right', 'NN')]	ASU-T77-ExpBlock2-TrunkSlide.txt
PB:	 no i think you have to like click	['no', 'i', 'think', 'you', 'have', 'to', 'like', 'click']	['no', 'i', 'think', 'you', 'have', 'to', 'like', 'click']	[('no', 'DT'), ('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('like', 'VB'), ('click', 'NN')]	[('no', 'DT'), ('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('like', 'VB'), ('click', 'NN')]	[('no', 'DT'), ('i', 'FW'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VB'), ('to', 'TO'), ('like', 'VB'), ('click', 'NN')]	[('no', 'DT'), ('i', 'FW'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VB'), ('to', 'TO'), ('like', 'VB'), ('click', 'NN')]	ASU-T77-ExpBlock2-TrunkSlide.txt
PA:	put something behind it maybe to push it up the ramp yeah that	['put', 'something', 'behind', 'it', 'maybe', 'to', 'push', 'it', 'up', 'the', 'camp', 'yeah', 'that']	['put', 'something', 'behind', 'it', 'maybe', 'to', 'push', 'it', 'up', 'the', 'camp', 'yeah', 'that']	[('put', 'NN'), ('something', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('maybe', 'RB'), ('to', 'TO'), ('push', 'VB'), ('it', 'PRP'), ('up', 'RP'), ('the', 'DT'), ('camp', 'NN'), ('yeah', 'NN'), ('that', 'IN')]	[('put', 'NN'), ('something', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('maybe', 'RB'), ('to', 'TO'), ('push', 'VB'), ('it', 'PRP'), ('up', 'RP'), ('the', 'DT'), ('camp', 'NN'), ('yeah', 'NN'), ('that', 'IN')]	[('put', 'VBD'), ('something', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('maybe', 'RB'), ('to', 'TO'), ('push', 'VB'), ('it', 'PRP'), ('up', 'IN'), ('the', 'DT'), ('camp', 'NN'), ('yeah', 'NN'), ('that', 'WDT')]	[('put', 'VBD'), ('something', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('maybe', 'RB'), ('to', 'TO'), ('push', 'VB'), ('it', 'PRP'), ('up', 'IN'), ('the', 'DT'), ('camp', 'NN'), ('yeah', 'NN'), ('that', 'WDT')]	ASU-T77-ExpBlock2-TrunkSlide.txt
PC:	 there we go	['there', 'we', 'go']	['there', 'we', 'go']	[('there', 'EX'), ('we', 'PRP'), ('go', 'VBP')]	[('there', 'EX'), ('we', 'PRP'), ('go', 'VBP')]	[('there', 'RB'), ('we', 'PRP'), ('go', 'VBP')]	[('there', 'RB'), ('we', 'PRP'), ('go', 'VBP')]	ASU-T77-ExpBlock2-TrunkSlide.txt
PA:	and then you need to like put another    ball	['and', 'then', 'you', 'need', 'to', 'like', 'put', 'another', 'ball']	['and', 'then', 'you', 'need', 'to', 'like', 'put', 'another', 'ball']	[('and', 'CC'), ('then', 'RB'), ('you', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('like', 'VB'), ('put', 'VB'), ('another', 'DT'), ('ball', 'NN')]	[('and', 'CC'), ('then', 'RB'), ('you', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('like', 'VB'), ('put', 'VB'), ('another', 'DT'), ('ball', 'NN')]	[('and', 'CC'), ('then', 'RB'), ('you', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('like', 'VB'), ('put', 'JJ'), ('another', 'DT'), ('ball', 'NN')]	[('and', 'CC'), ('then', 'RB'), ('you', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('like', 'VB'), ('put', 'JJ'), ('another', 'DT'), ('ball', 'NN')]	ASU-T77-ExpBlock2-TrunkSlide.txt
PB:	you click on it wait what was	['you', 'click', 'on', 'it', 'wait', 'what', 'was']	['you', 'click', 'on', 'it', 'wait', 'what', 'be']	[('you', 'PRP'), ('click', 'VBP'), ('on', 'IN'), ('it', 'PRP'), ('wait', 'VBD'), ('what', 'WP'), ('was', 'VBD')]	[('you', 'PRP'), ('click', 'VBP'), ('on', 'IN'), ('it', 'PRP'), ('wait', 'VBD'), ('what', 'WP'), ('be', 'VB')]	[('you', 'PRP'), ('click', 'VBP'), ('on', 'IN'), ('it', 'PRP'), ('wait', 'VB'), ('what', 'WP'), ('was', 'VBD')]	[('you', 'PRP'), ('click', 'VBP'), ('on', 'IN'), ('it', 'PRP'), ('wait', 'VB'), ('what', 'WP'), ('be', 'VB')]	ASU-T77-ExpBlock2-TrunkSlide.txt
PA:	 yeah click for it to go	['yeah', 'click', 'for', 'it', 'to', 'go']	['yeah', 'click', 'for', 'it', 'to', 'go']	[('yeah', 'NN'), ('click', 'NN'), ('for', 'IN'), ('it', 'PRP'), ('to', 'TO'), ('go', 'VB')]	[('yeah', 'NN'), ('click', 'NN'), ('for', 'IN'), ('it', 'PRP'), ('to', 'TO'), ('go', 'VB')]	[('yeah', 'JJ'), ('click', 'NN'), ('for', 'IN'), ('it', 'PRP'), ('to', 'TO'), ('go', 'VB')]	[('yeah', 'JJ'), ('click', 'NN'), ('for', 'IN'), ('it', 'PRP'), ('to', 'TO'), ('go', 'VB')]	ASU-T77-ExpBlock2-TrunkSlide.txt
PC:	use the  click for it to go right	['use', 'the', 'click', 'for', 'it', 'to', 'go', 'right']	['use', 'the', 'click', 'for', 'it', 'to', 'go', 'right']	[('use', 'IN'), ('the', 'DT'), ('click', 'NN'), ('for', 'IN'), ('it', 'PRP'), ('to', 'TO'), ('go', 'VB'), ('right', 'JJ')]	[('use', 'IN'), ('the', 'DT'), ('click', 'NN'), ('for', 'IN'), ('it', 'PRP'), ('to', 'TO'), ('go', 'VB'), ('right', 'JJ')]	[('use', 'VB'), ('the', 'DT'), ('click', 'NN'), ('for', 'IN'), ('it', 'PRP'), ('to', 'TO'), ('go', 'VB'), ('right', 'RB')]	[('use', 'VB'), ('the', 'DT'), ('click', 'NN'), ('for', 'IN'), ('it', 'PRP'), ('to', 'TO'), ('go', 'VB'), ('right', 'RB')]	ASU-T77-ExpBlock2-TrunkSlide.txt
PB:	i feel like if you click	['i', 'feel', 'like', 'if', 'you', 'click']	['i', 'feel', 'like', 'if', 'you', 'click']	[('i', 'JJ'), ('feel', 'VBP'), ('like', 'IN'), ('if', 'IN'), ('you', 'PRP'), ('click', 'VBP')]	[('i', 'JJ'), ('feel', 'VBP'), ('like', 'IN'), ('if', 'IN'), ('you', 'PRP'), ('click', 'VBP')]	[('i', 'LS'), ('feel', 'VB'), ('like', 'IN'), ('if', 'IN'), ('you', 'PRP'), ('click', 'VBP')]	[('i', 'LS'), ('feel', 'VB'), ('like', 'IN'), ('if', 'IN'), ('you', 'PRP'), ('click', 'VBP')]	ASU-T77-ExpBlock2-TrunkSlide.txt
PA:	click or control click one of them	['click', 'or', 'control', 'click', 'one', 'of', 'them']	['click', 'or', 'control', 'click', 'one', 'of', 'them']	[('click', 'NN'), ('or', 'CC'), ('control', 'NN'), ('click', 'VBP'), ('one', 'CD'), ('of', 'IN'), ('them', 'PRP')]	[('click', 'NN'), ('or', 'CC'), ('control', 'NN'), ('click', 'VBP'), ('one', 'CD'), ('of', 'IN'), ('them', 'PRP')]	[('click', 'NN'), ('or', 'CC'), ('control', 'NN'), ('click', 'VBP'), ('one', 'CD'), ('of', 'IN'), ('them', 'PRP')]	[('click', 'NN'), ('or', 'CC'), ('control', 'NN'), ('click', 'VBP'), ('one', 'CD'), ('of', 'IN'), ('them', 'PRP')]	ASU-T77-ExpBlock2-TrunkSlide.txt
