participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PC:	yes my gosh that was good smart	['yes', 'my', 'gash', 'that', 'was', 'good', 'smart']	['yes', 'my', 'gash', 'that', 'be', 'good', 'smart']	[('yes', 'UH'), ('my', 'PRP$'), ('gash', 'NN'), ('that', 'WDT'), ('was', 'VBD'), ('good', 'JJ'), ('smart', 'NN')]	[('yes', 'UH'), ('my', 'PRP$'), ('gash', 'NN'), ('that', 'IN'), ('be', 'VB'), ('good', 'JJ'), ('smart', 'NN')]	[('yes', 'RB'), ('my', 'PRP$'), ('gash', 'NN'), ('that', 'WDT'), ('was', 'VBD'), ('good', 'JJ'), ('smart', 'JJ')]	[('yes', 'RB'), ('my', 'PRP$'), ('gash', 'NN'), ('that', 'IN'), ('be', 'VB'), ('good', 'JJ'), ('smart', 'JJ')]	ASU-T20_ExpBlock1-Caterpillar.txt
PB:	all right you want to try this caterpillar thing all right let's catch it that seems like a good starting point	['all', 'right', 'you', 'want', 'to', 'try', 'this', 'caterpillar', 'thing', 'all', 'right', 'let', 'us', 'catch', 'it', 'that', 'seems', 'like', 'a', 'good', 'starting', 'point']	['all', 'right', 'you', 'want', 'to', 'try', 'this', 'caterpillar', 'thing', 'all', 'right', 'let', 'u', 'catch', 'it', 'that', 'seem', 'like', 'a', 'good', 'starting', 'point']	[('all', 'DT'), ('right', 'NN'), ('you', 'PRP'), ('want', 'VBP'), ('to', 'TO'), ('try', 'VB'), ('this', 'DT'), ('caterpillar', 'JJ'), ('thing', 'NN'), ('all', 'DT'), ('right', 'JJ'), ('let', 'NN'), ('us', 'PRP'), ('catch', 'VB'), ('it', 'PRP'), ('that', 'WDT'), ('seems', 'VBZ'), ('like', 'IN'), ('a', 'DT'), ('good', 'JJ'), ('starting', 'NN'), ('point', 'NN')]	[('all', 'DT'), ('right', 'NN'), ('you', 'PRP'), ('want', 'VBP'), ('to', 'TO'), ('try', 'VB'), ('this', 'DT'), ('caterpillar', 'JJ'), ('thing', 'NN'), ('all', 'DT'), ('right', 'JJ'), ('let', 'NN'), ('u', 'JJ'), ('catch', 'VB'), ('it', 'PRP'), ('that', 'WDT'), ('seem', 'VBP'), ('like', 'IN'), ('a', 'DT'), ('good', 'JJ'), ('starting', 'NN'), ('point', 'NN')]	[('all', 'DT'), ('right', 'JJ'), ('you', 'PRP'), ('want', 'VBP'), ('to', 'TO'), ('try', 'VB'), ('this', 'DT'), ('caterpillar', 'NN'), ('thing', 'NN'), ('all', 'RB'), ('right', 'RB'), ('let', 'VB'), ('us', 'PRP'), ('catch', 'VB'), ('it', 'PRP'), ('that', 'IN'), ('seems', 'VBZ'), ('like', 'IN'), ('a', 'DT'), ('good', 'JJ'), ('starting', 'VBG'), ('point', 'NN')]	[('all', 'DT'), ('right', 'JJ'), ('you', 'PRP'), ('want', 'VBP'), ('to', 'TO'), ('try', 'VB'), ('this', 'DT'), ('caterpillar', 'NN'), ('thing', 'NN'), ('all', 'RB'), ('right', 'RB'), ('let', 'VB'), ('u', 'NN'), ('catch', 'VB'), ('it', 'PRP'), ('that', 'IN'), ('seem', 'VBP'), ('like', 'IN'), ('a', 'DT'), ('good', 'JJ'), ('starting', 'VBG'), ('point', 'NN')]	ASU-T20_ExpBlock1-Caterpillar.txt
PA:	spring board again  we can make a spring board	['spring', 'board', 'again', 'we', 'can', 'make', 'a', 'spring', 'board']	['spring', 'board', 'again', 'we', 'can', 'make', 'a', 'spring', 'board']	[('spring', 'VBG'), ('board', 'NN'), ('again', 'RB'), ('we', 'PRP'), ('can', 'MD'), ('make', 'VB'), ('a', 'DT'), ('spring', 'NN'), ('board', 'NN')]	[('spring', 'VBG'), ('board', 'NN'), ('again', 'RB'), ('we', 'PRP'), ('can', 'MD'), ('make', 'VB'), ('a', 'DT'), ('spring', 'NN'), ('board', 'NN')]	[('spring', 'NN'), ('board', 'NN'), ('again', 'RB'), ('we', 'PRP'), ('can', 'MD'), ('make', 'VB'), ('a', 'DT'), ('spring', 'NN'), ('board', 'NN')]	[('spring', 'NN'), ('board', 'NN'), ('again', 'RB'), ('we', 'PRP'), ('can', 'MD'), ('make', 'VB'), ('a', 'DT'), ('spring', 'NN'), ('board', 'NN')]	ASU-T20_ExpBlock1-Caterpillar.txt
PB:	a scooper	['a', 'cooper']	['a', 'cooper']	[('a', 'DT'), ('cooper', 'NN')]	[('a', 'DT'), ('cooper', 'NN')]	[('a', 'DT'), ('cooper', 'NN')]	[('a', 'DT'), ('cooper', 'NN')]	ASU-T20_ExpBlock1-Caterpillar.txt
PA:	 no a spring board so like you know just pull down and it will go up that will work so 	['no', 'a', 'spring', 'board', 'so', 'like', 'you', 'know', 'just', 'pull', 'down', 'and', 'it', 'will', 'go', 'up', 'that', 'will', 'work', 'so']	['no', 'a', 'spring', 'board', 'so', 'like', 'you', 'know', 'just', 'pull', 'down', 'and', 'it', 'will', 'go', 'up', 'that', 'will', 'work', 'so']	[('no', 'DT'), ('a', 'DT'), ('spring', 'NN'), ('board', 'NN'), ('so', 'IN'), ('like', 'IN'), ('you', 'PRP'), ('know', 'VBP'), ('just', 'RB'), ('pull', 'VB'), ('down', 'RP'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('go', 'VB'), ('up', 'RP'), ('that', 'DT'), ('will', 'MD'), ('work', 'VB'), ('so', 'RB')]	[('no', 'DT'), ('a', 'DT'), ('spring', 'NN'), ('board', 'NN'), ('so', 'IN'), ('like', 'IN'), ('you', 'PRP'), ('know', 'VBP'), ('just', 'RB'), ('pull', 'VB'), ('down', 'RP'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('go', 'VB'), ('up', 'RP'), ('that', 'DT'), ('will', 'MD'), ('work', 'VB'), ('so', 'RB')]	[('no', 'DT'), ('a', 'DT'), ('spring', 'NN'), ('board', 'NN'), ('so', 'RB'), ('like', 'IN'), ('you', 'PRP'), ('know', 'VBP'), ('just', 'RB'), ('pull', 'VB'), ('down', 'RB'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('go', 'VB'), ('up', 'RP'), ('that', 'DT'), ('will', 'MD'), ('work', 'VB'), ('so', 'RB')]	[('no', 'DT'), ('a', 'DT'), ('spring', 'NN'), ('board', 'NN'), ('so', 'RB'), ('like', 'IN'), ('you', 'PRP'), ('know', 'VBP'), ('just', 'RB'), ('pull', 'VB'), ('down', 'RB'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('go', 'VB'), ('up', 'RP'), ('that', 'DT'), ('will', 'MD'), ('work', 'VB'), ('so', 'RB')]	ASU-T20_ExpBlock1-Caterpillar.txt
PB:	okay let's try catching it in something that will give us more space to work with like  okay and mamaybe then launch it	['okay', 'let', 'us', 'try', 'catching', 'it', 'in', 'something', 'that', 'will', 'give', 'us', 'more', 'space', 'to', 'work', 'with', 'like', 'okay', 'and', 'maybe', 'then', 'launch', 'it']	['okay', 'let', 'u', 'try', 'catch', 'it', 'in', 'something', 'that', 'will', 'give', 'u', 'more', 'space', 'to', 'work', 'with', 'like', 'okay', 'and', 'maybe', 'then', 'launch', 'it']	[('okay', 'JJ'), ('let', 'VB'), ('us', 'PRP'), ('try', 'VB'), ('catching', 'VBG'), ('it', 'PRP'), ('in', 'IN'), ('something', 'NN'), ('that', 'WDT'), ('will', 'MD'), ('give', 'VB'), ('us', 'PRP'), ('more', 'JJR'), ('space', 'NN'), ('to', 'TO'), ('work', 'VB'), ('with', 'IN'), ('like', 'JJ'), ('okay', 'NN'), ('and', 'CC'), ('maybe', 'RB'), ('then', 'RB'), ('launch', 'VBZ'), ('it', 'PRP')]	[('okay', 'JJ'), ('let', 'NN'), ('u', 'JJ'), ('try', 'VB'), ('catch', 'VB'), ('it', 'PRP'), ('in', 'IN'), ('something', 'NN'), ('that', 'WDT'), ('will', 'MD'), ('give', 'VB'), ('u', 'RB'), ('more', 'JJR'), ('space', 'NN'), ('to', 'TO'), ('work', 'VB'), ('with', 'IN'), ('like', 'JJ'), ('okay', 'NN'), ('and', 'CC'), ('maybe', 'RB'), ('then', 'RB'), ('launch', 'VBZ'), ('it', 'PRP')]	[('okay', 'JJ'), ('let', 'VB'), ('us', 'PRP'), ('try', 'VB'), ('catching', 'VBG'), ('it', 'PRP'), ('in', 'IN'), ('something', 'NN'), ('that', 'WDT'), ('will', 'MD'), ('give', 'VB'), ('us', 'PRP'), ('more', 'JJR'), ('space', 'NN'), ('to', 'TO'), ('work', 'VB'), ('with', 'IN'), ('like', 'IN'), ('okay', 'JJ'), ('and', 'CC'), ('maybe', 'RB'), ('then', 'RB'), ('launch', 'VB'), ('it', 'PRP')]	[('okay', 'JJ'), ('let', 'VB'), ('u', 'NN'), ('try', 'VB'), ('catch', 'VB'), ('it', 'PRP'), ('in', 'IN'), ('something', 'NN'), ('that', 'WDT'), ('will', 'MD'), ('give', 'VB'), ('u', 'NN'), ('more', 'JJR'), ('space', 'NN'), ('to', 'TO'), ('work', 'VB'), ('with', 'IN'), ('like', 'IN'), ('okay', 'JJ'), ('and', 'CC'), ('maybe', 'RB'), ('then', 'RB'), ('launch', 'VB'), ('it', 'PRP')]	ASU-T20_ExpBlock1-Caterpillar.txt
PC:	yeah try it	['yeah', 'try', 'it']	['yeah', 'try', 'it']	[('yeah', 'RB'), ('try', 'VB'), ('it', 'PRP')]	[('yeah', 'RB'), ('try', 'VB'), ('it', 'PRP')]	[('yeah', 'NN'), ('try', 'VB'), ('it', 'PRP')]	[('yeah', 'NN'), ('try', 'VB'), ('it', 'PRP')]	ASU-T20_ExpBlock1-Caterpillar.txt
PB:	okay i think we might've broken it a little	['okay', 'i', 'think', 'we', 'might', 'have', 'broken', 'it', 'a', 'little']	['okay', 'i', 'think', 'we', 'might', 'have', 'break', 'it', 'a', 'little']	[('okay', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('we', 'PRP'), ('might', 'MD'), ('have', 'VB'), ('broken', 'VBN'), ('it', 'PRP'), ('a', 'DT'), ('little', 'JJ')]	[('okay', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('we', 'PRP'), ('might', 'MD'), ('have', 'VB'), ('break', 'VBN'), ('it', 'PRP'), ('a', 'DT'), ('little', 'JJ')]	[('okay', 'JJ'), ('i', 'FW'), ('think', 'VBP'), ('we', 'PRP'), ('might', 'MD'), ('have', 'VB'), ('broken', 'VBN'), ('it', 'PRP'), ('a', 'DT'), ('little', 'JJ')]	[('okay', 'JJ'), ('i', 'FW'), ('think', 'VBP'), ('we', 'PRP'), ('might', 'MD'), ('have', 'VB'), ('break', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('little', 'JJ')]	ASU-T20_ExpBlock1-Caterpillar.txt
PC:	can you click it	['can', 'you', 'click', 'it']	['can', 'you', 'click', 'it']	[('can', 'MD'), ('you', 'PRP'), ('click', 'VB'), ('it', 'PRP')]	[('can', 'MD'), ('you', 'PRP'), ('click', 'VB'), ('it', 'PRP')]	[('can', 'MD'), ('you', 'PRP'), ('click', 'VB'), ('it', 'PRP')]	[('can', 'MD'), ('you', 'PRP'), ('click', 'VB'), ('it', 'PRP')]	ASU-T20_ExpBlock1-Caterpillar.txt
PB:	i'm trying  	['i', 'am', 'trying']	['i', 'be', 'try']	[('i', 'NN'), ('am', 'VBP'), ('trying', 'VBG')]	[('i', 'NN'), ('be', 'VB'), ('try', 'NN')]	[('i', 'FW'), ('am', 'VBP'), ('trying', 'VBG')]	[('i', 'LS'), ('be', 'VB'), ('try', 'VB')]	ASU-T20_ExpBlock1-Caterpillar.txt
PA:	 you can make a smaller blue line that could work	['you', 'can', 'make', 'a', 'smaller', 'blue', 'line', 'that', 'could', 'work']	['you', 'can', 'make', 'a', 'small', 'blue', 'line', 'that', 'could', 'work']	[('you', 'PRP'), ('can', 'MD'), ('make', 'VB'), ('a', 'DT'), ('smaller', 'JJR'), ('blue', 'JJ'), ('line', 'NN'), ('that', 'WDT'), ('could', 'MD'), ('work', 'VB')]	[('you', 'PRP'), ('can', 'MD'), ('make', 'VB'), ('a', 'DT'), ('small', 'JJ'), ('blue', 'JJ'), ('line', 'NN'), ('that', 'WDT'), ('could', 'MD'), ('work', 'VB')]	[('you', 'PRP'), ('can', 'MD'), ('make', 'VB'), ('a', 'DT'), ('smaller', 'JJR'), ('blue', 'JJ'), ('line', 'NN'), ('that', 'WDT'), ('could', 'MD'), ('work', 'VB')]	[('you', 'PRP'), ('can', 'MD'), ('make', 'VB'), ('a', 'DT'), ('small', 'JJ'), ('blue', 'JJ'), ('line', 'NN'), ('that', 'WDT'), ('could', 'MD'), ('work', 'VB')]	ASU-T20_ExpBlock1-Caterpillar.txt
