participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PB:	and then delete it real quick all right yeah	['and', 'then', 'delete', 'it', 'real', 'quick', 'all', 'right', 'yeah']	['and', 'then', 'delete', 'it', 'real', 'quick', 'all', 'right', 'yeah']	[('and', 'CC'), ('then', 'RB'), ('delete', 'VB'), ('it', 'PRP'), ('real', 'JJ'), ('quick', 'JJ'), ('all', 'DT'), ('right', 'JJ'), ('yeah', 'NN')]	[('and', 'CC'), ('then', 'RB'), ('delete', 'VB'), ('it', 'PRP'), ('real', 'JJ'), ('quick', 'JJ'), ('all', 'DT'), ('right', 'JJ'), ('yeah', 'NN')]	[('and', 'CC'), ('then', 'RB'), ('delete', 'VB'), ('it', 'PRP'), ('real', 'JJ'), ('quick', 'JJ'), ('all', 'DT'), ('right', 'JJ'), ('yeah', 'NN')]	[('and', 'CC'), ('then', 'RB'), ('delete', 'VB'), ('it', 'PRP'), ('real', 'JJ'), ('quick', 'JJ'), ('all', 'DT'), ('right', 'JJ'), ('yeah', 'NN')]	ASU-T42_ExpBlock2-Caterpillar.txt
PC:	that's the right okay	['that', 'is', 'the', 'right', 'okay']	['that', 'be', 'the', 'right', 'okay']	[('that', 'DT'), ('is', 'VBZ'), ('the', 'DT'), ('right', 'JJ'), ('okay', 'NN')]	[('that', 'DT'), ('be', 'VB'), ('the', 'DT'), ('right', 'JJ'), ('okay', 'NN')]	[('that', 'DT'), ('is', 'VBZ'), ('the', 'DT'), ('right', 'JJ'), ('okay', 'JJ')]	[('that', 'IN'), ('be', 'VB'), ('the', 'DT'), ('right', 'JJ'), ('okay', 'JJ')]	ASU-T42_ExpBlock2-Caterpillar.txt
PD:	now for this one i think you know how there's two squiggles like for you	['now', 'for', 'this', 'one', 'i', 'think', 'you', 'know', 'how', 'there', 'is', 'two', 'squiggles', 'like', 'for', 'you']	['now', 'for', 'this', 'one', 'i', 'think', 'you', 'know', 'how', 'there', 'be', 'two', 'squiggle', 'like', 'for', 'you']	[('now', 'RB'), ('for', 'IN'), ('this', 'DT'), ('one', 'CD'), ('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('know', 'VBP'), ('how', 'WRB'), ('there', 'EX'), ('is', 'VBZ'), ('two', 'CD'), ('squiggles', 'NNS'), ('like', 'IN'), ('for', 'IN'), ('you', 'PRP')]	[('now', 'RB'), ('for', 'IN'), ('this', 'DT'), ('one', 'CD'), ('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('know', 'VBP'), ('how', 'WRB'), ('there', 'RB'), ('be', 'VB'), ('two', 'CD'), ('squiggle', 'NNS'), ('like', 'IN'), ('for', 'IN'), ('you', 'PRP')]	[('now', 'RB'), ('for', 'IN'), ('this', 'DT'), ('one', 'CD'), ('i', 'FW'), ('think', 'VBP'), ('you', 'PRP'), ('know', 'VB'), ('how', 'WRB'), ('there', 'EX'), ('is', 'VBZ'), ('two', 'CD'), ('squiggles', 'NNS'), ('like', 'IN'), ('for', 'IN'), ('you', 'PRP')]	[('now', 'RB'), ('for', 'IN'), ('this', 'DT'), ('one', 'CD'), ('i', 'FW'), ('think', 'VBP'), ('you', 'PRP'), ('know', 'VB'), ('how', 'WRB'), ('there', 'EX'), ('be', 'VB'), ('two', 'CD'), ('squiggle', 'NN'), ('like', 'IN'), ('for', 'IN'), ('you', 'PRP')]	ASU-T42_ExpBlock2-Caterpillar.txt
PC:	 okay just turn right turn	['okay', 'just', 'turn', 'right', 'turn']	['okay', 'just', 'turn', 'right', 'turn']	[('okay', 'NN'), ('just', 'RB'), ('turn', 'VB'), ('right', 'JJ'), ('turn', 'NN')]	[('okay', 'NN'), ('just', 'RB'), ('turn', 'VB'), ('right', 'JJ'), ('turn', 'NN')]	[('okay', 'JJ'), ('just', 'RB'), ('turn', 'VB'), ('right', 'JJ'), ('turn', 'NN')]	[('okay', 'JJ'), ('just', 'RB'), ('turn', 'VB'), ('right', 'JJ'), ('turn', 'NN')]	ASU-T42_ExpBlock2-Caterpillar.txt
PD:	you put you put the circle things you have to do something with those i think it's a hint	['you', 'put', 'you', 'put', 'the', 'circle', 'things', 'you', 'have', 'to', 'do', 'something', 'with', 'those', 'i', 'think', 'it', 'is', 'a', 'hint']	['you', 'put', 'you', 'put', 'the', 'circle', 'thing', 'you', 'have', 'to', 'do', 'something', 'with', 'those', 'i', 'think', 'it', 'be', 'a', 'hint']	[('you', 'PRP'), ('put', 'VBP'), ('you', 'PRP'), ('put', 'VBP'), ('the', 'DT'), ('circle', 'NN'), ('things', 'NNS'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('do', 'VB'), ('something', 'NN'), ('with', 'IN'), ('those', 'DT'), ('i', 'JJ'), ('think', 'VBP'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('hint', 'NN')]	[('you', 'PRP'), ('put', 'VBP'), ('you', 'PRP'), ('put', 'VBP'), ('the', 'DT'), ('circle', 'NN'), ('thing', 'NN'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('do', 'VB'), ('something', 'NN'), ('with', 'IN'), ('those', 'DT'), ('i', 'JJ'), ('think', 'VBP'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('hint', 'NN')]	[('you', 'PRP'), ('put', 'VBP'), ('you', 'PRP'), ('put', 'VB'), ('the', 'DT'), ('circle', 'NN'), ('things', 'NNS'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('do', 'VB'), ('something', 'NN'), ('with', 'IN'), ('those', 'DT'), ('i', 'FW'), ('think', 'VBP'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT'), ('hint', 'NN')]	[('you', 'PRP'), ('put', 'VBP'), ('you', 'PRP'), ('put', 'VB'), ('the', 'DT'), ('circle', 'NN'), ('thing', 'NN'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('do', 'VB'), ('something', 'NN'), ('with', 'IN'), ('those', 'DT'), ('i', 'FW'), ('think', 'VBP'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT'), ('hint', 'NN')]	ASU-T42_ExpBlock2-Caterpillar.txt
PC:	maybe it's a	['maybe', 'it', 'is', 'a']	['maybe', 'it', 'be', 'a']	[('maybe', 'RB'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT')]	[('maybe', 'RB'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT')]	[('maybe', 'RB'), ('it', 'PRP'), ('is', 'VBZ'), ('a', 'DT')]	[('maybe', 'RB'), ('it', 'PRP'), ('be', 'VB'), ('a', 'DT')]	ASU-T42_ExpBlock2-Caterpillar.txt
PD:	maybe you like push it back or something	['maybe', 'you', 'like', 'push', 'it', 'back', 'or', 'something']	['maybe', 'you', 'like', 'push', 'it', 'back', 'or', 'something']	[('maybe', 'RB'), ('you', 'PRP'), ('like', 'IN'), ('push', 'NN'), ('it', 'PRP'), ('back', 'RB'), ('or', 'CC'), ('something', 'NN')]	[('maybe', 'RB'), ('you', 'PRP'), ('like', 'IN'), ('push', 'NN'), ('it', 'PRP'), ('back', 'RB'), ('or', 'CC'), ('something', 'NN')]	[('maybe', 'RB'), ('you', 'PRP'), ('like', 'IN'), ('push', 'NN'), ('it', 'PRP'), ('back', 'RB'), ('or', 'CC'), ('something', 'NN')]	[('maybe', 'RB'), ('you', 'PRP'), ('like', 'IN'), ('push', 'NN'), ('it', 'PRP'), ('back', 'RB'), ('or', 'CC'), ('something', 'NN')]	ASU-T42_ExpBlock2-Caterpillar.txt
PB:	i think maybe like the same thing you just  	['i', 'think', 'maybe', 'like', 'the', 'same', 'thing', 'you', 'just']	['i', 'think', 'maybe', 'like', 'the', 'same', 'thing', 'you', 'just']	[('i', 'NN'), ('think', 'VBP'), ('maybe', 'RB'), ('like', 'IN'), ('the', 'DT'), ('same', 'JJ'), ('thing', 'NN'), ('you', 'PRP'), ('just', 'RB')]	[('i', 'NN'), ('think', 'VBP'), ('maybe', 'RB'), ('like', 'IN'), ('the', 'DT'), ('same', 'JJ'), ('thing', 'NN'), ('you', 'PRP'), ('just', 'RB')]	[('i', 'LS'), ('think', 'VB'), ('maybe', 'RB'), ('like', 'IN'), ('the', 'DT'), ('same', 'JJ'), ('thing', 'NN'), ('you', 'PRP'), ('just', 'RB')]	[('i', 'LS'), ('think', 'VB'), ('maybe', 'RB'), ('like', 'IN'), ('the', 'DT'), ('same', 'JJ'), ('thing', 'NN'), ('you', 'PRP'), ('just', 'RB')]	ASU-T42_ExpBlock2-Caterpillar.txt
PD:	what the	['what', 'the']	['what', 'the']	[('what', 'WP'), ('the', 'DT')]	[('what', 'WP'), ('the', 'DT')]	[('what', 'WP'), ('the', 'DT')]	[('what', 'WP'), ('the', 'DT')]	ASU-T42_ExpBlock2-Caterpillar.txt
PB:	why is it didn't even stop it	['why', 'is', 'it', 'did', 'not', 'even', 'stop', 'it']	['why', 'be', 'it', 'do', 'not', 'even', 'stop', 'it']	[('why', 'WRB'), ('is', 'VBZ'), ('it', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('even', 'RB'), ('stop', 'VB'), ('it', 'PRP')]	[('why', 'WRB'), ('be', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('not', 'RB'), ('even', 'RB'), ('stop', 'VB'), ('it', 'PRP')]	[('why', 'WRB'), ('is', 'VBZ'), ('it', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('even', 'RB'), ('stop', 'VB'), ('it', 'PRP')]	[('why', 'WRB'), ('be', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('not', 'RB'), ('even', 'RB'), ('stop', 'VB'), ('it', 'PRP')]	ASU-T42_ExpBlock2-Caterpillar.txt
