participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PC:	we could try that i don't like the snout i'm gonna try to	['we', 'could', 'try', 'that', 'i', 'do', 'not', 'like', 'the', 'snout', 'i', 'am', 'on', 'na', 'try', 'to']	['we', 'could', 'try', 'that', 'i', 'do', 'not', 'like', 'the', 'snout', 'i', 'be', 'on', 'na', 'try', 'to']	[('we', 'PRP'), ('could', 'MD'), ('try', 'VB'), ('that', 'IN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('like', 'IN'), ('the', 'DT'), ('snout', 'NN'), ('i', 'NN'), ('am', 'VBP'), ('on', 'IN'), ('na', 'NNS'), ('try', 'VBP'), ('to', 'TO')]	[('we', 'PRP'), ('could', 'MD'), ('try', 'VB'), ('that', 'IN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('like', 'IN'), ('the', 'DT'), ('snout', 'NN'), ('i', 'NN'), ('be', 'VB'), ('on', 'IN'), ('na', 'JJ'), ('try', 'NN'), ('to', 'TO')]	[('we', 'PRP'), ('could', 'MD'), ('try', 'VB'), ('that', 'IN'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('like', 'VB'), ('the', 'DT'), ('snout', 'NN'), ('i', 'FW'), ('am', 'VBP'), ('on', 'IN'), ('na', 'TO'), ('try', 'VB'), ('to', 'TO')]	[('we', 'PRP'), ('could', 'MD'), ('try', 'VB'), ('that', 'IN'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('like', 'VB'), ('the', 'DT'), ('snout', 'NN'), ('i', 'FW'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('try', 'VB'), ('to', 'TO')]	ASU-T98_ExpBlock2-TrunkSlide.txt
PA:	why you making fun of it's snout man c'mon	"['why', 'you', 'making', 'fun', 'of', 'it', 'is', 'snout', 'man', ""c'mon""]"	"['why', 'you', 'make', 'fun', 'of', 'it', 'be', 'snout', 'man', ""c'mon""]"	"[('why', 'WRB'), ('you', 'PRP'), ('making', 'VBG'), ('fun', 'NN'), ('of', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('snout', 'JJ'), ('man', 'NN'), (""c'mon"", 'NN')]"	"[('why', 'WRB'), ('you', 'PRP'), ('make', 'VBP'), ('fun', 'NN'), ('of', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('snout', 'VBN'), ('man', 'NN'), (""c'mon"", 'NN')]"	"[('why', 'WRB'), ('you', 'PRP'), ('making', 'VBG'), ('fun', 'NN'), ('of', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('snout', 'JJ'), ('man', 'NN'), (""c'mon"", 'NNS')]"	"[('why', 'WRB'), ('you', 'PRP'), ('make', 'VBP'), ('fun', 'NN'), ('of', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('snout', 'JJ'), ('man', 'NN'), (""c'mon"", 'NNS')]"	ASU-T98_ExpBlock2-TrunkSlide.txt
PC:	i don't like it	['i', 'do', 'not', 'like', 'it']	['i', 'do', 'not', 'like', 'it']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('like', 'IN'), ('it', 'PRP')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('like', 'IN'), ('it', 'PRP')]	[('i', 'LS'), ('do', 'VBP'), ('not', 'RB'), ('like', 'VB'), ('it', 'PRP')]	[('i', 'LS'), ('do', 'VBP'), ('not', 'RB'), ('like', 'VB'), ('it', 'PRP')]	ASU-T98_ExpBlock2-TrunkSlide.txt
PA:	so judgemental well i don't like your line yes yeah how'd you like how'd you like them apples or elephant hurting it's soul see we got a cute little eye   giving it piercings all right	['so', 'judgement', 'well', 'i', 'do', 'not', 'like', 'your', 'line', 'yes', 'yeah', 'how', 'did', 'you', 'like', 'how', 'did', 'you', 'like', 'them', 'apples', 'or', 'elephant', 'hurting', 'it', 'is', 'soul', 'see', 'we', 'got', 'a', 'cut', 'little', 'eye', 'giving', 'it', 'piercing', 'all', 'right']	['so', 'judgement', 'well', 'i', 'do', 'not', 'like', 'your', 'line', 'yes', 'yeah', 'how', 'do', 'you', 'like', 'how', 'do', 'you', 'like', 'them', 'apple', 'or', 'elephant', 'hurting', 'it', 'be', 'soul', 'see', 'we', 'get', 'a', 'cut', 'little', 'eye', 'give', 'it', 'pierce', 'all', 'right']	[('so', 'RB'), ('judgement', 'JJ'), ('well', 'NN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('like', 'IN'), ('your', 'PRP$'), ('line', 'NN'), ('yes', 'RB'), ('yeah', 'VB'), ('how', 'WRB'), ('did', 'VBD'), ('you', 'PRP'), ('like', 'IN'), ('how', 'WRB'), ('did', 'VBD'), ('you', 'PRP'), ('like', 'IN'), ('them', 'PRP'), ('apples', 'NNS'), ('or', 'CC'), ('elephant', 'JJ'), ('hurting', 'NN'), ('it', 'PRP'), ('is', 'VBZ'), ('soul', 'JJ'), ('see', 'NN'), ('we', 'PRP'), ('got', 'VBD'), ('a', 'DT'), ('cut', 'NN'), ('little', 'JJ'), ('eye', 'NN'), ('giving', 'VBG'), ('it', 'PRP'), ('piercing', 'VBG'), ('all', 'DT'), ('right', 'NN')]	[('so', 'RB'), ('judgement', 'JJ'), ('well', 'NN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('like', 'IN'), ('your', 'PRP$'), ('line', 'NN'), ('yes', 'RB'), ('yeah', 'VB'), ('how', 'WRB'), ('do', 'VB'), ('you', 'PRP'), ('like', 'VB'), ('how', 'WRB'), ('do', 'VB'), ('you', 'PRP'), ('like', 'VB'), ('them', 'PRP'), ('apple', 'NN'), ('or', 'CC'), ('elephant', 'JJ'), ('hurting', 'NN'), ('it', 'PRP'), ('be', 'VB'), ('soul', 'JJ'), ('see', 'NN'), ('we', 'PRP'), ('get', 'VBP'), ('a', 'DT'), ('cut', 'NN'), ('little', 'JJ'), ('eye', 'NN'), ('give', 'VB'), ('it', 'PRP'), ('pierce', 'VB'), ('all', 'DT'), ('right', 'NN')]	[('so', 'RB'), ('judgement', 'NN'), ('well', 'RB'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('like', 'VB'), ('your', 'PRP$'), ('line', 'NN'), ('yes', 'RB'), ('yeah', 'JJ'), ('how', 'WRB'), ('did', 'VBD'), ('you', 'PRP'), ('like', 'IN'), ('how', 'WRB'), ('did', 'VBD'), ('you', 'PRP'), ('like', 'IN'), ('them', 'PRP'), ('apples', 'NNS'), ('or', 'CC'), ('elephant', 'NN'), ('hurting', 'VBG'), ('it', 'PRP'), ('is', 'VBZ'), ('soul', 'NN'), ('see', 'VB'), ('we', 'PRP'), ('got', 'VBD'), ('a', 'DT'), ('cut', 'NN'), ('little', 'JJ'), ('eye', 'NN'), ('giving', 'VBG'), ('it', 'PRP'), ('piercing', 'VBG'), ('all', 'DT'), ('right', 'NN')]	[('so', 'RB'), ('judgement', 'NN'), ('well', 'RB'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('like', 'VB'), ('your', 'PRP$'), ('line', 'NN'), ('yes', 'RB'), ('yeah', 'JJ'), ('how', 'WRB'), ('do', 'VBP'), ('you', 'PRP'), ('like', 'VB'), ('how', 'WRB'), ('do', 'VBP'), ('you', 'PRP'), ('like', 'VB'), ('them', 'PRP'), ('apple', 'NN'), ('or', 'CC'), ('elephant', 'NN'), ('hurting', 'VBG'), ('it', 'PRP'), ('be', 'VB'), ('soul', 'NN'), ('see', 'VB'), ('we', 'PRP'), ('get', 'VB'), ('a', 'DT'), ('cut', 'NN'), ('little', 'JJ'), ('eye', 'NN'), ('give', 'VB'), ('it', 'PRP'), ('pierce', 'VB'), ('all', 'DT'), ('right', 'NN')]	ASU-T98_ExpBlock2-TrunkSlide.txt
PB:	aw   i think you have	['a', 'i', 'think', 'you', 'have']	['a', 'i', 'think', 'you', 'have']	[('a', 'DT'), ('i', 'JJ'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VBP')]	[('a', 'DT'), ('i', 'JJ'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VBP')]	[('a', 'DT'), ('i', 'FW'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VB')]	[('a', 'DT'), ('i', 'FW'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VB')]	ASU-T98_ExpBlock2-TrunkSlide.txt
PA:	click it up click it up	['click', 'it', 'up', 'click', 'it', 'up']	['click', 'it', 'up', 'click', 'it', 'up']	[('click', 'NN'), ('it', 'PRP'), ('up', 'RP'), ('click', 'NN'), ('it', 'PRP'), ('up', 'RP')]	[('click', 'NN'), ('it', 'PRP'), ('up', 'RP'), ('click', 'NN'), ('it', 'PRP'), ('up', 'RP')]	[('click', 'VB'), ('it', 'PRP'), ('up', 'RP'), ('click', 'VBP'), ('it', 'PRP'), ('up', 'RP')]	[('click', 'VB'), ('it', 'PRP'), ('up', 'RP'), ('click', 'VBP'), ('it', 'PRP'), ('up', 'RP')]	ASU-T98_ExpBlock2-TrunkSlide.txt
PB:	i think you have	['i', 'think', 'you', 'have']	['i', 'think', 'you', 'have']	[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VBP')]	[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VBP')]	[('i', 'LS'), ('think', 'VB'), ('you', 'PRP'), ('have', 'VBP')]	[('i', 'LS'), ('think', 'VB'), ('you', 'PRP'), ('have', 'VBP')]	ASU-T98_ExpBlock2-TrunkSlide.txt
PA:	aw 'cause you clicked it up	['a', 'because', 'you', 'clicked', 'it', 'up']	['a', 'because', 'you', 'click', 'it', 'up']	[('a', 'DT'), ('because', 'IN'), ('you', 'PRP'), ('clicked', 'VBD'), ('it', 'PRP'), ('up', 'RP')]	[('a', 'DT'), ('because', 'IN'), ('you', 'PRP'), ('click', 'VBP'), ('it', 'PRP'), ('up', 'RP')]	[('a', 'DT'), ('because', 'RB'), ('you', 'PRP'), ('clicked', 'VBD'), ('it', 'PRP'), ('up', 'RP')]	[('a', 'DT'), ('because', 'RB'), ('you', 'PRP'), ('click', 'VBP'), ('it', 'PRP'), ('up', 'RP')]	ASU-T98_ExpBlock2-TrunkSlide.txt
PB:	well it hit the water so i think if you draw it a bit lower then it won't hit the water   and you can just	['well', 'it', 'hit', 'the', 'water', 'so', 'i', 'think', 'if', 'you', 'draw', 'it', 'a', 'bit', 'lower', 'then', 'it', 'will', 'not', 'hit', 'the', 'water', 'and', 'you', 'can', 'just']	['well', 'it', 'hit', 'the', 'water', 'so', 'i', 'think', 'if', 'you', 'draw', 'it', 'a', 'bit', 'lower', 'then', 'it', 'will', 'not', 'hit', 'the', 'water', 'and', 'you', 'can', 'just']	[('well', 'RB'), ('it', 'PRP'), ('hit', 'VBD'), ('the', 'DT'), ('water', 'NN'), ('so', 'RB'), ('i', 'JJ'), ('think', 'VBP'), ('if', 'IN'), ('you', 'PRP'), ('draw', 'VBP'), ('it', 'PRP'), ('a', 'DT'), ('bit', 'NN'), ('lower', 'RBR'), ('then', 'RB'), ('it', 'PRP'), ('will', 'MD'), ('not', 'RB'), ('hit', 'VB'), ('the', 'DT'), ('water', 'NN'), ('and', 'CC'), ('you', 'PRP'), ('can', 'MD'), ('just', 'RB')]	[('well', 'RB'), ('it', 'PRP'), ('hit', 'VBD'), ('the', 'DT'), ('water', 'NN'), ('so', 'RB'), ('i', 'JJ'), ('think', 'VBP'), ('if', 'IN'), ('you', 'PRP'), ('draw', 'VBP'), ('it', 'PRP'), ('a', 'DT'), ('bit', 'NN'), ('lower', 'RBR'), ('then', 'RB'), ('it', 'PRP'), ('will', 'MD'), ('not', 'RB'), ('hit', 'VB'), ('the', 'DT'), ('water', 'NN'), ('and', 'CC'), ('you', 'PRP'), ('can', 'MD'), ('just', 'RB')]	[('well', 'RB'), ('it', 'PRP'), ('hit', 'VBD'), ('the', 'DT'), ('water', 'NN'), ('so', 'RB'), ('i', 'FW'), ('think', 'VBP'), ('if', 'IN'), ('you', 'PRP'), ('draw', 'VBP'), ('it', 'PRP'), ('a', 'DT'), ('bit', 'NN'), ('lower', 'JJR'), ('then', 'RB'), ('it', 'PRP'), ('will', 'MD'), ('not', 'RB'), ('hit', 'VB'), ('the', 'DT'), ('water', 'NN'), ('and', 'CC'), ('you', 'PRP'), ('can', 'MD'), ('just', 'RB')]	[('well', 'RB'), ('it', 'PRP'), ('hit', 'VBD'), ('the', 'DT'), ('water', 'NN'), ('so', 'RB'), ('i', 'FW'), ('think', 'VBP'), ('if', 'IN'), ('you', 'PRP'), ('draw', 'VBP'), ('it', 'PRP'), ('a', 'DT'), ('bit', 'NN'), ('lower', 'JJR'), ('then', 'RB'), ('it', 'PRP'), ('will', 'MD'), ('not', 'RB'), ('hit', 'VB'), ('the', 'DT'), ('water', 'NN'), ('and', 'CC'), ('you', 'PRP'), ('can', 'MD'), ('just', 'RB')]	ASU-T98_ExpBlock2-TrunkSlide.txt
PA:	 it hit the water i didn't even see that i can't figure out why it's stopping it's starting to make sense	['it', 'hit', 'the', 'water', 'i', 'did', 'not', 'even', 'see', 'that', 'i', 'can', 'not', 'figure', 'out', 'why', 'it', 'is', 'stopping', 'it', 'is', 'starting', 'to', 'make', 'sense']	['it', 'hit', 'the', 'water', 'i', 'do', 'not', 'even', 'see', 'that', 'i', 'can', 'not', 'figure', 'out', 'why', 'it', 'be', 'stop', 'it', 'be', 'start', 'to', 'make', 'sense']	[('it', 'PRP'), ('hit', 'VBD'), ('the', 'DT'), ('water', 'NN'), ('i', 'NN'), ('did', 'VBD'), ('not', 'RB'), ('even', 'RB'), ('see', 'VB'), ('that', 'IN'), ('i', 'NN'), ('can', 'MD'), ('not', 'RB'), ('figure', 'VB'), ('out', 'RP'), ('why', 'WRB'), ('it', 'PRP'), ('is', 'VBZ'), ('stopping', 'VBG'), ('it', 'PRP'), ('is', 'VBZ'), ('starting', 'VBG'), ('to', 'TO'), ('make', 'VB'), ('sense', 'NN')]	[('it', 'PRP'), ('hit', 'VBD'), ('the', 'DT'), ('water', 'NN'), ('i', 'NN'), ('do', 'VBP'), ('not', 'RB'), ('even', 'RB'), ('see', 'VB'), ('that', 'IN'), ('i', 'NN'), ('can', 'MD'), ('not', 'RB'), ('figure', 'VB'), ('out', 'RP'), ('why', 'WRB'), ('it', 'PRP'), ('be', 'VB'), ('stop', 'VBN'), ('it', 'PRP'), ('be', 'VB'), ('start', 'VBN'), ('to', 'TO'), ('make', 'VB'), ('sense', 'NN')]	[('it', 'PRP'), ('hit', 'VBD'), ('the', 'DT'), ('water', 'NN'), ('i', 'FW'), ('did', 'VBD'), ('not', 'RB'), ('even', 'RB'), ('see', 'VB'), ('that', 'DT'), ('i', 'FW'), ('can', 'MD'), ('not', 'RB'), ('figure', 'VB'), ('out', 'RP'), ('why', 'WRB'), ('it', 'PRP'), ('is', 'VBZ'), ('stopping', 'VBG'), ('it', 'PRP'), ('is', 'VBZ'), ('starting', 'VBG'), ('to', 'TO'), ('make', 'VB'), ('sense', 'NN')]	[('it', 'PRP'), ('hit', 'VBD'), ('the', 'DT'), ('water', 'NN'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('even', 'RB'), ('see', 'VB'), ('that', 'DT'), ('i', 'FW'), ('can', 'MD'), ('not', 'RB'), ('figure', 'VB'), ('out', 'RP'), ('why', 'WRB'), ('it', 'PRP'), ('be', 'VB'), ('stop', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('start', 'VB'), ('to', 'TO'), ('make', 'VB'), ('sense', 'NN')]	ASU-T98_ExpBlock2-TrunkSlide.txt
