participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PC:	there you go	['there', 'you', 'go']	['there', 'you', 'go']	[('there', 'RB'), ('you', 'PRP'), ('go', 'VBP')]	[('there', 'RB'), ('you', 'PRP'), ('go', 'VBP')]	[('there', 'RB'), ('you', 'PRP'), ('go', 'VBP')]	[('there', 'RB'), ('you', 'PRP'), ('go', 'VBP')]	ASU-T75_ExpBlock1-Oneatatime-1.txt
PB:	all right	['all', 'right']	['all', 'right']	[('all', 'DT'), ('right', 'NN')]	[('all', 'DT'), ('right', 'NN')]	[('all', 'DT'), ('right', 'NN')]	[('all', 'DT'), ('right', 'NN')]	ASU-T75_ExpBlock1-Oneatatime-1.txt
PC:	we're not doing the game in chip	['we', 'are', 'not', 'doing', 'the', 'game', 'in', 'chip']	['we', 'be', 'not', 'do', 'the', 'game', 'in', 'chip']	[('we', 'PRP'), ('are', 'VBP'), ('not', 'RB'), ('doing', 'VBG'), ('the', 'DT'), ('game', 'NN'), ('in', 'IN'), ('chip', 'NN')]	[('we', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('do', 'VB'), ('the', 'DT'), ('game', 'NN'), ('in', 'IN'), ('chip', 'NN')]	[('we', 'PRP'), ('are', 'VBP'), ('not', 'RB'), ('doing', 'VBG'), ('the', 'DT'), ('game', 'NN'), ('in', 'IN'), ('chip', 'NN')]	[('we', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('do', 'VB'), ('the', 'DT'), ('game', 'NN'), ('in', 'IN'), ('chip', 'NN')]	ASU-T75_ExpBlock1-Oneatatime-1.txt
PB:	  we're cheating in this game 	['we', 'are', 'cheating', 'in', 'this', 'game']	['we', 'be', 'cheat', 'in', 'this', 'game']	[('we', 'PRP'), ('are', 'VBP'), ('cheating', 'VBG'), ('in', 'IN'), ('this', 'DT'), ('game', 'NN')]	[('we', 'PRP'), ('be', 'VB'), ('cheat', 'VBN'), ('in', 'IN'), ('this', 'DT'), ('game', 'NN')]	[('we', 'PRP'), ('are', 'VBP'), ('cheating', 'VBG'), ('in', 'IN'), ('this', 'DT'), ('game', 'NN')]	[('we', 'PRP'), ('be', 'VB'), ('cheat', 'VB'), ('in', 'IN'), ('this', 'DT'), ('game', 'NN')]	ASU-T75_ExpBlock1-Oneatatime-1.txt
PC:	i know wait no we already did this	['i', 'know', 'wait', 'no', 'we', 'already', 'did', 'this']	['i', 'know', 'wait', 'no', 'we', 'already', 'do', 'this']	[('i', 'NN'), ('know', 'VBP'), ('wait', 'VBP'), ('no', 'DT'), ('we', 'PRP'), ('already', 'RB'), ('did', 'VBD'), ('this', 'DT')]	[('i', 'NN'), ('know', 'VBP'), ('wait', 'VBP'), ('no', 'DT'), ('we', 'PRP'), ('already', 'RB'), ('do', 'VBP'), ('this', 'DT')]	[('i', 'LS'), ('know', 'VB'), ('wait', 'VB'), ('no', 'DT'), ('we', 'PRP'), ('already', 'RB'), ('did', 'VBD'), ('this', 'DT')]	[('i', 'LS'), ('know', 'VB'), ('wait', 'VB'), ('no', 'DT'), ('we', 'PRP'), ('already', 'RB'), ('do', 'VBP'), ('this', 'DT')]	ASU-T75_ExpBlock1-Oneatatime-1.txt
PB:	why i'm not even 	['why', 'i', 'am', 'not', 'even']	['why', 'i', 'be', 'not', 'even']	[('why', 'WRB'), ('i', 'NN'), ('am', 'VBP'), ('not', 'RB'), ('even', 'RB')]	[('why', 'WRB'), ('i', 'NN'), ('be', 'VB'), ('not', 'RB'), ('even', 'RB')]	[('why', 'WRB'), ('i', 'FW'), ('am', 'VBP'), ('not', 'RB'), ('even', 'RB')]	[('why', 'WRB'), ('i', 'FW'), ('be', 'VB'), ('not', 'RB'), ('even', 'RB')]	ASU-T75_ExpBlock1-Oneatatime-1.txt
PA:	push escape because we already did this one	['push', 'escape', 'because', 'we', 'already', 'did', 'this', 'one']	['push', 'escape', 'because', 'we', 'already', 'do', 'this', 'one']	[('push', 'NN'), ('escape', 'NN'), ('because', 'IN'), ('we', 'PRP'), ('already', 'RB'), ('did', 'VBD'), ('this', 'DT'), ('one', 'NN')]	[('push', 'NN'), ('escape', 'NN'), ('because', 'IN'), ('we', 'PRP'), ('already', 'RB'), ('do', 'VBP'), ('this', 'DT'), ('one', 'NN')]	[('push', 'NN'), ('escape', 'NN'), ('because', 'IN'), ('we', 'PRP'), ('already', 'RB'), ('did', 'VBD'), ('this', 'DT'), ('one', 'CD')]	[('push', 'NN'), ('escape', 'NN'), ('because', 'IN'), ('we', 'PRP'), ('already', 'RB'), ('do', 'VBP'), ('this', 'DT'), ('one', 'CD')]	ASU-T75_ExpBlock1-Oneatatime-1.txt
PB:	no no no but it said if we press escape it erases a part of 	['no', 'no', 'no', 'but', 'it', 'said', 'if', 'we', 'press', 'escape', 'it', 'erases', 'a', 'part', 'of']	['no', 'no', 'no', 'but', 'it', 'say', 'if', 'we', 'press', 'escape', 'it', 'erase', 'a', 'part', 'of']	[('no', 'DT'), ('no', 'DT'), ('no', 'DT'), ('but', 'CC'), ('it', 'PRP'), ('said', 'VBD'), ('if', 'IN'), ('we', 'PRP'), ('press', 'VBP'), ('escape', 'IN'), ('it', 'PRP'), ('erases', 'VBZ'), ('a', 'DT'), ('part', 'NN'), ('of', 'IN')]	[('no', 'DT'), ('no', 'DT'), ('no', 'DT'), ('but', 'CC'), ('it', 'PRP'), ('say', 'VBP'), ('if', 'IN'), ('we', 'PRP'), ('press', 'VBP'), ('escape', 'IN'), ('it', 'PRP'), ('erase', 'VBZ'), ('a', 'DT'), ('part', 'NN'), ('of', 'IN')]	[('no', 'DT'), ('no', 'DT'), ('no', 'DT'), ('but', 'CC'), ('it', 'PRP'), ('said', 'VBD'), ('if', 'IN'), ('we', 'PRP'), ('press', 'VBP'), ('escape', 'VB'), ('it', 'PRP'), ('erases', 'VBZ'), ('a', 'DT'), ('part', 'NN'), ('of', 'IN')]	[('no', 'DT'), ('no', 'DT'), ('no', 'DT'), ('but', 'CC'), ('it', 'PRP'), ('say', 'VBP'), ('if', 'IN'), ('we', 'PRP'), ('press', 'VBP'), ('escape', 'VB'), ('it', 'PRP'), ('erase', 'VB'), ('a', 'DT'), ('part', 'NN'), ('of', 'IN')]	ASU-T75_ExpBlock1-Oneatatime-1.txt
PA:	 just kidding	['just', 'bidding']	['just', 'bidding']	[('just', 'RB'), ('bidding', 'NN')]	[('just', 'RB'), ('bidding', 'NN')]	[('just', 'RB'), ('bidding', 'NN')]	[('just', 'RB'), ('bidding', 'NN')]	ASU-T75_ExpBlock1-Oneatatime-1.txt
PB:	for this or for everything i don't know ii think it's for everything	['for', 'this', 'or', 'for', 'everything', 'i', 'do', 'not', 'know', 'ii', 'think', 'it', 'is', 'for', 'everything']	['for', 'this', 'or', 'for', 'everything', 'i', 'do', 'not', 'know', 'ii', 'think', 'it', 'be', 'for', 'everything']	[('for', 'IN'), ('this', 'DT'), ('or', 'CC'), ('for', 'IN'), ('everything', 'NN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('ii', 'RB'), ('think', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('for', 'IN'), ('everything', 'NN')]	[('for', 'IN'), ('this', 'DT'), ('or', 'CC'), ('for', 'IN'), ('everything', 'NN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('ii', 'RB'), ('think', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('for', 'IN'), ('everything', 'NN')]	[('for', 'IN'), ('this', 'DT'), ('or', 'CC'), ('for', 'IN'), ('everything', 'NN'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('ii', 'LS'), ('think', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('for', 'IN'), ('everything', 'NN')]	[('for', 'IN'), ('this', 'DT'), ('or', 'CC'), ('for', 'IN'), ('everything', 'NN'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('ii', 'LS'), ('think', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('for', 'IN'), ('everything', 'NN')]	ASU-T75_ExpBlock1-Oneatatime-1.txt
PC:	just do it the same way that we did it and just like make it heavy and just get out	['just', 'do', 'it', 'the', 'same', 'way', 'that', 'we', 'did', 'it', 'and', 'just', 'like', 'make', 'it', 'heavy', 'and', 'just', 'get', 'out']	['just', 'do', 'it', 'the', 'same', 'way', 'that', 'we', 'do', 'it', 'and', 'just', 'like', 'make', 'it', 'heavy', 'and', 'just', 'get', 'out']	[('just', 'RB'), ('do', 'VB'), ('it', 'PRP'), ('the', 'DT'), ('same', 'JJ'), ('way', 'NN'), ('that', 'IN'), ('we', 'PRP'), ('did', 'VBD'), ('it', 'PRP'), ('and', 'CC'), ('just', 'RB'), ('like', 'IN'), ('make', 'VBP'), ('it', 'PRP'), ('heavy', 'JJ'), ('and', 'CC'), ('just', 'RB'), ('get', 'VB'), ('out', 'RP')]	[('just', 'RB'), ('do', 'VB'), ('it', 'PRP'), ('the', 'DT'), ('same', 'JJ'), ('way', 'NN'), ('that', 'IN'), ('we', 'PRP'), ('do', 'VBP'), ('it', 'PRP'), ('and', 'CC'), ('just', 'RB'), ('like', 'IN'), ('make', 'VBP'), ('it', 'PRP'), ('heavy', 'JJ'), ('and', 'CC'), ('just', 'RB'), ('get', 'VB'), ('out', 'RP')]	[('just', 'RB'), ('do', 'VB'), ('it', 'PRP'), ('the', 'DT'), ('same', 'JJ'), ('way', 'NN'), ('that', 'IN'), ('we', 'PRP'), ('did', 'VBD'), ('it', 'PRP'), ('and', 'CC'), ('just', 'RB'), ('like', 'IN'), ('make', 'VB'), ('it', 'PRP'), ('heavy', 'JJ'), ('and', 'CC'), ('just', 'RB'), ('get', 'VB'), ('out', 'RP')]	[('just', 'RB'), ('do', 'VB'), ('it', 'PRP'), ('the', 'DT'), ('same', 'JJ'), ('way', 'NN'), ('that', 'IN'), ('we', 'PRP'), ('do', 'VBP'), ('it', 'PRP'), ('and', 'CC'), ('just', 'RB'), ('like', 'IN'), ('make', 'VB'), ('it', 'PRP'), ('heavy', 'JJ'), ('and', 'CC'), ('just', 'RB'), ('get', 'VB'), ('out', 'RP')]	ASU-T75_ExpBlock1-Oneatatime-1.txt
