participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PB:	  that ball's just dropping 	"['that', 'ball', ""'s"", 'just', 'dropping']"	"['that', 'ball', ""'s"", 'just', 'drop']"	"[('that', 'DT'), ('ball', 'NN'), (""'s"", 'POS'), ('just', 'RB'), ('dropping', 'VBG')]"	"[('that', 'DT'), ('ball', 'NN'), (""'s"", 'POS'), ('just', 'RB'), ('drop', 'NN')]"	"[('that', 'IN'), ('ball', 'NN'), (""'s"", 'POS'), ('just', 'RB'), ('dropping', 'VBG')]"	"[('that', 'IN'), ('ball', 'NN'), (""'s"", 'POS'), ('just', 'RB'), ('drop', 'VB')]"	ASU-T89_ExpBlock2-Caterpillar.txt
PA:	wait no i have an idea how we could do that literally just the same way we did the last one just spring it	['wait', 'no', 'i', 'have', 'an', 'idea', 'how', 'we', 'could', 'do', 'that', 'literally', 'just', 'the', 'same', 'way', 'we', 'did', 'the', 'last', 'one', 'just', 'spring', 'it']	['wait', 'no', 'i', 'have', 'an', 'idea', 'how', 'we', 'could', 'do', 'that', 'literally', 'just', 'the', 'same', 'way', 'we', 'do', 'the', 'last', 'one', 'just', 'spring', 'it']	[('wait', 'IN'), ('no', 'DT'), ('i', 'NN'), ('have', 'VBP'), ('an', 'DT'), ('idea', 'NN'), ('how', 'WRB'), ('we', 'PRP'), ('could', 'MD'), ('do', 'VB'), ('that', 'DT'), ('literally', 'RB'), ('just', 'RB'), ('the', 'DT'), ('same', 'JJ'), ('way', 'NN'), ('we', 'PRP'), ('did', 'VBD'), ('the', 'DT'), ('last', 'JJ'), ('one', 'NN'), ('just', 'RB'), ('spring', 'NN'), ('it', 'PRP')]	[('wait', 'IN'), ('no', 'DT'), ('i', 'NN'), ('have', 'VBP'), ('an', 'DT'), ('idea', 'NN'), ('how', 'WRB'), ('we', 'PRP'), ('could', 'MD'), ('do', 'VB'), ('that', 'DT'), ('literally', 'RB'), ('just', 'RB'), ('the', 'DT'), ('same', 'JJ'), ('way', 'NN'), ('we', 'PRP'), ('do', 'VBP'), ('the', 'DT'), ('last', 'JJ'), ('one', 'NN'), ('just', 'RB'), ('spring', 'NN'), ('it', 'PRP')]	[('wait', 'VB'), ('no', 'DT'), ('i', 'FW'), ('have', 'VBP'), ('an', 'DT'), ('idea', 'NN'), ('how', 'WRB'), ('we', 'PRP'), ('could', 'MD'), ('do', 'VB'), ('that', 'DT'), ('literally', 'RB'), ('just', 'RB'), ('the', 'DT'), ('same', 'JJ'), ('way', 'NN'), ('we', 'PRP'), ('did', 'VBD'), ('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('just', 'RB'), ('spring', 'NN'), ('it', 'PRP')]	[('wait', 'VB'), ('no', 'DT'), ('i', 'FW'), ('have', 'VBP'), ('an', 'DT'), ('idea', 'NN'), ('how', 'WRB'), ('we', 'PRP'), ('could', 'MD'), ('do', 'VB'), ('that', 'DT'), ('literally', 'RB'), ('just', 'RB'), ('the', 'DT'), ('same', 'JJ'), ('way', 'NN'), ('we', 'PRP'), ('do', 'VBP'), ('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('just', 'RB'), ('spring', 'NN'), ('it', 'PRP')]	ASU-T89_ExpBlock2-Caterpillar.txt
PB:	i think you're right	['i', 'think', 'you', 'are', 'right']	['i', 'think', 'you', 'be', 'right']	[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('are', 'VBP'), ('right', 'JJ')]	[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('be', 'VB'), ('right', 'JJ')]	[('i', 'LS'), ('think', 'VB'), ('you', 'PRP'), ('are', 'VBP'), ('right', 'JJ')]	[('i', 'LS'), ('think', 'VB'), ('you', 'PRP'), ('be', 'VB'), ('right', 'RB')]	ASU-T89_ExpBlock2-Caterpillar.txt
PA:	just give that give that guy a good springing	['just', 'give', 'that', 'give', 'that', 'guy', 'a', 'good', 'springing']	['just', 'give', 'that', 'give', 'that', 'guy', 'a', 'good', 'springing']	[('just', 'RB'), ('give', 'VB'), ('that', 'DT'), ('give', 'VBP'), ('that', 'IN'), ('guy', 'NN'), ('a', 'DT'), ('good', 'JJ'), ('springing', 'NN')]	[('just', 'RB'), ('give', 'VB'), ('that', 'DT'), ('give', 'VBP'), ('that', 'IN'), ('guy', 'NN'), ('a', 'DT'), ('good', 'JJ'), ('springing', 'NN')]	[('just', 'RB'), ('give', 'VB'), ('that', 'IN'), ('give', 'VBP'), ('that', 'IN'), ('guy', 'NN'), ('a', 'DT'), ('good', 'JJ'), ('springing', 'VBG')]	[('just', 'RB'), ('give', 'VB'), ('that', 'IN'), ('give', 'VBP'), ('that', 'IN'), ('guy', 'NN'), ('a', 'DT'), ('good', 'JJ'), ('springing', 'VBG')]	ASU-T89_ExpBlock2-Caterpillar.txt
PB:	we need it we need it through a spring on each side of the caterpillar so one on the the green means go side and one on the red 	['we', 'need', 'it', 'we', 'need', 'it', 'through', 'a', 'spring', 'on', 'each', 'side', 'of', 'the', 'caterpillar', 'so', 'one', 'on', 'the', 'the', 'green', 'means', 'go', 'side', 'and', 'one', 'on', 'the', 'red']	['we', 'need', 'it', 'we', 'need', 'it', 'through', 'a', 'spring', 'on', 'each', 'side', 'of', 'the', 'caterpillar', 'so', 'one', 'on', 'the', 'the', 'green', 'mean', 'go', 'side', 'and', 'one', 'on', 'the', 'red']	[('we', 'PRP'), ('need', 'VBP'), ('it', 'PRP'), ('we', 'PRP'), ('need', 'VBP'), ('it', 'PRP'), ('through', 'IN'), ('a', 'DT'), ('spring', 'NN'), ('on', 'IN'), ('each', 'DT'), ('side', 'NN'), ('of', 'IN'), ('the', 'DT'), ('caterpillar', 'NN'), ('so', 'RB'), ('one', 'CD'), ('on', 'IN'), ('the', 'DT'), ('the', 'DT'), ('green', 'JJ'), ('means', 'NNS'), ('go', 'VBP'), ('side', 'RB'), ('and', 'CC'), ('one', 'CD'), ('on', 'IN'), ('the', 'DT'), ('red', 'JJ')]	[('we', 'PRP'), ('need', 'VBP'), ('it', 'PRP'), ('we', 'PRP'), ('need', 'VBP'), ('it', 'PRP'), ('through', 'IN'), ('a', 'DT'), ('spring', 'NN'), ('on', 'IN'), ('each', 'DT'), ('side', 'NN'), ('of', 'IN'), ('the', 'DT'), ('caterpillar', 'NN'), ('so', 'RB'), ('one', 'CD'), ('on', 'IN'), ('the', 'DT'), ('the', 'DT'), ('green', 'JJ'), ('mean', 'NN'), ('go', 'VBP'), ('side', 'NN'), ('and', 'CC'), ('one', 'CD'), ('on', 'IN'), ('the', 'DT'), ('red', 'JJ')]	[('we', 'PRP'), ('need', 'VBP'), ('it', 'PRP'), ('we', 'PRP'), ('need', 'VBP'), ('it', 'PRP'), ('through', 'IN'), ('a', 'DT'), ('spring', 'NN'), ('on', 'IN'), ('each', 'DT'), ('side', 'NN'), ('of', 'IN'), ('the', 'DT'), ('caterpillar', 'NN'), ('so', 'RB'), ('one', 'CD'), ('on', 'IN'), ('the', 'DT'), ('the', 'DT'), ('green', 'JJ'), ('means', 'NNS'), ('go', 'VBP'), ('side', 'NN'), ('and', 'CC'), ('one', 'CD'), ('on', 'IN'), ('the', 'DT'), ('red', 'NN')]	[('we', 'PRP'), ('need', 'VBP'), ('it', 'PRP'), ('we', 'PRP'), ('need', 'VBP'), ('it', 'PRP'), ('through', 'IN'), ('a', 'DT'), ('spring', 'NN'), ('on', 'IN'), ('each', 'DT'), ('side', 'NN'), ('of', 'IN'), ('the', 'DT'), ('caterpillar', 'NN'), ('so', 'RB'), ('one', 'CD'), ('on', 'IN'), ('the', 'DT'), ('the', 'DT'), ('green', 'JJ'), ('mean', 'NN'), ('go', 'VB'), ('side', 'NN'), ('and', 'CC'), ('one', 'CD'), ('on', 'IN'), ('the', 'DT'), ('red', 'NN')]	ASU-T89_ExpBlock2-Caterpillar.txt
PA:	does it mean go	['does', 'it', 'mean', 'go']	['do', 'it', 'mean', 'go']	[('does', 'VBZ'), ('it', 'PRP'), ('mean', 'VB'), ('go', 'VB')]	[('do', 'VB'), ('it', 'PRP'), ('mean', 'VB'), ('go', 'VB')]	[('does', 'VBZ'), ('it', 'PRP'), ('mean', 'VB'), ('go', 'VB')]	[('do', 'VB'), ('it', 'PRP'), ('mean', 'VB'), ('go', 'VB')]	ASU-T89_ExpBlock2-Caterpillar.txt
PB:	like blood	['like', 'blood']	['like', 'blood']	[('like', 'IN'), ('blood', 'NN')]	[('like', 'IN'), ('blood', 'NN')]	[('like', 'IN'), ('blood', 'NN')]	[('like', 'IN'), ('blood', 'NN')]	ASU-T89_ExpBlock2-Caterpillar.txt
PA:	space bar stop it put a pin right where you put the last pin yeah right there and then make the thing slope kinda flat but kinda down so that it goes to the end	['space', 'bar', 'stop', 'it', 'put', 'a', 'pin', 'right', 'where', 'you', 'put', 'the', 'last', 'pin', 'yeah', 'right', 'there', 'and', 'then', 'make', 'the', 'thing', 'slope', 'kind', 'flat', 'but', 'kind', 'down', 'so', 'that', 'it', 'goes', 'to', 'the', 'end']	['space', 'bar', 'stop', 'it', 'put', 'a', 'pin', 'right', 'where', 'you', 'put', 'the', 'last', 'pin', 'yeah', 'right', 'there', 'and', 'then', 'make', 'the', 'thing', 'slope', 'kind', 'flat', 'but', 'kind', 'down', 'so', 'that', 'it', 'go', 'to', 'the', 'end']	[('space', 'NN'), ('bar', 'NN'), ('stop', 'VB'), ('it', 'PRP'), ('put', 'VB'), ('a', 'DT'), ('pin', 'NN'), ('right', 'RB'), ('where', 'WRB'), ('you', 'PRP'), ('put', 'VBD'), ('the', 'DT'), ('last', 'JJ'), ('pin', 'NN'), ('yeah', 'RB'), ('right', 'RB'), ('there', 'RB'), ('and', 'CC'), ('then', 'RB'), ('make', 'VB'), ('the', 'DT'), ('thing', 'NN'), ('slope', 'NN'), ('kind', 'NN'), ('flat', 'JJ'), ('but', 'CC'), ('kind', 'NN'), ('down', 'RP'), ('so', 'RB'), ('that', 'IN'), ('it', 'PRP'), ('goes', 'VBZ'), ('to', 'TO'), ('the', 'DT'), ('end', 'NN')]	[('space', 'NN'), ('bar', 'NN'), ('stop', 'VB'), ('it', 'PRP'), ('put', 'VB'), ('a', 'DT'), ('pin', 'NN'), ('right', 'RB'), ('where', 'WRB'), ('you', 'PRP'), ('put', 'VBD'), ('the', 'DT'), ('last', 'JJ'), ('pin', 'NN'), ('yeah', 'RB'), ('right', 'RB'), ('there', 'RB'), ('and', 'CC'), ('then', 'RB'), ('make', 'VB'), ('the', 'DT'), ('thing', 'NN'), ('slope', 'NN'), ('kind', 'NN'), ('flat', 'JJ'), ('but', 'CC'), ('kind', 'NN'), ('down', 'RP'), ('so', 'RB'), ('that', 'IN'), ('it', 'PRP'), ('go', 'VB'), ('to', 'TO'), ('the', 'DT'), ('end', 'NN')]	[('space', 'NN'), ('bar', 'NN'), ('stop', 'VB'), ('it', 'PRP'), ('put', 'VB'), ('a', 'DT'), ('pin', 'NN'), ('right', 'NN'), ('where', 'WRB'), ('you', 'PRP'), ('put', 'VBP'), ('the', 'DT'), ('last', 'JJ'), ('pin', 'NN'), ('yeah', 'JJ'), ('right', 'NN'), ('there', 'RB'), ('and', 'CC'), ('then', 'RB'), ('make', 'VB'), ('the', 'DT'), ('thing', 'NN'), ('slope', 'NN'), ('kind', 'NN'), ('flat', 'JJ'), ('but', 'CC'), ('kind', 'RB'), ('down', 'RB'), ('so', 'RB'), ('that', 'IN'), ('it', 'PRP'), ('goes', 'VBZ'), ('to', 'TO'), ('the', 'DT'), ('end', 'NN')]	[('space', 'NN'), ('bar', 'NN'), ('stop', 'VB'), ('it', 'PRP'), ('put', 'VB'), ('a', 'DT'), ('pin', 'NN'), ('right', 'NN'), ('where', 'WRB'), ('you', 'PRP'), ('put', 'VBP'), ('the', 'DT'), ('last', 'JJ'), ('pin', 'NN'), ('yeah', 'JJ'), ('right', 'NN'), ('there', 'RB'), ('and', 'CC'), ('then', 'RB'), ('make', 'VB'), ('the', 'DT'), ('thing', 'NN'), ('slope', 'NN'), ('kind', 'NN'), ('flat', 'JJ'), ('but', 'CC'), ('kind', 'RB'), ('down', 'RB'), ('so', 'RB'), ('that', 'IN'), ('it', 'PRP'), ('go', 'VB'), ('to', 'TO'), ('the', 'DT'), ('end', 'NN')]	ASU-T89_ExpBlock2-Caterpillar.txt
PC:	like that	['like', 'that']	['like', 'that']	[('like', 'IN'), ('that', 'DT')]	[('like', 'IN'), ('that', 'DT')]	[('like', 'IN'), ('that', 'DT')]	[('like', 'IN'), ('that', 'DT')]	ASU-T89_ExpBlock2-Caterpillar.txt
PA:	but yeah you have to put a hook on the end of it like a spoon	['but', 'yeah', 'you', 'have', 'to', 'put', 'a', 'hook', 'on', 'the', 'end', 'of', 'it', 'like', 'a', 'spoon']	['but', 'yeah', 'you', 'have', 'to', 'put', 'a', 'hook', 'on', 'the', 'end', 'of', 'it', 'like', 'a', 'spoon']	[('but', 'CC'), ('yeah', 'PRP'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('put', 'VB'), ('a', 'DT'), ('hook', 'NN'), ('on', 'IN'), ('the', 'DT'), ('end', 'NN'), ('of', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('a', 'DT'), ('spoon', 'NN')]	[('but', 'CC'), ('yeah', 'PRP'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('put', 'VB'), ('a', 'DT'), ('hook', 'NN'), ('on', 'IN'), ('the', 'DT'), ('end', 'NN'), ('of', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('a', 'DT'), ('spoon', 'NN')]	[('but', 'CC'), ('yeah', 'VBP'), ('you', 'PRP'), ('have', 'VB'), ('to', 'TO'), ('put', 'VB'), ('a', 'DT'), ('hook', 'NN'), ('on', 'IN'), ('the', 'DT'), ('end', 'NN'), ('of', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('a', 'DT'), ('spoon', 'NN')]	[('but', 'CC'), ('yeah', 'VBP'), ('you', 'PRP'), ('have', 'VB'), ('to', 'TO'), ('put', 'VB'), ('a', 'DT'), ('hook', 'NN'), ('on', 'IN'), ('the', 'DT'), ('end', 'NN'), ('of', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('a', 'DT'), ('spoon', 'NN')]	ASU-T89_ExpBlock2-Caterpillar.txt
