participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PB:	cloudy day   that seems really easy to be honest uphill battle that seems really easy too	['cloudy', 'day', 'that', 'seems', 'really', 'easy', 'to', 'be', 'honest', 'uphill', 'battle', 'that', 'seems', 'really', 'easy', 'too']	['cloudy', 'day', 'that', 'seem', 'really', 'easy', 'to', 'be', 'honest', 'uphill', 'battle', 'that', 'seem', 'really', 'easy', 'too']	[('cloudy', 'NN'), ('day', 'NN'), ('that', 'WDT'), ('seems', 'VBZ'), ('really', 'RB'), ('easy', 'JJ'), ('to', 'TO'), ('be', 'VB'), ('honest', 'JJS'), ('uphill', 'JJ'), ('battle', 'NN'), ('that', 'WDT'), ('seems', 'VBZ'), ('really', 'RB'), ('easy', 'JJ'), ('too', 'RB')]	[('cloudy', 'NN'), ('day', 'NN'), ('that', 'WDT'), ('seem', 'VBP'), ('really', 'RB'), ('easy', 'JJ'), ('to', 'TO'), ('be', 'VB'), ('honest', 'JJS'), ('uphill', 'JJ'), ('battle', 'NN'), ('that', 'WDT'), ('seem', 'VBP'), ('really', 'RB'), ('easy', 'JJ'), ('too', 'RB')]	[('cloudy', 'JJ'), ('day', 'NN'), ('that', 'WDT'), ('seems', 'VBZ'), ('really', 'RB'), ('easy', 'JJ'), ('to', 'TO'), ('be', 'VB'), ('honest', 'JJ'), ('uphill', 'JJ'), ('battle', 'NN'), ('that', 'WDT'), ('seems', 'VBZ'), ('really', 'RB'), ('easy', 'JJ'), ('too', 'RB')]	[('cloudy', 'JJ'), ('day', 'NN'), ('that', 'WDT'), ('seem', 'VBP'), ('really', 'RB'), ('easy', 'JJ'), ('to', 'TO'), ('be', 'VB'), ('honest', 'JJ'), ('uphill', 'JJ'), ('battle', 'NN'), ('that', 'WDT'), ('seem', 'VBP'), ('really', 'RB'), ('easy', 'JJ'), ('too', 'RB')]	ASU-T46_ExpBlock2-DolphinShow.txt
PC:	all right let's start with cloudy day then	['all', 'right', 'let', 'us', 'start', 'with', 'cloudy', 'day', 'then']	['all', 'right', 'let', 'u', 'start', 'with', 'cloudy', 'day', 'then']	[('all', 'DT'), ('right', 'JJ'), ('let', 'VB'), ('us', 'PRP'), ('start', 'VB'), ('with', 'IN'), ('cloudy', 'NN'), ('day', 'NN'), ('then', 'RB')]	[('all', 'DT'), ('right', 'JJ'), ('let', 'NN'), ('u', 'JJ'), ('start', 'VB'), ('with', 'IN'), ('cloudy', 'NN'), ('day', 'NN'), ('then', 'RB')]	[('all', 'DT'), ('right', 'JJ'), ('let', 'VB'), ('us', 'PRP'), ('start', 'VB'), ('with', 'IN'), ('cloudy', 'JJ'), ('day', 'NN'), ('then', 'RB')]	[('all', 'DT'), ('right', 'JJ'), ('let', 'VBD'), ('u', 'NN'), ('start', 'NN'), ('with', 'IN'), ('cloudy', 'JJ'), ('day', 'NN'), ('then', 'RB')]	ASU-T46_ExpBlock2-DolphinShow.txt
PB:	yeah i guess so	['yeah', 'i', 'guess', 'so']	['yeah', 'i', 'guess', 'so']	[('yeah', 'NN'), ('i', 'NN'), ('guess', 'NN'), ('so', 'RB')]	[('yeah', 'NN'), ('i', 'NN'), ('guess', 'NN'), ('so', 'RB')]	[('yeah', 'JJ'), ('i', 'FW'), ('guess', 'NN'), ('so', 'RB')]	[('yeah', 'JJ'), ('i', 'FW'), ('guess', 'NN'), ('so', 'RB')]	ASU-T46_ExpBlock2-DolphinShow.txt
PC:	all right oh that wha wait what 	['all', 'right', 'oh', 'that', 'who', 'wait', 'what']	['all', 'right', 'oh', 'that', 'who', 'wait', 'what']	[('all', 'DT'), ('right', 'JJ'), ('oh', 'NN'), ('that', 'IN'), ('who', 'WP'), ('wait', 'VBP'), ('what', 'WP')]	[('all', 'DT'), ('right', 'JJ'), ('oh', 'NN'), ('that', 'IN'), ('who', 'WP'), ('wait', 'VBP'), ('what', 'WP')]	[('all', 'DT'), ('right', 'JJ'), ('oh', 'UH'), ('that', 'WDT'), ('who', 'WP'), ('wait', 'VBP'), ('what', 'WP')]	[('all', 'DT'), ('right', 'JJ'), ('oh', 'UH'), ('that', 'WDT'), ('who', 'WP'), ('wait', 'VBP'), ('what', 'WP')]	ASU-T46_ExpBlock2-DolphinShow.txt
PB:	i think you accidentally pressed the wrong one  	['i', 'think', 'you', 'accidentally', 'pressed', 'the', 'wrong', 'one']	['i', 'think', 'you', 'accidentally', 'press', 'the', 'wrong', 'one']	[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('accidentally', 'RB'), ('pressed', 'VBD'), ('the', 'DT'), ('wrong', 'JJ'), ('one', 'NN')]	[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('accidentally', 'RB'), ('press', 'VB'), ('the', 'DT'), ('wrong', 'JJ'), ('one', 'NN')]	[('i', 'LS'), ('think', 'VB'), ('you', 'PRP'), ('accidentally', 'RB'), ('pressed', 'VBD'), ('the', 'DT'), ('wrong', 'JJ'), ('one', 'CD')]	[('i', 'LS'), ('think', 'VB'), ('you', 'PRP'), ('accidentally', 'RB'), ('press', 'VBP'), ('the', 'DT'), ('wrong', 'JJ'), ('one', 'CD')]	ASU-T46_ExpBlock2-DolphinShow.txt
PC:	well i guess we're figuring out this one	['well', 'i', 'guess', 'we', 'are', 'firing', 'out', 'this', 'one']	['well', 'i', 'guess', 'we', 'be', 'fire', 'out', 'this', 'one']	[('well', 'RB'), ('i', 'JJ'), ('guess', 'NN'), ('we', 'PRP'), ('are', 'VBP'), ('firing', 'VBG'), ('out', 'RP'), ('this', 'DT'), ('one', 'NN')]	[('well', 'RB'), ('i', 'JJ'), ('guess', 'NN'), ('we', 'PRP'), ('be', 'VB'), ('fire', 'VBN'), ('out', 'RP'), ('this', 'DT'), ('one', 'NN')]	[('well', 'RB'), ('i', 'FW'), ('guess', 'NN'), ('we', 'PRP'), ('are', 'VBP'), ('firing', 'NN'), ('out', 'IN'), ('this', 'DT'), ('one', 'CD')]	[('well', 'RB'), ('i', 'FW'), ('guess', 'NN'), ('we', 'PRP'), ('be', 'VB'), ('fire', 'NN'), ('out', 'IN'), ('this', 'DT'), ('one', 'CD')]	ASU-T46_ExpBlock2-DolphinShow.txt
PB:	i guess we're gonna have to deal with these   these dolphins	['i', 'guess', 'we', 'are', 'on', 'na', 'have', 'to', 'deal', 'with', 'these', 'these', 'dolphin']	['i', 'guess', 'we', 'be', 'on', 'na', 'have', 'to', 'deal', 'with', 'these', 'these', 'dolphin']	[('i', 'JJ'), ('guess', 'NN'), ('we', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'NNS'), ('have', 'VBP'), ('to', 'TO'), ('deal', 'VB'), ('with', 'IN'), ('these', 'DT'), ('these', 'DT'), ('dolphin', 'NNS')]	[('i', 'JJ'), ('guess', 'NN'), ('we', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'NNS'), ('have', 'VBP'), ('to', 'TO'), ('deal', 'VB'), ('with', 'IN'), ('these', 'DT'), ('these', 'DT'), ('dolphin', 'NNS')]	[('i', 'LS'), ('guess', 'NN'), ('we', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'TO'), ('have', 'VB'), ('to', 'TO'), ('deal', 'VB'), ('with', 'IN'), ('these', 'DT'), ('these', 'DT'), ('dolphin', 'NN')]	[('i', 'LS'), ('guess', 'NN'), ('we', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('have', 'VB'), ('to', 'TO'), ('deal', 'VB'), ('with', 'IN'), ('these', 'DT'), ('these', 'DT'), ('dolphin', 'NN')]	ASU-T46_ExpBlock2-DolphinShow.txt
PC:	  yep all right 	['yep', 'all', 'right']	['yep', 'all', 'right']	[('yep', 'RB'), ('all', 'DT'), ('right', 'NN')]	[('yep', 'RB'), ('all', 'DT'), ('right', 'NN')]	[('yep', 'RB'), ('all', 'DT'), ('right', 'NN')]	[('yep', 'RB'), ('all', 'DT'), ('right', 'NN')]	ASU-T46_ExpBlock2-DolphinShow.txt
PB:	you had it good though i mean you probably just had to put had to put a fulcrum or something	['you', 'had', 'it', 'good', 'though', 'i', 'mean', 'you', 'probably', 'just', 'had', 'to', 'put', 'had', 'to', 'put', 'a', 'fulcrum', 'or', 'something']	['you', 'have', 'it', 'good', 'though', 'i', 'mean', 'you', 'probably', 'just', 'have', 'to', 'put', 'have', 'to', 'put', 'a', 'fulcrum', 'or', 'something']	[('you', 'PRP'), ('had', 'VBD'), ('it', 'PRP'), ('good', 'JJ'), ('though', 'IN'), ('i', 'JJ'), ('mean', 'VBP'), ('you', 'PRP'), ('probably', 'RB'), ('just', 'RB'), ('had', 'VBD'), ('to', 'TO'), ('put', 'VB'), ('had', 'VBD'), ('to', 'TO'), ('put', 'VB'), ('a', 'DT'), ('fulcrum', 'NN'), ('or', 'CC'), ('something', 'NN')]	[('you', 'PRP'), ('have', 'VBP'), ('it', 'PRP'), ('good', 'JJ'), ('though', 'IN'), ('i', 'JJ'), ('mean', 'VBP'), ('you', 'PRP'), ('probably', 'RB'), ('just', 'RB'), ('have', 'VB'), ('to', 'TO'), ('put', 'VB'), ('have', 'VB'), ('to', 'TO'), ('put', 'VB'), ('a', 'DT'), ('fulcrum', 'NN'), ('or', 'CC'), ('something', 'NN')]	[('you', 'PRP'), ('had', 'VBD'), ('it', 'PRP'), ('good', 'JJ'), ('though', 'IN'), ('i', 'FW'), ('mean', 'VB'), ('you', 'PRP'), ('probably', 'RB'), ('just', 'RB'), ('had', 'VBD'), ('to', 'TO'), ('put', 'VB'), ('had', 'VBD'), ('to', 'TO'), ('put', 'VB'), ('a', 'DT'), ('fulcrum', 'NN'), ('or', 'CC'), ('something', 'NN')]	[('you', 'PRP'), ('have', 'VBP'), ('it', 'PRP'), ('good', 'JJ'), ('though', 'IN'), ('i', 'FW'), ('mean', 'VB'), ('you', 'PRP'), ('probably', 'RB'), ('just', 'RB'), ('have', 'VB'), ('to', 'TO'), ('put', 'VB'), ('have', 'VB'), ('to', 'TO'), ('put', 'VB'), ('a', 'DT'), ('fulcrum', 'NN'), ('or', 'CC'), ('something', 'NN')]	ASU-T46_ExpBlock2-DolphinShow.txt
PC:	from like the mouth here i think nothing happens okay well at least that'll hold it in place for now so let's see will it get over there if i 	"['from', 'like', 'the', 'mouth', 'here', 'i', 'think', 'nothing', 'happens', 'okay', 'well', 'at', 'least', 'that', ""'ll"", 'hold', 'it', 'in', 'place', 'for', 'now', 'so', 'let', 'us', 'see', 'will', 'it', 'get', 'over', 'there', 'if', 'i']"	"['from', 'like', 'the', 'mouth', 'here', 'i', 'think', 'nothing', 'happen', 'okay', 'well', 'at', 'least', 'that', ""'ll"", 'hold', 'it', 'in', 'place', 'for', 'now', 'so', 'let', 'u', 'see', 'will', 'it', 'get', 'over', 'there', 'if', 'i']"	"[('from', 'IN'), ('like', 'IN'), ('the', 'DT'), ('mouth', 'NN'), ('here', 'RB'), ('i', 'JJ'), ('think', 'VBP'), ('nothing', 'NN'), ('happens', 'VBZ'), ('okay', 'RB'), ('well', 'RB'), ('at', 'IN'), ('least', 'JJS'), ('that', 'DT'), (""'ll"", 'MD'), ('hold', 'VB'), ('it', 'PRP'), ('in', 'IN'), ('place', 'NN'), ('for', 'IN'), ('now', 'RB'), ('so', 'RB'), ('let', 'VB'), ('us', 'PRP'), ('see', 'VB'), ('will', 'MD'), ('it', 'PRP'), ('get', 'VB'), ('over', 'IN'), ('there', 'RB'), ('if', 'IN'), ('i', 'NN')]"	"[('from', 'IN'), ('like', 'IN'), ('the', 'DT'), ('mouth', 'NN'), ('here', 'RB'), ('i', 'JJ'), ('think', 'VBP'), ('nothing', 'NN'), ('happen', 'NN'), ('okay', 'RB'), ('well', 'RB'), ('at', 'IN'), ('least', 'JJS'), ('that', 'DT'), (""'ll"", 'MD'), ('hold', 'VB'), ('it', 'PRP'), ('in', 'IN'), ('place', 'NN'), ('for', 'IN'), ('now', 'RB'), ('so', 'RB'), ('let', 'JJ'), ('u', 'JJ'), ('see', 'VB'), ('will', 'MD'), ('it', 'PRP'), ('get', 'VB'), ('over', 'IN'), ('there', 'RB'), ('if', 'IN'), ('i', 'NN')]"	"[('from', 'IN'), ('like', 'IN'), ('the', 'DT'), ('mouth', 'NN'), ('here', 'RB'), ('i', 'FW'), ('think', 'VBP'), ('nothing', 'NN'), ('happens', 'VBZ'), ('okay', 'JJ'), ('well', 'RB'), ('at', 'IN'), ('least', 'JJS'), ('that', 'WDT'), (""'ll"", 'MD'), ('hold', 'VB'), ('it', 'PRP'), ('in', 'IN'), ('place', 'NN'), ('for', 'IN'), ('now', 'RB'), ('so', 'RB'), ('let', 'VB'), ('us', 'PRP'), ('see', 'VB'), ('will', 'MD'), ('it', 'PRP'), ('get', 'VB'), ('over', 'IN'), ('there', 'EX'), ('if', 'IN'), ('i', 'FW')]"	"[('from', 'IN'), ('like', 'IN'), ('the', 'DT'), ('mouth', 'NN'), ('here', 'RB'), ('i', 'FW'), ('think', 'VBP'), ('nothing', 'NN'), ('happen', 'VB'), ('okay', 'JJ'), ('well', 'RB'), ('at', 'IN'), ('least', 'JJS'), ('that', 'WDT'), (""'ll"", 'MD'), ('hold', 'VB'), ('it', 'PRP'), ('in', 'IN'), ('place', 'NN'), ('for', 'IN'), ('now', 'RB'), ('so', 'RB'), ('let', 'VB'), ('u', 'NN'), ('see', 'VB'), ('will', 'MD'), ('it', 'PRP'), ('get', 'VB'), ('over', 'IN'), ('there', 'EX'), ('if', 'IN'), ('i', 'FW')]"	ASU-T46_ExpBlock2-DolphinShow.txt
