participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PD:	okay so it's gonna keep rolling off unless there's a weight on the other end to counter bounce counterbalance the apple	['okay', 'so', 'it', 'is', 'on', 'na', 'keep', 'rolling', 'off', 'unless', 'there', 'is', 'a', 'weight', 'on', 'the', 'other', 'end', 'to', 'counter', 'bounce', 'counterbalance', 'the', 'apple']	['okay', 'so', 'it', 'be', 'on', 'na', 'keep', 'roll', 'off', 'unless', 'there', 'be', 'a', 'weight', 'on', 'the', 'other', 'end', 'to', 'counter', 'bounce', 'counterbalance', 'the', 'apple']	[('okay', 'RB'), ('so', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('on', 'IN'), ('na', 'JJ'), ('keep', 'VB'), ('rolling', 'VBG'), ('off', 'RP'), ('unless', 'IN'), ('there', 'EX'), ('is', 'VBZ'), ('a', 'DT'), ('weight', 'NN'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('end', 'NN'), ('to', 'TO'), ('counter', 'VB'), ('bounce', 'NN'), ('counterbalance', 'NN'), ('the', 'DT'), ('apple', 'NN')]	[('okay', 'RB'), ('so', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'JJ'), ('keep', 'VB'), ('roll', 'NN'), ('off', 'IN'), ('unless', 'IN'), ('there', 'EX'), ('be', 'VB'), ('a', 'DT'), ('weight', 'NN'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('end', 'NN'), ('to', 'TO'), ('counter', 'VB'), ('bounce', 'NN'), ('counterbalance', 'NN'), ('the', 'DT'), ('apple', 'NN')]	[('okay', 'JJ'), ('so', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('on', 'IN'), ('na', 'TO'), ('keep', 'VB'), ('rolling', 'VBG'), ('off', 'RB'), ('unless', 'IN'), ('there', 'EX'), ('is', 'VBZ'), ('a', 'DT'), ('weight', 'NN'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('end', 'NN'), ('to', 'TO'), ('counter', 'VB'), ('bounce', 'NN'), ('counterbalance', 'NN'), ('the', 'DT'), ('apple', 'NN')]	[('okay', 'JJ'), ('so', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('keep', 'VB'), ('roll', 'NN'), ('off', 'IN'), ('unless', 'IN'), ('there', 'EX'), ('be', 'VB'), ('a', 'DT'), ('weight', 'NN'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('end', 'NN'), ('to', 'TO'), ('counter', 'VB'), ('bounce', 'NN'), ('counterbalance', 'NN'), ('the', 'DT'), ('apple', 'NN')]	ASU-T87-ExpBlock2-GreenApple.txt
PC:	i keep wanting to just draw	['i', 'keep', 'wanting', 'to', 'just', 'draw']	['i', 'keep', 'want', 'to', 'just', 'draw']	[('i', 'JJ'), ('keep', 'VBP'), ('wanting', 'VBG'), ('to', 'TO'), ('just', 'RB'), ('draw', 'VB')]	[('i', 'JJ'), ('keep', 'VBP'), ('want', 'VBP'), ('to', 'TO'), ('just', 'RB'), ('draw', 'VB')]	[('i', 'LS'), ('keep', 'VB'), ('wanting', 'VBG'), ('to', 'TO'), ('just', 'RB'), ('draw', 'VB')]	[('i', 'LS'), ('keep', 'VB'), ('want', 'VB'), ('to', 'TO'), ('just', 'RB'), ('draw', 'VB')]	ASU-T87-ExpBlock2-GreenApple.txt
PA:	can you draw like a basket like from one of your circles you just made to like a circle that you make on the yellow line just make a basket so you can kinda like pendulum it around	['can', 'you', 'draw', 'like', 'a', 'basket', 'like', 'from', 'one', 'of', 'your', 'circles', 'you', 'just', 'made', 'to', 'like', 'a', 'circle', 'that', 'you', 'make', 'on', 'the', 'yellow', 'line', 'just', 'make', 'a', 'basket', 'so', 'you', 'can', 'kind', 'like', 'pendulum', 'it', 'around']	['can', 'you', 'draw', 'like', 'a', 'basket', 'like', 'from', 'one', 'of', 'your', 'circle', 'you', 'just', 'make', 'to', 'like', 'a', 'circle', 'that', 'you', 'make', 'on', 'the', 'yellow', 'line', 'just', 'make', 'a', 'basket', 'so', 'you', 'can', 'kind', 'like', 'pendulum', 'it', 'around']	[('can', 'MD'), ('you', 'PRP'), ('draw', 'VB'), ('like', 'IN'), ('a', 'DT'), ('basket', 'NN'), ('like', 'IN'), ('from', 'IN'), ('one', 'CD'), ('of', 'IN'), ('your', 'PRP$'), ('circles', 'NNS'), ('you', 'PRP'), ('just', 'RB'), ('made', 'VBD'), ('to', 'TO'), ('like', 'VB'), ('a', 'DT'), ('circle', 'NN'), ('that', 'IN'), ('you', 'PRP'), ('make', 'VBP'), ('on', 'IN'), ('the', 'DT'), ('yellow', 'JJ'), ('line', 'NN'), ('just', 'RB'), ('make', 'VB'), ('a', 'DT'), ('basket', 'NN'), ('so', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('kind', 'NN'), ('like', 'IN'), ('pendulum', 'NN'), ('it', 'PRP'), ('around', 'IN')]	[('can', 'MD'), ('you', 'PRP'), ('draw', 'VB'), ('like', 'IN'), ('a', 'DT'), ('basket', 'NN'), ('like', 'IN'), ('from', 'IN'), ('one', 'CD'), ('of', 'IN'), ('your', 'PRP$'), ('circle', 'NN'), ('you', 'PRP'), ('just', 'RB'), ('make', 'VB'), ('to', 'TO'), ('like', 'VB'), ('a', 'DT'), ('circle', 'NN'), ('that', 'IN'), ('you', 'PRP'), ('make', 'VBP'), ('on', 'IN'), ('the', 'DT'), ('yellow', 'JJ'), ('line', 'NN'), ('just', 'RB'), ('make', 'VB'), ('a', 'DT'), ('basket', 'NN'), ('so', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('kind', 'NN'), ('like', 'IN'), ('pendulum', 'NN'), ('it', 'PRP'), ('around', 'IN')]	[('can', 'MD'), ('you', 'PRP'), ('draw', 'VB'), ('like', 'IN'), ('a', 'DT'), ('basket', 'NN'), ('like', 'IN'), ('from', 'IN'), ('one', 'CD'), ('of', 'IN'), ('your', 'PRP$'), ('circles', 'NNS'), ('you', 'PRP'), ('just', 'RB'), ('made', 'VBD'), ('to', 'TO'), ('like', 'VB'), ('a', 'DT'), ('circle', 'NN'), ('that', 'IN'), ('you', 'PRP'), ('make', 'VBP'), ('on', 'IN'), ('the', 'DT'), ('yellow', 'JJ'), ('line', 'NN'), ('just', 'RB'), ('make', 'VBP'), ('a', 'DT'), ('basket', 'NN'), ('so', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('kind', 'RB'), ('like', 'VB'), ('pendulum', 'NN'), ('it', 'PRP'), ('around', 'IN')]	[('can', 'MD'), ('you', 'PRP'), ('draw', 'VB'), ('like', 'IN'), ('a', 'DT'), ('basket', 'NN'), ('like', 'IN'), ('from', 'IN'), ('one', 'CD'), ('of', 'IN'), ('your', 'PRP$'), ('circle', 'NN'), ('you', 'PRP'), ('just', 'RB'), ('make', 'VBP'), ('to', 'TO'), ('like', 'VB'), ('a', 'DT'), ('circle', 'NN'), ('that', 'IN'), ('you', 'PRP'), ('make', 'VBP'), ('on', 'IN'), ('the', 'DT'), ('yellow', 'JJ'), ('line', 'NN'), ('just', 'RB'), ('make', 'VBP'), ('a', 'DT'), ('basket', 'NN'), ('so', 'IN'), ('you', 'PRP'), ('can', 'MD'), ('kind', 'RB'), ('like', 'VB'), ('pendulum', 'NN'), ('it', 'PRP'), ('around', 'IN')]	ASU-T87-ExpBlock2-GreenApple.txt
PC:	that makes sense	['that', 'makes', 'sense']	['that', 'make', 'sense']	[('that', 'DT'), ('makes', 'VBZ'), ('sense', 'NN')]	[('that', 'DT'), ('make', 'VBP'), ('sense', 'NN')]	[('that', 'WDT'), ('makes', 'VBZ'), ('sense', 'NN')]	[('that', 'WDT'), ('make', 'VBP'), ('sense', 'NN')]	ASU-T87-ExpBlock2-GreenApple.txt
PA:	you know what i'm saying so like catch it like on the edge there where you have it and just hopefully if you add enough weight it can just swing it around then make another make another like little circle on the yellow line and then just connect it	['you', 'know', 'what', 'i', 'am', 'saying', 'so', 'like', 'catch', 'it', 'like', 'on', 'the', 'edge', 'there', 'where', 'you', 'have', 'it', 'and', 'just', 'hopefully', 'if', 'you', 'add', 'enough', 'weight', 'it', 'can', 'just', 'swing', 'it', 'around', 'then', 'make', 'another', 'make', 'another', 'like', 'little', 'circle', 'on', 'the', 'yellow', 'line', 'and', 'then', 'just', 'connect', 'it']	['you', 'know', 'what', 'i', 'be', 'say', 'so', 'like', 'catch', 'it', 'like', 'on', 'the', 'edge', 'there', 'where', 'you', 'have', 'it', 'and', 'just', 'hopefully', 'if', 'you', 'add', 'enough', 'weight', 'it', 'can', 'just', 'swing', 'it', 'around', 'then', 'make', 'another', 'make', 'another', 'like', 'little', 'circle', 'on', 'the', 'yellow', 'line', 'and', 'then', 'just', 'connect', 'it']	[('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('i', 'VBP'), ('am', 'VBP'), ('saying', 'VBG'), ('so', 'IN'), ('like', 'IN'), ('catch', 'NN'), ('it', 'PRP'), ('like', 'IN'), ('on', 'IN'), ('the', 'DT'), ('edge', 'NN'), ('there', 'RB'), ('where', 'WRB'), ('you', 'PRP'), ('have', 'VBP'), ('it', 'PRP'), ('and', 'CC'), ('just', 'RB'), ('hopefully', 'RB'), ('if', 'IN'), ('you', 'PRP'), ('add', 'VBP'), ('enough', 'JJ'), ('weight', 'IN'), ('it', 'PRP'), ('can', 'MD'), ('just', 'RB'), ('swing', 'VB'), ('it', 'PRP'), ('around', 'RP'), ('then', 'RB'), ('make', 'VB'), ('another', 'DT'), ('make', 'VB'), ('another', 'DT'), ('like', 'JJ'), ('little', 'JJ'), ('circle', 'NN'), ('on', 'IN'), ('the', 'DT'), ('yellow', 'JJ'), ('line', 'NN'), ('and', 'CC'), ('then', 'RB'), ('just', 'RB'), ('connect', 'VB'), ('it', 'PRP')]	[('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('i', 'JJ'), ('be', 'VB'), ('say', 'VBP'), ('so', 'RB'), ('like', 'JJ'), ('catch', 'VBP'), ('it', 'PRP'), ('like', 'IN'), ('on', 'IN'), ('the', 'DT'), ('edge', 'NN'), ('there', 'RB'), ('where', 'WRB'), ('you', 'PRP'), ('have', 'VBP'), ('it', 'PRP'), ('and', 'CC'), ('just', 'RB'), ('hopefully', 'RB'), ('if', 'IN'), ('you', 'PRP'), ('add', 'VBP'), ('enough', 'JJ'), ('weight', 'IN'), ('it', 'PRP'), ('can', 'MD'), ('just', 'RB'), ('swing', 'VB'), ('it', 'PRP'), ('around', 'RP'), ('then', 'RB'), ('make', 'VB'), ('another', 'DT'), ('make', 'VB'), ('another', 'DT'), ('like', 'JJ'), ('little', 'JJ'), ('circle', 'NN'), ('on', 'IN'), ('the', 'DT'), ('yellow', 'JJ'), ('line', 'NN'), ('and', 'CC'), ('then', 'RB'), ('just', 'RB'), ('connect', 'VB'), ('it', 'PRP')]	[('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('i', 'FW'), ('am', 'VBP'), ('saying', 'VBG'), ('so', 'RB'), ('like', 'IN'), ('catch', 'NN'), ('it', 'PRP'), ('like', 'IN'), ('on', 'IN'), ('the', 'DT'), ('edge', 'NN'), ('there', 'RB'), ('where', 'WRB'), ('you', 'PRP'), ('have', 'VBP'), ('it', 'PRP'), ('and', 'CC'), ('just', 'RB'), ('hopefully', 'RB'), ('if', 'IN'), ('you', 'PRP'), ('add', 'VBP'), ('enough', 'JJ'), ('weight', 'NN'), ('it', 'PRP'), ('can', 'MD'), ('just', 'RB'), ('swing', 'VB'), ('it', 'PRP'), ('around', 'IN'), ('then', 'RB'), ('make', 'VBP'), ('another', 'DT'), ('make', 'VBP'), ('another', 'DT'), ('like', 'IN'), ('little', 'JJ'), ('circle', 'NN'), ('on', 'IN'), ('the', 'DT'), ('yellow', 'JJ'), ('line', 'NN'), ('and', 'CC'), ('then', 'RB'), ('just', 'RB'), ('connect', 'VB'), ('it', 'PRP')]	[('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('i', 'FW'), ('be', 'VB'), ('say', 'VB'), ('so', 'RB'), ('like', 'IN'), ('catch', 'NN'), ('it', 'PRP'), ('like', 'IN'), ('on', 'IN'), ('the', 'DT'), ('edge', 'NN'), ('there', 'RB'), ('where', 'WRB'), ('you', 'PRP'), ('have', 'VBP'), ('it', 'PRP'), ('and', 'CC'), ('just', 'RB'), ('hopefully', 'RB'), ('if', 'IN'), ('you', 'PRP'), ('add', 'VBP'), ('enough', 'JJ'), ('weight', 'NN'), ('it', 'PRP'), ('can', 'MD'), ('just', 'RB'), ('swing', 'VB'), ('it', 'PRP'), ('around', 'IN'), ('then', 'RB'), ('make', 'VBP'), ('another', 'DT'), ('make', 'VBP'), ('another', 'DT'), ('like', 'IN'), ('little', 'JJ'), ('circle', 'NN'), ('on', 'IN'), ('the', 'DT'), ('yellow', 'JJ'), ('line', 'NN'), ('and', 'CC'), ('then', 'RB'), ('just', 'RB'), ('connect', 'VB'), ('it', 'PRP')]	ASU-T87-ExpBlock2-GreenApple.txt
PC:	like that	['like', 'that']	['like', 'that']	[('like', 'IN'), ('that', 'DT')]	[('like', 'IN'), ('that', 'DT')]	[('like', 'IN'), ('that', 'DT')]	[('like', 'IN'), ('that', 'DT')]	ASU-T87-ExpBlock2-GreenApple.txt
PA:	i would say more to the left but like see if that works try it see like you know how the blue line just like fell off	['i', 'would', 'say', 'more', 'to', 'the', 'left', 'but', 'like', 'see', 'if', 'that', 'works', 'try', 'it', 'see', 'like', 'you', 'know', 'how', 'the', 'blue', 'line', 'just', 'like', 'fell', 'off']	['i', 'would', 'say', 'more', 'to', 'the', 'left', 'but', 'like', 'see', 'if', 'that', 'work', 'try', 'it', 'see', 'like', 'you', 'know', 'how', 'the', 'blue', 'line', 'just', 'like', 'fell', 'off']	[('i', 'NN'), ('would', 'MD'), ('say', 'VB'), ('more', 'JJR'), ('to', 'TO'), ('the', 'DT'), ('left', 'NN'), ('but', 'CC'), ('like', 'IN'), ('see', 'VBP'), ('if', 'IN'), ('that', 'DT'), ('works', 'VBZ'), ('try', 'VB'), ('it', 'PRP'), ('see', 'VB'), ('like', 'IN'), ('you', 'PRP'), ('know', 'VBP'), ('how', 'WRB'), ('the', 'DT'), ('blue', 'JJ'), ('line', 'NN'), ('just', 'RB'), ('like', 'IN'), ('fell', 'VBD'), ('off', 'RP')]	[('i', 'NN'), ('would', 'MD'), ('say', 'VB'), ('more', 'JJR'), ('to', 'TO'), ('the', 'DT'), ('left', 'NN'), ('but', 'CC'), ('like', 'IN'), ('see', 'VBP'), ('if', 'IN'), ('that', 'DT'), ('work', 'NN'), ('try', 'VB'), ('it', 'PRP'), ('see', 'VB'), ('like', 'IN'), ('you', 'PRP'), ('know', 'VBP'), ('how', 'WRB'), ('the', 'DT'), ('blue', 'JJ'), ('line', 'NN'), ('just', 'RB'), ('like', 'IN'), ('fell', 'VBD'), ('off', 'RP')]	[('i', 'LS'), ('would', 'MD'), ('say', 'VB'), ('more', 'JJR'), ('to', 'TO'), ('the', 'DT'), ('left', 'NN'), ('but', 'CC'), ('like', 'IN'), ('see', 'VBP'), ('if', 'IN'), ('that', 'DT'), ('works', 'VBZ'), ('try', 'VB'), ('it', 'PRP'), ('see', 'VB'), ('like', 'IN'), ('you', 'PRP'), ('know', 'VBP'), ('how', 'WRB'), ('the', 'DT'), ('blue', 'JJ'), ('line', 'NN'), ('just', 'RB'), ('like', 'IN'), ('fell', 'VBD'), ('off', 'RP')]	[('i', 'LS'), ('would', 'MD'), ('say', 'VB'), ('more', 'JJR'), ('to', 'TO'), ('the', 'DT'), ('left', 'NN'), ('but', 'CC'), ('like', 'IN'), ('see', 'VBP'), ('if', 'IN'), ('that', 'DT'), ('work', 'NN'), ('try', 'VB'), ('it', 'PRP'), ('see', 'VB'), ('like', 'IN'), ('you', 'PRP'), ('know', 'VBP'), ('how', 'WRB'), ('the', 'DT'), ('blue', 'JJ'), ('line', 'NN'), ('just', 'RB'), ('like', 'IN'), ('fell', 'VBD'), ('off', 'RP')]	ASU-T87-ExpBlock2-GreenApple.txt
PC:	 wait a minute i think we might	['wait', 'a', 'minute', 'i', 'think', 'we', 'might']	['wait', 'a', 'minute', 'i', 'think', 'we', 'might']	[('wait', 'VB'), ('a', 'DT'), ('minute', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('we', 'PRP'), ('might', 'MD')]	[('wait', 'VB'), ('a', 'DT'), ('minute', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('we', 'PRP'), ('might', 'MD')]	[('wait', 'VB'), ('a', 'DT'), ('minute', 'NN'), ('i', 'FW'), ('think', 'VB'), ('we', 'PRP'), ('might', 'MD')]	[('wait', 'VB'), ('a', 'DT'), ('minute', 'NN'), ('i', 'FW'), ('think', 'VB'), ('we', 'PRP'), ('might', 'MD')]	ASU-T87-ExpBlock2-GreenApple.txt
PD:	i'm not sure that that one moves i think that might be one of the static objects	['i', 'am', 'not', 'sure', 'that', 'that', 'one', 'moves', 'i', 'think', 'that', 'might', 'be', 'one', 'of', 'the', 'static', 'objects']	['i', 'be', 'not', 'sure', 'that', 'that', 'one', 'move', 'i', 'think', 'that', 'might', 'be', 'one', 'of', 'the', 'static', 'object']	[('i', 'NN'), ('am', 'VBP'), ('not', 'RB'), ('sure', 'JJ'), ('that', 'IN'), ('that', 'DT'), ('one', 'CD'), ('moves', 'VBZ'), ('i', 'JJ'), ('think', 'VBP'), ('that', 'WDT'), ('might', 'MD'), ('be', 'VB'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('static', 'JJ'), ('objects', 'NNS')]	[('i', 'RB'), ('be', 'VB'), ('not', 'RB'), ('sure', 'JJ'), ('that', 'IN'), ('that', 'DT'), ('one', 'CD'), ('move', 'NN'), ('i', 'NN'), ('think', 'VBP'), ('that', 'IN'), ('might', 'MD'), ('be', 'VB'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('static', 'JJ'), ('object', 'NN')]	[('i', 'LS'), ('am', 'VBP'), ('not', 'RB'), ('sure', 'JJ'), ('that', 'IN'), ('that', 'IN'), ('one', 'CD'), ('moves', 'NNS'), ('i', 'FW'), ('think', 'VBP'), ('that', 'IN'), ('might', 'MD'), ('be', 'VB'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('static', 'JJ'), ('objects', 'NNS')]	[('i', 'LS'), ('be', 'VB'), ('not', 'RB'), ('sure', 'JJ'), ('that', 'IN'), ('that', 'IN'), ('one', 'CD'), ('move', 'NN'), ('i', 'FW'), ('think', 'VBP'), ('that', 'IN'), ('might', 'MD'), ('be', 'VB'), ('one', 'CD'), ('of', 'IN'), ('the', 'DT'), ('static', 'JJ'), ('object', 'NN')]	ASU-T87-ExpBlock2-GreenApple.txt
PC:	see if we can get that to go away if we'll get a new one of course drops from there 	['see', 'if', 'we', 'can', 'get', 'that', 'to', 'go', 'away', 'if', 'we', 'will', 'get', 'a', 'new', 'one', 'of', 'course', 'drops', 'from', 'there']	['see', 'if', 'we', 'can', 'get', 'that', 'to', 'go', 'away', 'if', 'we', 'will', 'get', 'a', 'new', 'one', 'of', 'course', 'drop', 'from', 'there']	[('see', 'VB'), ('if', 'IN'), ('we', 'PRP'), ('can', 'MD'), ('get', 'VB'), ('that', 'DT'), ('to', 'TO'), ('go', 'VB'), ('away', 'RB'), ('if', 'IN'), ('we', 'PRP'), ('will', 'MD'), ('get', 'VB'), ('a', 'DT'), ('new', 'JJ'), ('one', 'CD'), ('of', 'IN'), ('course', 'NN'), ('drops', 'NNS'), ('from', 'IN'), ('there', 'EX')]	[('see', 'VB'), ('if', 'IN'), ('we', 'PRP'), ('can', 'MD'), ('get', 'VB'), ('that', 'DT'), ('to', 'TO'), ('go', 'VB'), ('away', 'RB'), ('if', 'IN'), ('we', 'PRP'), ('will', 'MD'), ('get', 'VB'), ('a', 'DT'), ('new', 'JJ'), ('one', 'CD'), ('of', 'IN'), ('course', 'NN'), ('drop', 'NN'), ('from', 'IN'), ('there', 'EX')]	[('see', 'VB'), ('if', 'IN'), ('we', 'PRP'), ('can', 'MD'), ('get', 'VB'), ('that', 'IN'), ('to', 'TO'), ('go', 'VB'), ('away', 'RB'), ('if', 'IN'), ('we', 'PRP'), ('will', 'MD'), ('get', 'VB'), ('a', 'DT'), ('new', 'JJ'), ('one', 'CD'), ('of', 'IN'), ('course', 'NN'), ('drops', 'NNS'), ('from', 'IN'), ('there', 'EX')]	[('see', 'VB'), ('if', 'IN'), ('we', 'PRP'), ('can', 'MD'), ('get', 'VB'), ('that', 'IN'), ('to', 'TO'), ('go', 'VB'), ('away', 'RB'), ('if', 'IN'), ('we', 'PRP'), ('will', 'MD'), ('get', 'VB'), ('a', 'DT'), ('new', 'JJ'), ('one', 'CD'), ('of', 'IN'), ('course', 'NN'), ('drop', 'NN'), ('from', 'IN'), ('there', 'EX')]	ASU-T87-ExpBlock2-GreenApple.txt
