participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PB:	all right well i got two	['all', 'right', 'well', 'i', 'got', 'two']	['all', 'right', 'well', 'i', 'get', 'two']	[('all', 'DT'), ('right', 'JJ'), ('well', 'NN'), ('i', 'RB'), ('got', 'VBD'), ('two', 'CD')]	[('all', 'DT'), ('right', 'JJ'), ('well', 'NN'), ('i', 'RB'), ('get', 'VBP'), ('two', 'CD')]	[('all', 'DT'), ('right', 'RB'), ('well', 'RB'), ('i', 'FW'), ('got', 'VBD'), ('two', 'CD')]	[('all', 'DT'), ('right', 'RB'), ('well', 'RB'), ('i', 'FW'), ('get', 'VB'), ('two', 'CD')]	ASU-T24_ExpBlock1-DolphinShow-1.txt
PA:	  we're half way to the	['we', 'are', 'half', 'way', 'to', 'the']	['we', 'be', 'half', 'way', 'to', 'the']	[('we', 'PRP'), ('are', 'VBP'), ('half', 'JJ'), ('way', 'NN'), ('to', 'TO'), ('the', 'DT')]	[('we', 'PRP'), ('be', 'VB'), ('half', 'JJ'), ('way', 'NN'), ('to', 'TO'), ('the', 'DT')]	[('we', 'PRP'), ('are', 'VBP'), ('half', 'JJ'), ('way', 'NN'), ('to', 'TO'), ('the', 'DT')]	[('we', 'PRP'), ('be', 'VB'), ('half', 'DT'), ('way', 'NN'), ('to', 'TO'), ('the', 'DT')]	ASU-T24_ExpBlock1-DolphinShow-1.txt
PB:	so now	['so', 'now']	['so', 'now']	[('so', 'RB'), ('now', 'RB')]	[('so', 'RB'), ('now', 'RB')]	[('so', 'RB'), ('now', 'RB')]	[('so', 'RB'), ('now', 'RB')]	ASU-T24_ExpBlock1-DolphinShow-1.txt
PA:	what we got the first time	['what', 'we', 'got', 'the', 'first', 'time']	['what', 'we', 'get', 'the', 'first', 'time']	[('what', 'WP'), ('we', 'PRP'), ('got', 'VBD'), ('the', 'DT'), ('first', 'JJ'), ('time', 'NN')]	[('what', 'WP'), ('we', 'PRP'), ('get', 'VBP'), ('the', 'DT'), ('first', 'JJ'), ('time', 'NN')]	[('what', 'WP'), ('we', 'PRP'), ('got', 'VBD'), ('the', 'DT'), ('first', 'JJ'), ('time', 'NN')]	[('what', 'WP'), ('we', 'PRP'), ('get', 'VBP'), ('the', 'DT'), ('first', 'JJ'), ('time', 'NN')]	ASU-T24_ExpBlock1-DolphinShow-1.txt
PB:	let's see what we can do with this probably wanna fling it right	['let', 'us', 'see', 'what', 'we', 'can', 'do', 'with', 'this', 'probably', 'wan', 'na', 'fling', 'it', 'right']	['let', 'u', 'see', 'what', 'we', 'can', 'do', 'with', 'this', 'probably', 'wan', 'na', 'fling', 'it', 'right']	[('let', 'VB'), ('us', 'PRP'), ('see', 'VB'), ('what', 'WP'), ('we', 'PRP'), ('can', 'MD'), ('do', 'VB'), ('with', 'IN'), ('this', 'DT'), ('probably', 'RB'), ('wan', 'VBZ'), ('na', 'JJ'), ('fling', 'VBG'), ('it', 'PRP'), ('right', 'JJ')]	[('let', 'VB'), ('u', 'JJ'), ('see', 'VB'), ('what', 'WP'), ('we', 'PRP'), ('can', 'MD'), ('do', 'VB'), ('with', 'IN'), ('this', 'DT'), ('probably', 'RB'), ('wan', 'VBZ'), ('na', 'JJ'), ('fling', 'VBG'), ('it', 'PRP'), ('right', 'JJ')]	[('let', 'VB'), ('us', 'PRP'), ('see', 'VB'), ('what', 'WP'), ('we', 'PRP'), ('can', 'MD'), ('do', 'VB'), ('with', 'IN'), ('this', 'DT'), ('probably', 'RB'), ('wan', 'JJ'), ('na', 'TO'), ('fling', 'VB'), ('it', 'PRP'), ('right', 'RB')]	[('let', 'VB'), ('u', 'NN'), ('see', 'VB'), ('what', 'WP'), ('we', 'PRP'), ('can', 'MD'), ('do', 'VB'), ('with', 'IN'), ('this', 'DT'), ('probably', 'RB'), ('wan', 'JJ'), ('na', 'TO'), ('fling', 'VB'), ('it', 'PRP'), ('right', 'RB')]	ASU-T24_ExpBlock1-DolphinShow-1.txt
PA:	yeah you wanna make it what is it called you wanna make it go in a semicircle what	['yeah', 'you', 'wan', 'na', 'make', 'it', 'what', 'is', 'it', 'called', 'you', 'wan', 'na', 'make', 'it', 'go', 'in', 'a', 'semicircle', 'what']	['yeah', 'you', 'wan', 'na', 'make', 'it', 'what', 'be', 'it', 'call', 'you', 'wan', 'na', 'make', 'it', 'go', 'in', 'a', 'semicircle', 'what']	[('yeah', 'NN'), ('you', 'PRP'), ('wan', 'VBP'), ('na', 'RB'), ('make', 'VB'), ('it', 'PRP'), ('what', 'WDT'), ('is', 'VBZ'), ('it', 'PRP'), ('called', 'VBD'), ('you', 'PRP'), ('wan', 'VBP'), ('na', 'RB'), ('make', 'VB'), ('it', 'PRP'), ('go', 'VB'), ('in', 'IN'), ('a', 'DT'), ('semicircle', 'NN'), ('what', 'WP')]	[('yeah', 'NN'), ('you', 'PRP'), ('wan', 'VBP'), ('na', 'RB'), ('make', 'VB'), ('it', 'PRP'), ('what', 'WDT'), ('be', 'VB'), ('it', 'PRP'), ('call', 'VB'), ('you', 'PRP'), ('wan', 'VBP'), ('na', 'RB'), ('make', 'VB'), ('it', 'PRP'), ('go', 'VB'), ('in', 'IN'), ('a', 'DT'), ('semicircle', 'NN'), ('what', 'WP')]	[('yeah', 'NN'), ('you', 'PRP'), ('wan', 'VBP'), ('na', 'TO'), ('make', 'VB'), ('it', 'PRP'), ('what', 'WP'), ('is', 'VBZ'), ('it', 'PRP'), ('called', 'VBN'), ('you', 'PRP'), ('wan', 'VBP'), ('na', 'TO'), ('make', 'VB'), ('it', 'PRP'), ('go', 'VB'), ('in', 'IN'), ('a', 'DT'), ('semicircle', 'NN'), ('what', 'WDT')]	[('yeah', 'NN'), ('you', 'PRP'), ('wan', 'VBP'), ('na', 'TO'), ('make', 'VB'), ('it', 'PRP'), ('what', 'WDT'), ('be', 'VB'), ('it', 'PRP'), ('call', 'VB'), ('you', 'PRP'), ('wan', 'VB'), ('na', 'TO'), ('make', 'VB'), ('it', 'PRP'), ('go', 'VB'), ('in', 'IN'), ('a', 'DT'), ('semicircle', 'NN'), ('what', 'WDT')]	ASU-T24_ExpBlock1-DolphinShow-1.txt
PB:	i don't trust that  	['i', 'do', 'not', 'trust', 'that']	['i', 'do', 'not', 'trust', 'that']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('trust', 'VB'), ('that', 'IN')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('trust', 'VB'), ('that', 'IN')]	[('i', 'LS'), ('do', 'VBP'), ('not', 'RB'), ('trust', 'NN'), ('that', 'WDT')]	[('i', 'LS'), ('do', 'VBP'), ('not', 'RB'), ('trust', 'NN'), ('that', 'WDT')]	ASU-T24_ExpBlock1-DolphinShow-1.txt
PC:	seems  what if we did like a long wait it can't go through	['seems', 'what', 'if', 'we', 'did', 'like', 'a', 'long', 'wait', 'it', 'can', 'not', 'go', 'through']	['seem', 'what', 'if', 'we', 'do', 'like', 'a', 'long', 'wait', 'it', 'can', 'not', 'go', 'through']	[('seems', 'VBZ'), ('what', 'WP'), ('if', 'IN'), ('we', 'PRP'), ('did', 'VBD'), ('like', 'VB'), ('a', 'DT'), ('long', 'JJ'), ('wait', 'NN'), ('it', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('go', 'VB'), ('through', 'IN')]	[('seem', 'VB'), ('what', 'WP'), ('if', 'IN'), ('we', 'PRP'), ('do', 'VBP'), ('like', 'IN'), ('a', 'DT'), ('long', 'JJ'), ('wait', 'NN'), ('it', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('go', 'VB'), ('through', 'IN')]	[('seems', 'VBZ'), ('what', 'WP'), ('if', 'IN'), ('we', 'PRP'), ('did', 'VBD'), ('like', 'IN'), ('a', 'DT'), ('long', 'JJ'), ('wait', 'NN'), ('it', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('go', 'VB'), ('through', 'IN')]	[('seem', 'VB'), ('what', 'WP'), ('if', 'IN'), ('we', 'PRP'), ('do', 'VBP'), ('like', 'VB'), ('a', 'DT'), ('long', 'JJ'), ('wait', 'NN'), ('it', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('go', 'VB'), ('through', 'IN')]	ASU-T24_ExpBlock1-DolphinShow-1.txt
PA:	i don't know i was gonna say to put it like	['i', 'do', 'not', 'know', 'i', 'was', 'on', 'na', 'say', 'to', 'put', 'it', 'like']	['i', 'do', 'not', 'know', 'i', 'be', 'on', 'na', 'say', 'to', 'put', 'it', 'like']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('i', 'NN'), ('was', 'VBD'), ('on', 'IN'), ('na', 'NNS'), ('say', 'VBP'), ('to', 'TO'), ('put', 'VB'), ('it', 'PRP'), ('like', 'IN')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('i', 'RB'), ('be', 'VB'), ('on', 'IN'), ('na', 'NNS'), ('say', 'VBP'), ('to', 'TO'), ('put', 'VB'), ('it', 'PRP'), ('like', 'IN')]	[('i', 'LS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('i', 'FW'), ('was', 'VBD'), ('on', 'IN'), ('na', 'TO'), ('say', 'VB'), ('to', 'TO'), ('put', 'VB'), ('it', 'PRP'), ('like', 'IN')]	[('i', 'LS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('i', 'FW'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('say', 'VB'), ('to', 'TO'), ('put', 'VB'), ('it', 'PRP'), ('like', 'IN')]	ASU-T24_ExpBlock1-DolphinShow-1.txt
PC:	no it can't go through those little squiggly like the colorful squigglies can it	['no', 'it', 'can', 'not', 'go', 'through', 'those', 'little', 'squiggly', 'like', 'the', 'colourful', 'squigglies', 'can', 'it']	['no', 'it', 'can', 'not', 'go', 'through', 'those', 'little', 'squiggly', 'like', 'the', 'colourful', 'squigglies', 'can', 'it']	[('no', 'DT'), ('it', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('go', 'VB'), ('through', 'IN'), ('those', 'DT'), ('little', 'JJ'), ('squiggly', 'RB'), ('like', 'IN'), ('the', 'DT'), ('colourful', 'JJ'), ('squigglies', 'NNS'), ('can', 'MD'), ('it', 'PRP')]	[('no', 'DT'), ('it', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('go', 'VB'), ('through', 'IN'), ('those', 'DT'), ('little', 'JJ'), ('squiggly', 'RB'), ('like', 'IN'), ('the', 'DT'), ('colourful', 'JJ'), ('squigglies', 'NNS'), ('can', 'MD'), ('it', 'PRP')]	[('no', 'DT'), ('it', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('go', 'VB'), ('through', 'IN'), ('those', 'DT'), ('little', 'JJ'), ('squiggly', 'RB'), ('like', 'IN'), ('the', 'DT'), ('colourful', 'JJ'), ('squigglies', 'NNS'), ('can', 'MD'), ('it', 'PRP')]	[('no', 'DT'), ('it', 'PRP'), ('can', 'MD'), ('not', 'RB'), ('go', 'VB'), ('through', 'IN'), ('those', 'DT'), ('little', 'JJ'), ('squiggly', 'RB'), ('like', 'IN'), ('the', 'DT'), ('colourful', 'JJ'), ('squigglies', 'NNS'), ('can', 'MD'), ('it', 'PRP')]	ASU-T24_ExpBlock1-DolphinShow-1.txt
