participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PA:	i feel like this thing's about to go flying bro boing and just never come back down	"['i', 'feel', 'like', 'this', 'thing', ""'s"", 'about', 'to', 'go', 'flying', 'brow', 'being', 'and', 'just', 'never', 'come', 'back', 'down']"	"['i', 'feel', 'like', 'this', 'thing', ""'s"", 'about', 'to', 'go', 'fly', 'brow', 'be', 'and', 'just', 'never', 'come', 'back', 'down']"	"[('i', 'JJ'), ('feel', 'VBP'), ('like', 'IN'), ('this', 'DT'), ('thing', 'NN'), (""'s"", 'VBZ'), ('about', 'IN'), ('to', 'TO'), ('go', 'VB'), ('flying', 'VBG'), ('brow', 'NN'), ('being', 'VBG'), ('and', 'CC'), ('just', 'RB'), ('never', 'RB'), ('come', 'VBN'), ('back', 'RP'), ('down', 'RP')]"	"[('i', 'JJ'), ('feel', 'VBP'), ('like', 'IN'), ('this', 'DT'), ('thing', 'NN'), (""'s"", 'VBZ'), ('about', 'IN'), ('to', 'TO'), ('go', 'VB'), ('fly', 'JJ'), ('brow', 'NN'), ('be', 'VB'), ('and', 'CC'), ('just', 'RB'), ('never', 'RB'), ('come', 'VBN'), ('back', 'RP'), ('down', 'RP')]"	"[('i', 'LS'), ('feel', 'VB'), ('like', 'IN'), ('this', 'DT'), ('thing', 'NN'), (""'s"", 'POS'), ('about', 'IN'), ('to', 'TO'), ('go', 'VB'), ('flying', 'VBG'), ('brow', 'NN'), ('being', 'VBG'), ('and', 'CC'), ('just', 'RB'), ('never', 'RB'), ('come', 'VB'), ('back', 'RB'), ('down', 'RB')]"	"[('i', 'LS'), ('feel', 'VB'), ('like', 'IN'), ('this', 'DT'), ('thing', 'NN'), (""'s"", 'POS'), ('about', 'IN'), ('to', 'TO'), ('go', 'VB'), ('fly', 'VB'), ('brow', 'NN'), ('be', 'VB'), ('and', 'CC'), ('just', 'RB'), ('never', 'RB'), ('come', 'VB'), ('back', 'RB'), ('down', 'RB')]"	ASU-T43_ExpBlock2-Oneatatime.txt
PB:	that's it	['that', 'is', 'it']	['that', 'be', 'it']	[('that', 'DT'), ('is', 'VBZ'), ('it', 'PRP')]	[('that', 'IN'), ('be', 'VB'), ('it', 'PRP')]	[('that', 'DT'), ('is', 'VBZ'), ('it', 'PRP')]	[('that', 'IN'), ('be', 'VB'), ('it', 'PRP')]	ASU-T43_ExpBlock2-Oneatatime.txt
PC:	it didn't   hold on	['it', 'did', 'not', 'hold', 'on']	['it', 'do', 'not', 'hold', 'on']	[('it', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('hold', 'VB'), ('on', 'IN')]	[('it', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('hold', 'VB'), ('on', 'IN')]	[('it', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('hold', 'VB'), ('on', 'RP')]	[('it', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('hold', 'VB'), ('on', 'RP')]	ASU-T43_ExpBlock2-Oneatatime.txt
PA:	what's it automatically deleting for	['what', 'is', 'it', 'automatically', 'meeting', 'for']	['what', 'be', 'it', 'automatically', 'meet', 'for']	[('what', 'WP'), ('is', 'VBZ'), ('it', 'PRP'), ('automatically', 'RB'), ('meeting', 'VBG'), ('for', 'IN')]	[('what', 'WP'), ('be', 'VB'), ('it', 'PRP'), ('automatically', 'RB'), ('meet', 'VB'), ('for', 'IN')]	[('what', 'WP'), ('is', 'VBZ'), ('it', 'PRP'), ('automatically', 'RB'), ('meeting', 'VBG'), ('for', 'IN')]	[('what', 'WDT'), ('be', 'VB'), ('it', 'PRP'), ('automatically', 'RB'), ('meet', 'VB'), ('for', 'IN')]	ASU-T43_ExpBlock2-Oneatatime.txt
PC:	i guess   i guess it didn't hold on to the anchor question mark do you think this is enough  okay let's   i'm literally   not even touching it okay	['i', 'guess', 'i', 'guess', 'it', 'did', 'not', 'hold', 'on', 'to', 'the', 'anchor', 'question', 'mark', 'do', 'you', 'think', 'this', 'is', 'enough', 'okay', 'let', 'us', 'i', 'am', 'literally', 'not', 'even', 'touching', 'it', 'okay']	['i', 'guess', 'i', 'guess', 'it', 'do', 'not', 'hold', 'on', 'to', 'the', 'anchor', 'question', 'mark', 'do', 'you', 'think', 'this', 'be', 'enough', 'okay', 'let', 'u', 'i', 'be', 'literally', 'not', 'even', 'touch', 'it', 'okay']	[('i', 'JJ'), ('guess', 'NN'), ('i', 'NN'), ('guess', 'VBD'), ('it', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('hold', 'VB'), ('on', 'IN'), ('to', 'TO'), ('the', 'DT'), ('anchor', 'NN'), ('question', 'NN'), ('mark', 'NN'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('this', 'DT'), ('is', 'VBZ'), ('enough', 'JJ'), ('okay', 'JJ'), ('let', 'VB'), ('us', 'PRP'), ('i', 'VB'), ('am', 'VBP'), ('literally', 'RB'), ('not', 'RB'), ('even', 'RB'), ('touching', 'VBG'), ('it', 'PRP'), ('okay', 'JJ')]	[('i', 'JJ'), ('guess', 'NN'), ('i', 'NN'), ('guess', 'NN'), ('it', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('hold', 'VB'), ('on', 'IN'), ('to', 'TO'), ('the', 'DT'), ('anchor', 'NN'), ('question', 'NN'), ('mark', 'NN'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('this', 'DT'), ('be', 'VB'), ('enough', 'JJ'), ('okay', 'JJ'), ('let', 'NN'), ('u', 'NN'), ('i', 'NN'), ('be', 'VB'), ('literally', 'RB'), ('not', 'RB'), ('even', 'RB'), ('touch', 'VB'), ('it', 'PRP'), ('okay', 'RP')]	[('i', 'LS'), ('guess', 'NN'), ('i', 'FW'), ('guess', 'VB'), ('it', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('hold', 'VB'), ('on', 'IN'), ('to', 'TO'), ('the', 'DT'), ('anchor', 'NN'), ('question', 'NN'), ('mark', 'NN'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('this', 'DT'), ('is', 'VBZ'), ('enough', 'JJ'), ('okay', 'JJ'), ('let', 'VB'), ('us', 'PRP'), ('i', 'FW'), ('am', 'VBP'), ('literally', 'RB'), ('not', 'RB'), ('even', 'RB'), ('touching', 'VBG'), ('it', 'PRP'), ('okay', 'JJ')]	[('i', 'LS'), ('guess', 'NN'), ('i', 'FW'), ('guess', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('not', 'RB'), ('hold', 'VB'), ('on', 'IN'), ('to', 'TO'), ('the', 'DT'), ('anchor', 'NN'), ('question', 'NN'), ('mark', 'NN'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('this', 'DT'), ('be', 'VB'), ('enough', 'JJ'), ('okay', 'JJ'), ('let', 'VB'), ('u', 'FW'), ('i', 'FW'), ('be', 'VB'), ('literally', 'RB'), ('not', 'RB'), ('even', 'RB'), ('touch', 'VB'), ('it', 'PRP'), ('okay', 'JJ')]	ASU-T43_ExpBlock2-Oneatatime.txt
PB:	  yeah we're gonna have to delete that	['yeah', 'we', 'are', 'on', 'na', 'have', 'to', 'delete', 'that']	['yeah', 'we', 'be', 'on', 'na', 'have', 'to', 'delete', 'that']	[('yeah', 'NN'), ('we', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'NNS'), ('have', 'VBP'), ('to', 'TO'), ('delete', 'VB'), ('that', 'IN')]	[('yeah', 'NN'), ('we', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'NNS'), ('have', 'VBP'), ('to', 'TO'), ('delete', 'VB'), ('that', 'IN')]	[('yeah', 'NN'), ('we', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'TO'), ('have', 'VB'), ('to', 'TO'), ('delete', 'VB'), ('that', 'DT')]	[('yeah', 'NN'), ('we', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('have', 'VB'), ('to', 'TO'), ('delete', 'VB'), ('that', 'DT')]	ASU-T43_ExpBlock2-Oneatatime.txt
PC:	this is weird delete it let's start over less of a weight then	['this', 'is', 'weird', 'delete', 'it', 'let', 'us', 'start', 'over', 'less', 'of', 'a', 'weight', 'then']	['this', 'be', 'weird', 'delete', 'it', 'let', 'u', 'start', 'over', 'less', 'of', 'a', 'weight', 'then']	[('this', 'DT'), ('is', 'VBZ'), ('weird', 'JJ'), ('delete', 'IN'), ('it', 'PRP'), ('let', 'VB'), ('us', 'PRP'), ('start', 'VB'), ('over', 'IN'), ('less', 'JJR'), ('of', 'IN'), ('a', 'DT'), ('weight', 'NN'), ('then', 'RB')]	[('this', 'DT'), ('be', 'VB'), ('weird', 'JJ'), ('delete', 'VB'), ('it', 'PRP'), ('let', 'VB'), ('u', 'JJ'), ('start', 'VB'), ('over', 'IN'), ('less', 'JJR'), ('of', 'IN'), ('a', 'DT'), ('weight', 'NN'), ('then', 'RB')]	[('this', 'DT'), ('is', 'VBZ'), ('weird', 'JJ'), ('delete', 'VB'), ('it', 'PRP'), ('let', 'VB'), ('us', 'PRP'), ('start', 'VB'), ('over', 'RP'), ('less', 'JJR'), ('of', 'IN'), ('a', 'DT'), ('weight', 'NN'), ('then', 'RB')]	[('this', 'DT'), ('be', 'VB'), ('weird', 'JJ'), ('delete', 'VB'), ('it', 'PRP'), ('let', 'VB'), ('u', 'NN'), ('start', 'NN'), ('over', 'IN'), ('less', 'JJR'), ('of', 'IN'), ('a', 'DT'), ('weight', 'NN'), ('then', 'RB')]	ASU-T43_ExpBlock2-Oneatatime.txt
PA:	yeah you could do just little weights lots of little weights you know what i mean so that it's not as	['yeah', 'you', 'could', 'do', 'just', 'little', 'weights', 'lots', 'of', 'little', 'weights', 'you', 'know', 'what', 'i', 'mean', 'so', 'that', 'it', 'is', 'not', 'as']	['yeah', 'you', 'could', 'do', 'just', 'little', 'weight', 'lot', 'of', 'little', 'weight', 'you', 'know', 'what', 'i', 'mean', 'so', 'that', 'it', 'be', 'not', 'a']	[('yeah', 'NN'), ('you', 'PRP'), ('could', 'MD'), ('do', 'VB'), ('just', 'RB'), ('little', 'JJ'), ('weights', 'NNS'), ('lots', 'NNS'), ('of', 'IN'), ('little', 'JJ'), ('weights', 'NNS'), ('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('i', 'JJ'), ('mean', 'VBP'), ('so', 'RB'), ('that', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('as', 'IN')]	[('yeah', 'NN'), ('you', 'PRP'), ('could', 'MD'), ('do', 'VB'), ('just', 'RB'), ('little', 'JJ'), ('weight', 'JJ'), ('lot', 'NN'), ('of', 'IN'), ('little', 'JJ'), ('weight', 'NN'), ('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('i', 'JJ'), ('mean', 'VBP'), ('so', 'RB'), ('that', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('a', 'DT')]	[('yeah', 'VB'), ('you', 'PRP'), ('could', 'MD'), ('do', 'VB'), ('just', 'RB'), ('little', 'JJ'), ('weights', 'NNS'), ('lots', 'NNS'), ('of', 'IN'), ('little', 'JJ'), ('weights', 'NNS'), ('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('i', 'FW'), ('mean', 'VB'), ('so', 'RB'), ('that', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('as', 'IN')]	[('yeah', 'VB'), ('you', 'PRP'), ('could', 'MD'), ('do', 'VB'), ('just', 'RB'), ('little', 'JJ'), ('weight', 'NN'), ('lot', 'NN'), ('of', 'IN'), ('little', 'JJ'), ('weight', 'NN'), ('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('i', 'FW'), ('mean', 'VB'), ('so', 'RB'), ('that', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('a', 'DT')]	ASU-T43_ExpBlock2-Oneatatime.txt
PC:	yeah i'm just  	['yeah', 'i', 'am', 'just']	['yeah', 'i', 'be', 'just']	[('yeah', 'NN'), ('i', 'NN'), ('am', 'VBP'), ('just', 'RB')]	[('yeah', 'NN'), ('i', 'NN'), ('be', 'VB'), ('just', 'RB')]	[('yeah', 'JJ'), ('i', 'FW'), ('am', 'VBP'), ('just', 'RB')]	[('yeah', 'JJ'), ('i', 'FW'), ('be', 'VB'), ('just', 'RB')]	ASU-T43_ExpBlock2-Oneatatime.txt
PA:	  like kind of go with	['like', 'kind', 'of', 'go', 'with']	['like', 'kind', 'of', 'go', 'with']	[('like', 'IN'), ('kind', 'NN'), ('of', 'IN'), ('go', 'NN'), ('with', 'IN')]	[('like', 'IN'), ('kind', 'NN'), ('of', 'IN'), ('go', 'NN'), ('with', 'IN')]	[('like', 'IN'), ('kind', 'NN'), ('of', 'IN'), ('go', 'NN'), ('with', 'IN')]	[('like', 'IN'), ('kind', 'NN'), ('of', 'IN'), ('go', 'NN'), ('with', 'IN')]	ASU-T43_ExpBlock2-Oneatatime.txt
