participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PC:	let's try that one	['let', 'us', 'try', 'that', 'one']	['let', 'u', 'try', 'that', 'one']	[('let', 'VB'), ('us', 'PRP'), ('try', 'VB'), ('that', 'IN'), ('one', 'CD')]	[('let', 'VB'), ('u', 'JJ'), ('try', 'VB'), ('that', 'IN'), ('one', 'CD')]	[('let', 'VB'), ('us', 'PRP'), ('try', 'VB'), ('that', 'IN'), ('one', 'CD')]	[('let', 'VB'), ('u', 'FW'), ('try', 'VBP'), ('that', 'IN'), ('one', 'CD')]	ASU-T10_ExpBlock1-GreenApple.txt
PB:	push it	['push', 'it']	['push', 'it']	[('push', 'NN'), ('it', 'PRP')]	[('push', 'NN'), ('it', 'PRP')]	[('push', 'VB'), ('it', 'PRP')]	[('push', 'VB'), ('it', 'PRP')]	ASU-T10_ExpBlock1-GreenApple.txt
PA:	i think i had to hit enter	['i', 'think', 'i', 'had', 'to', 'hit', 'enter']	['i', 'think', 'i', 'have', 'to', 'hit', 'enter']	[('i', 'JJ'), ('think', 'VBP'), ('i', 'NN'), ('had', 'VBD'), ('to', 'TO'), ('hit', 'VB'), ('enter', 'NN')]	[('i', 'JJ'), ('think', 'VBP'), ('i', 'NNS'), ('have', 'VBP'), ('to', 'TO'), ('hit', 'VB'), ('enter', 'NN')]	[('i', 'LS'), ('think', 'VB'), ('i', 'FW'), ('had', 'VBD'), ('to', 'TO'), ('hit', 'VB'), ('enter', 'VB')]	[('i', 'LS'), ('think', 'VB'), ('i', 'FW'), ('have', 'VBP'), ('to', 'TO'), ('hit', 'VB'), ('enter', 'VB')]	ASU-T10_ExpBlock1-GreenApple.txt
PB:	enter k	['enter', 'k']	['enter', 'k']	[('enter', 'NN'), ('k', 'NN')]	[('enter', 'NN'), ('k', 'NN')]	[('enter', 'VB'), ('k', 'NN')]	[('enter', 'VB'), ('k', 'NN')]	ASU-T10_ExpBlock1-GreenApple.txt
PC:	  my gosh what	['my', 'gash', 'what']	['my', 'gash', 'what']	[('my', 'PRP$'), ('gash', 'NN'), ('what', 'WP')]	[('my', 'PRP$'), ('gash', 'NN'), ('what', 'WP')]	[('my', 'PRP$'), ('gash', 'NN'), ('what', 'WDT')]	[('my', 'PRP$'), ('gash', 'NN'), ('what', 'WDT')]	ASU-T10_ExpBlock1-GreenApple.txt
PA:	 well there we go	['well', 'there', 'we', 'go']	['well', 'there', 'we', 'go']	[('well', 'RB'), ('there', 'EX'), ('we', 'PRP'), ('go', 'VBP')]	[('well', 'RB'), ('there', 'EX'), ('we', 'PRP'), ('go', 'VBP')]	[('well', 'RB'), ('there', 'EX'), ('we', 'PRP'), ('go', 'VBP')]	[('well', 'RB'), ('there', 'EX'), ('we', 'PRP'), ('go', 'VBP')]	ASU-T10_ExpBlock1-GreenApple.txt
PB:	dropped something on it right	['dropped', 'something', 'on', 'it', 'right']	['drop', 'something', 'on', 'it', 'right']	[('dropped', 'VBD'), ('something', 'NN'), ('on', 'IN'), ('it', 'PRP'), ('right', 'VBD')]	[('drop', 'NN'), ('something', 'NN'), ('on', 'IN'), ('it', 'PRP'), ('right', 'VBD')]	[('dropped', 'VBD'), ('something', 'NN'), ('on', 'IN'), ('it', 'PRP'), ('right', 'RB')]	[('drop', 'NN'), ('something', 'NN'), ('on', 'IN'), ('it', 'PRP'), ('right', 'RB')]	ASU-T10_ExpBlock1-GreenApple.txt
PA:	yeah probably something	['yeah', 'probably', 'something']	['yeah', 'probably', 'something']	[('yeah', 'NN'), ('probably', 'RB'), ('something', 'NN')]	[('yeah', 'NN'), ('probably', 'RB'), ('something', 'NN')]	[('yeah', 'NN'), ('probably', 'RB'), ('something', 'NN')]	[('yeah', 'NN'), ('probably', 'RB'), ('something', 'NN')]	ASU-T10_ExpBlock1-GreenApple.txt
PC:	much heavier	['much', 'heavier']	['much', 'heavy']	[('much', 'RB'), ('heavier', 'JJR')]	[('much', 'JJ'), ('heavy', 'NN')]	[('much', 'RB'), ('heavier', 'JJR')]	[('much', 'RB'), ('heavy', 'JJ')]	ASU-T10_ExpBlock1-GreenApple.txt
PA:	yeah or even just attaching something heavier to the other pin	['yeah', 'or', 'even', 'just', 'attaching', 'something', 'heavier', 'to', 'the', 'other', 'pin']	['yeah', 'or', 'even', 'just', 'attach', 'something', 'heavy', 'to', 'the', 'other', 'pin']	[('yeah', 'NN'), ('or', 'CC'), ('even', 'RB'), ('just', 'RB'), ('attaching', 'VBG'), ('something', 'NN'), ('heavier', 'JJR'), ('to', 'TO'), ('the', 'DT'), ('other', 'JJ'), ('pin', 'NN')]	[('yeah', 'NN'), ('or', 'CC'), ('even', 'RB'), ('just', 'RB'), ('attach', 'VBP'), ('something', 'NN'), ('heavy', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('other', 'JJ'), ('pin', 'NN')]	[('yeah', 'NN'), ('or', 'CC'), ('even', 'RB'), ('just', 'RB'), ('attaching', 'VBG'), ('something', 'NN'), ('heavier', 'JJR'), ('to', 'TO'), ('the', 'DT'), ('other', 'JJ'), ('pin', 'NN')]	[('yeah', 'NN'), ('or', 'CC'), ('even', 'RB'), ('just', 'RB'), ('attach', 'VB'), ('something', 'NN'), ('heavy', 'JJ'), ('to', 'TO'), ('the', 'DT'), ('other', 'JJ'), ('pin', 'NN')]	ASU-T10_ExpBlock1-GreenApple.txt
