participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PA:	try it 	['try', 'it']	['try', 'it']	[('try', 'VB'), ('it', 'PRP')]	[('try', 'VB'), ('it', 'PRP')]	[('try', 'VB'), ('it', 'PRP')]	[('try', 'VB'), ('it', 'PRP')]	ASU-T76_ExpBlock2-CloudyDay.txt
PB:	it's too difficult for my  	['it', 'is', 'too', 'difficult', 'for', 'my']	['it', 'be', 'too', 'difficult', 'for', 'my']	[('it', 'PRP'), ('is', 'VBZ'), ('too', 'RB'), ('difficult', 'JJ'), ('for', 'IN'), ('my', 'PRP$')]	[('it', 'PRP'), ('be', 'VB'), ('too', 'RB'), ('difficult', 'JJ'), ('for', 'IN'), ('my', 'PRP$')]	[('it', 'PRP'), ('is', 'VBZ'), ('too', 'RB'), ('difficult', 'JJ'), ('for', 'IN'), ('my', 'PRP$')]	[('it', 'PRP'), ('be', 'VB'), ('too', 'RB'), ('difficult', 'JJ'), ('for', 'IN'), ('my', 'PRP$')]	ASU-T76_ExpBlock2-CloudyDay.txt
PC:	what have i done	['what', 'have', 'i', 'done']	['what', 'have', 'i', 'do']	[('what', 'WP'), ('have', 'VBP'), ('i', 'VBN'), ('done', 'VBN')]	[('what', 'WP'), ('have', 'VBP'), ('i', 'VBN'), ('do', 'VBP')]	[('what', 'WDT'), ('have', 'VBP'), ('i', 'FW'), ('done', 'VBN')]	[('what', 'WDT'), ('have', 'VBP'), ('i', 'FW'), ('do', 'VBP')]	ASU-T76_ExpBlock2-CloudyDay.txt
PA:	what's going on  	['what', 'is', 'going', 'on']	['what', 'be', 'go', 'on']	[('what', 'WP'), ('is', 'VBZ'), ('going', 'VBG'), ('on', 'IN')]	[('what', 'WP'), ('be', 'VB'), ('go', 'VBN'), ('on', 'IN')]	[('what', 'WP'), ('is', 'VBZ'), ('going', 'VBG'), ('on', 'IN')]	[('what', 'WDT'), ('be', 'VB'), ('go', 'VB'), ('on', 'IN')]	ASU-T76_ExpBlock2-CloudyDay.txt
PC:	i'm breaking   just go for it go for it	['i', 'am', 'breaking', 'just', 'go', 'for', 'it', 'go', 'for', 'it']	['i', 'be', 'break', 'just', 'go', 'for', 'it', 'go', 'for', 'it']	[('i', 'NN'), ('am', 'VBP'), ('breaking', 'VBG'), ('just', 'RB'), ('go', 'VB'), ('for', 'IN'), ('it', 'PRP'), ('go', 'VBP'), ('for', 'IN'), ('it', 'PRP')]	[('i', 'RB'), ('be', 'VB'), ('break', 'NN'), ('just', 'RB'), ('go', 'VB'), ('for', 'IN'), ('it', 'PRP'), ('go', 'VBP'), ('for', 'IN'), ('it', 'PRP')]	[('i', 'FW'), ('am', 'VBP'), ('breaking', 'VBG'), ('just', 'RB'), ('go', 'VB'), ('for', 'IN'), ('it', 'PRP'), ('go', 'VB'), ('for', 'IN'), ('it', 'PRP')]	[('i', 'LS'), ('be', 'VB'), ('break', 'VB'), ('just', 'RB'), ('go', 'VB'), ('for', 'IN'), ('it', 'PRP'), ('go', 'VB'), ('for', 'IN'), ('it', 'PRP')]	ASU-T76_ExpBlock2-CloudyDay.txt
PB:	yeah it's working	['yeah', 'it', 'is', 'working']	['yeah', 'it', 'be', 'work']	[('yeah', 'NN'), ('it', 'PRP'), ('is', 'VBZ'), ('working', 'VBG')]	[('yeah', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('work', 'NN')]	[('yeah', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('working', 'VBG')]	[('yeah', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('work', 'NN')]	ASU-T76_ExpBlock2-CloudyDay.txt
PA:	do it do it do it do it	['do', 'it', 'do', 'it', 'do', 'it', 'do', 'it']	['do', 'it', 'do', 'it', 'do', 'it', 'do', 'it']	[('do', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('it', 'PRP')]	[('do', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('it', 'PRP')]	[('do', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('it', 'PRP')]	[('do', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('it', 'PRP'), ('do', 'VB'), ('it', 'PRP')]	ASU-T76_ExpBlock2-CloudyDay.txt
PC:	i can't believe that's how it worked but i have to go back and get gold medals now though	['i', 'can', 'not', 'believe', 'that', 'is', 'how', 'it', 'worked', 'but', 'i', 'have', 'to', 'go', 'back', 'and', 'get', 'gold', 'medals', 'now', 'though']	['i', 'can', 'not', 'believe', 'that', 'be', 'how', 'it', 'work', 'but', 'i', 'have', 'to', 'go', 'back', 'and', 'get', 'gold', 'medal', 'now', 'though']	[('i', 'NN'), ('can', 'MD'), ('not', 'RB'), ('believe', 'VB'), ('that', 'DT'), ('is', 'VBZ'), ('how', 'WRB'), ('it', 'PRP'), ('worked', 'VBD'), ('but', 'CC'), ('i', 'NNS'), ('have', 'VBP'), ('to', 'TO'), ('go', 'VB'), ('back', 'RB'), ('and', 'CC'), ('get', 'VB'), ('gold', 'JJ'), ('medals', 'NNS'), ('now', 'RB'), ('though', 'IN')]	[('i', 'NN'), ('can', 'MD'), ('not', 'RB'), ('believe', 'VB'), ('that', 'IN'), ('be', 'VB'), ('how', 'WRB'), ('it', 'PRP'), ('work', 'VBP'), ('but', 'CC'), ('i', 'VBP'), ('have', 'VBP'), ('to', 'TO'), ('go', 'VB'), ('back', 'RB'), ('and', 'CC'), ('get', 'VB'), ('gold', 'JJ'), ('medal', 'NN'), ('now', 'RB'), ('though', 'IN')]	[('i', 'LS'), ('can', 'MD'), ('not', 'RB'), ('believe', 'VB'), ('that', 'DT'), ('is', 'VBZ'), ('how', 'WRB'), ('it', 'PRP'), ('worked', 'VBD'), ('but', 'CC'), ('i', 'FW'), ('have', 'VBP'), ('to', 'TO'), ('go', 'VB'), ('back', 'RB'), ('and', 'CC'), ('get', 'VB'), ('gold', 'JJ'), ('medals', 'NNS'), ('now', 'RB'), ('though', 'IN')]	[('i', 'LS'), ('can', 'MD'), ('not', 'RB'), ('believe', 'VB'), ('that', 'IN'), ('be', 'VB'), ('how', 'WRB'), ('it', 'PRP'), ('work', 'VBP'), ('but', 'CC'), ('i', 'FW'), ('have', 'VBP'), ('to', 'TO'), ('go', 'VB'), ('back', 'RB'), ('and', 'CC'), ('get', 'VB'), ('gold', 'JJ'), ('medal', 'NN'), ('now', 'RB'), ('though', 'IN')]	ASU-T76_ExpBlock2-CloudyDay.txt
PB:	those are copper so they don't count or	['those', 'are', 'copper', 'so', 'they', 'do', 'not', 'count', 'or']	['those', 'be', 'copper', 'so', 'they', 'do', 'not', 'count', 'or']	[('those', 'DT'), ('are', 'VBP'), ('copper', 'VBN'), ('so', 'IN'), ('they', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('count', 'VB'), ('or', 'CC')]	[('those', 'DT'), ('be', 'VB'), ('copper', 'VBN'), ('so', 'RB'), ('they', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('count', 'VB'), ('or', 'CC')]	[('those', 'DT'), ('are', 'VBP'), ('copper', 'NN'), ('so', 'IN'), ('they', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('count', 'VB'), ('or', 'CC')]	[('those', 'DT'), ('be', 'VB'), ('copper', 'NN'), ('so', 'IN'), ('they', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('count', 'VB'), ('or', 'CC')]	ASU-T76_ExpBlock2-CloudyDay.txt
PC:	no it's only the gold ones there it is	['no', 'it', 'is', 'only', 'the', 'gold', 'ones', 'there', 'it', 'is']	['no', 'it', 'be', 'only', 'the', 'gold', 'one', 'there', 'it', 'be']	[('no', 'DT'), ('it', 'PRP'), ('is', 'VBZ'), ('only', 'RB'), ('the', 'DT'), ('gold', 'NN'), ('ones', 'NNS'), ('there', 'EX'), ('it', 'PRP'), ('is', 'VBZ')]	[('no', 'DT'), ('it', 'PRP'), ('be', 'VB'), ('only', 'RB'), ('the', 'DT'), ('gold', 'NN'), ('one', 'CD'), ('there', 'EX'), ('it', 'PRP'), ('be', 'VB')]	[('no', 'DT'), ('it', 'PRP'), ('is', 'VBZ'), ('only', 'RB'), ('the', 'DT'), ('gold', 'NN'), ('ones', 'NNS'), ('there', 'RB'), ('it', 'PRP'), ('is', 'VBZ')]	[('no', 'DT'), ('it', 'PRP'), ('be', 'VB'), ('only', 'RB'), ('the', 'DT'), ('gold', 'NN'), ('one', 'CD'), ('there', 'EX'), ('it', 'PRP'), ('be', 'VB')]	ASU-T76_ExpBlock2-CloudyDay.txt
