participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PB:	wait wait wait wait it's easy draw  yeah draw no draw  make it like a ramp so that it rolls up up up then it rolls kind  kind of like a skate park you know how it goes like this yeah so draw a ramp that goes up and then it'll like keep rolling and 	['wait', 'wait', 'wait', 'wait', 'it', 'is', 'easy', 'draw', 'yeah', 'draw', 'no', 'draw', 'make', 'it', 'like', 'a', 'camp', 'so', 'that', 'it', 'rolls', 'up', 'up', 'up', 'then', 'it', 'rolls', 'kind', 'kind', 'of', 'like', 'a', 'state', 'park', 'you', 'know', 'how', 'it', 'goes', 'like', 'this', 'yeah', 'so', 'draw', 'a', 'camp', 'that', 'goes', 'up', 'and', 'then', 'it', 'will', 'like', 'keep', 'rolling', 'and']	['wait', 'wait', 'wait', 'wait', 'it', 'be', 'easy', 'draw', 'yeah', 'draw', 'no', 'draw', 'make', 'it', 'like', 'a', 'camp', 'so', 'that', 'it', 'roll', 'up', 'up', 'up', 'then', 'it', 'roll', 'kind', 'kind', 'of', 'like', 'a', 'state', 'park', 'you', 'know', 'how', 'it', 'go', 'like', 'this', 'yeah', 'so', 'draw', 'a', 'camp', 'that', 'go', 'up', 'and', 'then', 'it', 'will', 'like', 'keep', 'rolling', 'and']	[('wait', 'NN'), ('wait', 'NN'), ('wait', 'VBP'), ('wait', 'NN'), ('it', 'PRP'), ('is', 'VBZ'), ('easy', 'JJ'), ('draw', 'JJ'), ('yeah', 'NN'), ('draw', 'VBZ'), ('no', 'DT'), ('draw', 'JJ'), ('make', 'VBP'), ('it', 'PRP'), ('like', 'IN'), ('a', 'DT'), ('camp', 'NN'), ('so', 'IN'), ('that', 'IN'), ('it', 'PRP'), ('rolls', 'VBZ'), ('up', 'RP'), ('up', 'RP'), ('up', 'RB'), ('then', 'RB'), ('it', 'PRP'), ('rolls', 'VBZ'), ('kind', 'NN'), ('kind', 'NN'), ('of', 'IN'), ('like', 'IN'), ('a', 'DT'), ('state', 'NN'), ('park', 'NN'), ('you', 'PRP'), ('know', 'VBP'), ('how', 'WRB'), ('it', 'PRP'), ('goes', 'VBZ'), ('like', 'IN'), ('this', 'DT'), ('yeah', 'NN'), ('so', 'RB'), ('draw', 'VB'), ('a', 'DT'), ('camp', 'NN'), ('that', 'WDT'), ('goes', 'VBZ'), ('up', 'RB'), ('and', 'CC'), ('then', 'RB'), ('it', 'PRP'), ('will', 'MD'), ('like', 'VB'), ('keep', 'VB'), ('rolling', 'NN'), ('and', 'CC')]	[('wait', 'NN'), ('wait', 'NN'), ('wait', 'VBP'), ('wait', 'NN'), ('it', 'PRP'), ('be', 'VB'), ('easy', 'JJ'), ('draw', 'JJ'), ('yeah', 'NN'), ('draw', 'VBZ'), ('no', 'DT'), ('draw', 'JJ'), ('make', 'VBP'), ('it', 'PRP'), ('like', 'IN'), ('a', 'DT'), ('camp', 'NN'), ('so', 'IN'), ('that', 'IN'), ('it', 'PRP'), ('roll', 'VBD'), ('up', 'RP'), ('up', 'RP'), ('up', 'RB'), ('then', 'RB'), ('it', 'PRP'), ('roll', 'VBZ'), ('kind', 'NN'), ('kind', 'NN'), ('of', 'IN'), ('like', 'IN'), ('a', 'DT'), ('state', 'NN'), ('park', 'NN'), ('you', 'PRP'), ('know', 'VBP'), ('how', 'WRB'), ('it', 'PRP'), ('go', 'VBP'), ('like', 'IN'), ('this', 'DT'), ('yeah', 'NN'), ('so', 'RB'), ('draw', 'VB'), ('a', 'DT'), ('camp', 'NN'), ('that', 'WDT'), ('go', 'VBP'), ('up', 'RB'), ('and', 'CC'), ('then', 'RB'), ('it', 'PRP'), ('will', 'MD'), ('like', 'VB'), ('keep', 'VB'), ('rolling', 'NN'), ('and', 'CC')]	[('wait', 'VB'), ('wait', 'VB'), ('wait', 'VB'), ('wait', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('easy', 'JJ'), ('draw', 'NN'), ('yeah', 'JJ'), ('draw', 'NN'), ('no', 'DT'), ('draw', 'NN'), ('make', 'VB'), ('it', 'PRP'), ('like', 'IN'), ('a', 'DT'), ('camp', 'NN'), ('so', 'IN'), ('that', 'IN'), ('it', 'PRP'), ('rolls', 'VBZ'), ('up', 'RP'), ('up', 'RB'), ('up', 'RB'), ('then', 'RB'), ('it', 'PRP'), ('rolls', 'VBZ'), ('kind', 'NN'), ('kind', 'NN'), ('of', 'IN'), ('like', 'IN'), ('a', 'DT'), ('state', 'NN'), ('park', 'NN'), ('you', 'PRP'), ('know', 'VBP'), ('how', 'WRB'), ('it', 'PRP'), ('goes', 'VBZ'), ('like', 'IN'), ('this', 'DT'), ('yeah', 'NN'), ('so', 'RB'), ('draw', 'VB'), ('a', 'DT'), ('camp', 'NN'), ('that', 'WDT'), ('goes', 'VBZ'), ('up', 'RB'), ('and', 'CC'), ('then', 'RB'), ('it', 'PRP'), ('will', 'MD'), ('like', 'VB'), ('keep', 'VB'), ('rolling', 'VBG'), ('and', 'CC')]	[('wait', 'VB'), ('wait', 'VB'), ('wait', 'VB'), ('wait', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('easy', 'JJ'), ('draw', 'NN'), ('yeah', 'JJ'), ('draw', 'NN'), ('no', 'DT'), ('draw', 'NN'), ('make', 'VB'), ('it', 'PRP'), ('like', 'IN'), ('a', 'DT'), ('camp', 'NN'), ('so', 'IN'), ('that', 'IN'), ('it', 'PRP'), ('roll', 'VB'), ('up', 'RP'), ('up', 'RP'), ('up', 'RB'), ('then', 'RB'), ('it', 'PRP'), ('roll', 'VB'), ('kind', 'NN'), ('kind', 'NN'), ('of', 'IN'), ('like', 'IN'), ('a', 'DT'), ('state', 'NN'), ('park', 'NN'), ('you', 'PRP'), ('know', 'VBP'), ('how', 'WRB'), ('it', 'PRP'), ('go', 'VB'), ('like', 'IN'), ('this', 'DT'), ('yeah', 'NN'), ('so', 'RB'), ('draw', 'VB'), ('a', 'DT'), ('camp', 'NN'), ('that', 'WDT'), ('go', 'VBP'), ('up', 'RB'), ('and', 'CC'), ('then', 'RB'), ('it', 'PRP'), ('will', 'MD'), ('like', 'VB'), ('keep', 'VB'), ('rolling', 'VBG'), ('and', 'CC')]	ASU-T43_ExpBlock1-CloudyDay.txt
PA:	 maybe that's a little too high	['maybe', 'that', 'is', 'a', 'little', 'too', 'high']	['maybe', 'that', 'be', 'a', 'little', 'too', 'high']	[('maybe', 'RB'), ('that', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('little', 'JJ'), ('too', 'RB'), ('high', 'JJ')]	[('maybe', 'RB'), ('that', 'IN'), ('be', 'VB'), ('a', 'DT'), ('little', 'JJ'), ('too', 'RB'), ('high', 'JJ')]	[('maybe', 'RB'), ('that', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('little', 'JJ'), ('too', 'RB'), ('high', 'JJ')]	[('maybe', 'RB'), ('that', 'IN'), ('be', 'VB'), ('a', 'DT'), ('little', 'JJ'), ('too', 'RB'), ('high', 'JJ')]	ASU-T43_ExpBlock1-CloudyDay.txt
PB:	that works	['that', 'works']	['that', 'work']	[('that', 'DT'), ('works', 'VBZ')]	[('that', 'DT'), ('work', 'NN')]	[('that', 'WDT'), ('works', 'VBZ')]	[('that', 'IN'), ('work', 'NN')]	ASU-T43_ExpBlock1-CloudyDay.txt
PA:	okay so it's control  okay hold on i got to let it 	['okay', 'so', 'it', 'is', 'control', 'okay', 'hold', 'on', 'i', 'got', 'to', 'let', 'it']	['okay', 'so', 'it', 'be', 'control', 'okay', 'hold', 'on', 'i', 'get', 'to', 'let', 'it']	[('okay', 'RB'), ('so', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('control', 'JJ'), ('okay', 'JJ'), ('hold', 'NN'), ('on', 'IN'), ('i', 'JJ'), ('got', 'VBD'), ('to', 'TO'), ('let', 'VB'), ('it', 'PRP')]	[('okay', 'RB'), ('so', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('control', 'VBN'), ('okay', 'JJ'), ('hold', 'NN'), ('on', 'IN'), ('i', 'JJ'), ('get', 'VBP'), ('to', 'TO'), ('let', 'VB'), ('it', 'PRP')]	[('okay', 'JJ'), ('so', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('control', 'JJ'), ('okay', 'JJ'), ('hold', 'NN'), ('on', 'IN'), ('i', 'FW'), ('got', 'VBD'), ('to', 'TO'), ('let', 'VB'), ('it', 'PRP')]	[('okay', 'JJ'), ('so', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('control', 'JJ'), ('okay', 'JJ'), ('hold', 'NN'), ('on', 'IN'), ('i', 'FW'), ('get', 'VB'), ('to', 'TO'), ('let', 'VB'), ('it', 'PRP')]	ASU-T43_ExpBlock1-CloudyDay.txt
PB:	the thing  click it the other way as well like click it both ways so it keeps 	['the', 'thing', 'click', 'it', 'the', 'other', 'way', 'as', 'well', 'like', 'click', 'it', 'both', 'ways', 'so', 'it', 'keeps']	['the', 'thing', 'click', 'it', 'the', 'other', 'way', 'a', 'well', 'like', 'click', 'it', 'both', 'way', 'so', 'it', 'keep']	[('the', 'DT'), ('thing', 'NN'), ('click', 'NN'), ('it', 'PRP'), ('the', 'DT'), ('other', 'JJ'), ('way', 'NN'), ('as', 'IN'), ('well', 'RB'), ('like', 'IN'), ('click', 'NN'), ('it', 'PRP'), ('both', 'DT'), ('ways', 'NNS'), ('so', 'IN'), ('it', 'PRP'), ('keeps', 'VBZ')]	[('the', 'DT'), ('thing', 'NN'), ('click', 'NN'), ('it', 'PRP'), ('the', 'DT'), ('other', 'JJ'), ('way', 'NN'), ('a', 'DT'), ('well', 'NN'), ('like', 'IN'), ('click', 'NN'), ('it', 'PRP'), ('both', 'DT'), ('way', 'NN'), ('so', 'IN'), ('it', 'PRP'), ('keep', 'VB')]	[('the', 'DT'), ('thing', 'NN'), ('click', 'VBP'), ('it', 'PRP'), ('the', 'DT'), ('other', 'JJ'), ('way', 'NN'), ('as', 'RB'), ('well', 'RB'), ('like', 'IN'), ('click', 'VB'), ('it', 'PRP'), ('both', 'DT'), ('ways', 'NNS'), ('so', 'IN'), ('it', 'PRP'), ('keeps', 'VBZ')]	[('the', 'DT'), ('thing', 'NN'), ('click', 'VBP'), ('it', 'PRP'), ('the', 'DT'), ('other', 'JJ'), ('way', 'NN'), ('a', 'DT'), ('well', 'RB'), ('like', 'IN'), ('click', 'VB'), ('it', 'PRP'), ('both', 'DT'), ('way', 'NN'), ('so', 'IN'), ('it', 'PRP'), ('keep', 'VB')]	ASU-T43_ExpBlock1-CloudyDay.txt
PC:	 okay let it fall	['okay', 'let', 'it', 'fall']	['okay', 'let', 'it', 'fall']	[('okay', 'JJ'), ('let', 'VB'), ('it', 'PRP'), ('fall', 'VB')]	[('okay', 'JJ'), ('let', 'VB'), ('it', 'PRP'), ('fall', 'VB')]	[('okay', 'JJ'), ('let', 'VB'), ('it', 'PRP'), ('fall', 'VB')]	[('okay', 'JJ'), ('let', 'VB'), ('it', 'PRP'), ('fall', 'VB')]	ASU-T43_ExpBlock1-CloudyDay.txt
PA:	and let it roll	['and', 'let', 'it', 'roll']	['and', 'let', 'it', 'roll']	[('and', 'CC'), ('let', 'VB'), ('it', 'PRP'), ('roll', 'VB')]	[('and', 'CC'), ('let', 'VB'), ('it', 'PRP'), ('roll', 'VB')]	[('and', 'CC'), ('let', 'VB'), ('it', 'PRP'), ('roll', 'VB')]	[('and', 'CC'), ('let', 'VB'), ('it', 'PRP'), ('roll', 'VB')]	ASU-T43_ExpBlock1-CloudyDay.txt
PB:	i think you need a bigger ramp like the ramp's not tall enough like make the ramp like go up to like the clouds you know what i'm saying	"['i', 'think', 'you', 'need', 'a', 'bigger', 'camp', 'like', 'the', 'camp', ""'s"", 'not', 'tall', 'enough', 'like', 'make', 'the', 'camp', 'like', 'go', 'up', 'to', 'like', 'the', 'clouds', 'you', 'know', 'what', 'i', 'am', 'saying']"	"['i', 'think', 'you', 'need', 'a', 'big', 'camp', 'like', 'the', 'camp', ""'s"", 'not', 'tall', 'enough', 'like', 'make', 'the', 'camp', 'like', 'go', 'up', 'to', 'like', 'the', 'cloud', 'you', 'know', 'what', 'i', 'be', 'say']"	"[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('need', 'VBP'), ('a', 'DT'), ('bigger', 'JJR'), ('camp', 'NN'), ('like', 'IN'), ('the', 'DT'), ('camp', 'NN'), (""'s"", 'POS'), ('not', 'RB'), ('tall', 'JJ'), ('enough', 'RB'), ('like', 'IN'), ('make', 'VB'), ('the', 'DT'), ('camp', 'NN'), ('like', 'IN'), ('go', 'VBP'), ('up', 'RB'), ('to', 'TO'), ('like', 'IN'), ('the', 'DT'), ('clouds', 'NN'), ('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('i', 'VBP'), ('am', 'VBP'), ('saying', 'VBG')]"	"[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('need', 'VBP'), ('a', 'DT'), ('big', 'JJ'), ('camp', 'NN'), ('like', 'IN'), ('the', 'DT'), ('camp', 'NN'), (""'s"", 'POS'), ('not', 'RB'), ('tall', 'JJ'), ('enough', 'RB'), ('like', 'IN'), ('make', 'VB'), ('the', 'DT'), ('camp', 'NN'), ('like', 'IN'), ('go', 'VBP'), ('up', 'RB'), ('to', 'TO'), ('like', 'IN'), ('the', 'DT'), ('cloud', 'NN'), ('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('i', 'JJ'), ('be', 'VB'), ('say', 'VBP')]"	"[('i', 'FW'), ('think', 'VBP'), ('you', 'PRP'), ('need', 'VB'), ('a', 'DT'), ('bigger', 'JJR'), ('camp', 'NN'), ('like', 'IN'), ('the', 'DT'), ('camp', 'NN'), (""'s"", 'POS'), ('not', 'RB'), ('tall', 'JJ'), ('enough', 'RB'), ('like', 'IN'), ('make', 'VB'), ('the', 'DT'), ('camp', 'NN'), ('like', 'IN'), ('go', 'VB'), ('up', 'RP'), ('to', 'TO'), ('like', 'VB'), ('the', 'DT'), ('clouds', 'NNS'), ('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('i', 'FW'), ('am', 'VBP'), ('saying', 'VBG')]"	"[('i', 'FW'), ('think', 'VBP'), ('you', 'PRP'), ('need', 'VB'), ('a', 'DT'), ('big', 'JJ'), ('camp', 'NN'), ('like', 'IN'), ('the', 'DT'), ('camp', 'NN'), (""'s"", 'POS'), ('not', 'RB'), ('tall', 'JJ'), ('enough', 'RB'), ('like', 'IN'), ('make', 'VB'), ('the', 'DT'), ('camp', 'NN'), ('like', 'IN'), ('go', 'VB'), ('up', 'RP'), ('to', 'TO'), ('like', 'VB'), ('the', 'DT'), ('cloud', 'NN'), ('you', 'PRP'), ('know', 'VBP'), ('what', 'WP'), ('i', 'FW'), ('be', 'VB'), ('say', 'VB')]"	ASU-T43_ExpBlock1-CloudyDay.txt
PC:	i think you just have to make it a little bit 	['i', 'think', 'you', 'just', 'have', 'to', 'make', 'it', 'a', 'little', 'bit']	['i', 'think', 'you', 'just', 'have', 'to', 'make', 'it', 'a', 'little', 'bit']	[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('just', 'RB'), ('have', 'VBP'), ('to', 'TO'), ('make', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('little', 'JJ'), ('bit', 'NN')]	[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('just', 'RB'), ('have', 'VBP'), ('to', 'TO'), ('make', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('little', 'JJ'), ('bit', 'NN')]	[('i', 'LS'), ('think', 'VB'), ('you', 'PRP'), ('just', 'RB'), ('have', 'VBP'), ('to', 'TO'), ('make', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('little', 'JJ'), ('bit', 'NN')]	[('i', 'LS'), ('think', 'VB'), ('you', 'PRP'), ('just', 'RB'), ('have', 'VBP'), ('to', 'TO'), ('make', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('little', 'JJ'), ('bit', 'NN')]	ASU-T43_ExpBlock1-CloudyDay.txt
PB:	and steeper yeah so that it like goes  okay yeah tony hawk this	['and', 'sleeper', 'yeah', 'so', 'that', 'it', 'like', 'goes', 'okay', 'yeah', 'tony', 'hawk', 'this']	['and', 'sleeper', 'yeah', 'so', 'that', 'it', 'like', 'go', 'okay', 'yeah', 'tony', 'hawk', 'this']	[('and', 'CC'), ('sleeper', 'JJ'), ('yeah', 'NN'), ('so', 'IN'), ('that', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('goes', 'VBZ'), ('okay', 'RB'), ('yeah', 'JJ'), ('tony', 'JJ'), ('hawk', 'NN'), ('this', 'DT')]	[('and', 'CC'), ('sleeper', 'JJ'), ('yeah', 'NN'), ('so', 'IN'), ('that', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('go', 'VB'), ('okay', 'JJ'), ('yeah', 'NN'), ('tony', 'NN'), ('hawk', 'NN'), ('this', 'DT')]	[('and', 'CC'), ('sleeper', 'NN'), ('yeah', 'VBP'), ('so', 'IN'), ('that', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('goes', 'VBZ'), ('okay', 'JJ'), ('yeah', 'NN'), ('tony', 'JJ'), ('hawk', 'NN'), ('this', 'DT')]	[('and', 'CC'), ('sleeper', 'NN'), ('yeah', 'VBP'), ('so', 'IN'), ('that', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('go', 'VB'), ('okay', 'JJ'), ('yeah', 'JJ'), ('tony', 'JJ'), ('hawk', 'NN'), ('this', 'DT')]	ASU-T43_ExpBlock1-CloudyDay.txt
