participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PA:	maybe put maybe i was gonna say   like pu push it up as far as it'll go and then an object behind it so it like can't roll back further	['maybe', 'put', 'maybe', 'i', 'was', 'on', 'na', 'say', 'like', 'up', 'push', 'it', 'up', 'as', 'far', 'as', 'it', 'will', 'go', 'and', 'then', 'an', 'object', 'behind', 'it', 'so', 'it', 'like', 'can', 'not', 'roll', 'back', 'further']	['maybe', 'put', 'maybe', 'i', 'be', 'on', 'na', 'say', 'like', 'up', 'push', 'it', 'up', 'as', 'far', 'a', 'it', 'will', 'go', 'and', 'then', 'an', 'object', 'behind', 'it', 'so', 'it', 'like', 'can', 'not', 'roll', 'back', 'far']	[('maybe', 'RB'), ('put', 'VBD'), ('maybe', 'RB'), ('i', 'NN'), ('was', 'VBD'), ('on', 'IN'), ('na', 'NNS'), ('say', 'VBP'), ('like', 'IN'), ('up', 'RP'), ('push', 'NN'), ('it', 'PRP'), ('up', 'RP'), ('as', 'RB'), ('far', 'RB'), ('as', 'IN'), ('it', 'PRP'), ('will', 'MD'), ('go', 'VB'), ('and', 'CC'), ('then', 'RB'), ('an', 'DT'), ('object', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('so', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('can', 'MD'), ('not', 'RB'), ('roll', 'VB'), ('back', 'RB'), ('further', 'RB')]	[('maybe', 'RB'), ('put', 'VBD'), ('maybe', 'RB'), ('i', 'JJ'), ('be', 'VB'), ('on', 'IN'), ('na', 'NNS'), ('say', 'VBP'), ('like', 'IN'), ('up', 'RP'), ('push', 'NN'), ('it', 'PRP'), ('up', 'RP'), ('as', 'IN'), ('far', 'RB'), ('a', 'DT'), ('it', 'PRP'), ('will', 'MD'), ('go', 'VB'), ('and', 'CC'), ('then', 'RB'), ('an', 'DT'), ('object', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('so', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('can', 'MD'), ('not', 'RB'), ('roll', 'VB'), ('back', 'RB'), ('far', 'RB')]	[('maybe', 'RB'), ('put', 'VBN'), ('maybe', 'RB'), ('i', 'FW'), ('was', 'VBD'), ('on', 'IN'), ('na', 'TO'), ('say', 'VB'), ('like', 'IN'), ('up', 'RB'), ('push', 'VB'), ('it', 'PRP'), ('up', 'RP'), ('as', 'RB'), ('far', 'RB'), ('as', 'IN'), ('it', 'PRP'), ('will', 'MD'), ('go', 'VB'), ('and', 'CC'), ('then', 'RB'), ('an', 'DT'), ('object', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('so', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('can', 'MD'), ('not', 'RB'), ('roll', 'VB'), ('back', 'RB'), ('further', 'RB')]	[('maybe', 'RB'), ('put', 'VBN'), ('maybe', 'RB'), ('i', 'FW'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('say', 'VB'), ('like', 'IN'), ('up', 'RB'), ('push', 'VB'), ('it', 'PRP'), ('up', 'RP'), ('as', 'IN'), ('far', 'RB'), ('a', 'DT'), ('it', 'PRP'), ('will', 'MD'), ('go', 'VB'), ('and', 'CC'), ('then', 'RB'), ('an', 'DT'), ('object', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('so', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('can', 'MD'), ('not', 'RB'), ('roll', 'VB'), ('back', 'RB'), ('far', 'RB')]	ASU-T10_ExpBlock2-CloudyDay.txt
PB:	yeah that too	['yeah', 'that', 'too']	['yeah', 'that', 'too']	[('yeah', 'NN'), ('that', 'WDT'), ('too', 'RB')]	[('yeah', 'NN'), ('that', 'WDT'), ('too', 'RB')]	[('yeah', 'NN'), ('that', 'WDT'), ('too', 'RB')]	[('yeah', 'NN'), ('that', 'WDT'), ('too', 'RB')]	ASU-T10_ExpBlock2-CloudyDay.txt
PC:	  it rolls back too fast	['it', 'rolls', 'back', 'too', 'fast']	['it', 'roll', 'back', 'too', 'fast']	[('it', 'PRP'), ('rolls', 'VBZ'), ('back', 'RB'), ('too', 'RB'), ('fast', 'JJ')]	[('it', 'PRP'), ('roll', 'VBD'), ('back', 'RB'), ('too', 'RB'), ('fast', 'JJ')]	[('it', 'PRP'), ('rolls', 'VBZ'), ('back', 'RB'), ('too', 'RB'), ('fast', 'JJ')]	[('it', 'PRP'), ('roll', 'VBP'), ('back', 'RB'), ('too', 'RB'), ('fast', 'JJ')]	ASU-T10_ExpBlock2-CloudyDay.txt
PB:	yeah push another make a heavy thing behind it and push it up or something	['yeah', 'push', 'another', 'make', 'a', 'heavy', 'thing', 'behind', 'it', 'and', 'push', 'it', 'up', 'or', 'something']	['yeah', 'push', 'another', 'make', 'a', 'heavy', 'thing', 'behind', 'it', 'and', 'push', 'it', 'up', 'or', 'something']	[('yeah', 'RB'), ('push', 'NN'), ('another', 'DT'), ('make', 'VBP'), ('a', 'DT'), ('heavy', 'JJ'), ('thing', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('and', 'CC'), ('push', 'VB'), ('it', 'PRP'), ('up', 'RP'), ('or', 'CC'), ('something', 'NN')]	[('yeah', 'RB'), ('push', 'NN'), ('another', 'DT'), ('make', 'VBP'), ('a', 'DT'), ('heavy', 'JJ'), ('thing', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('and', 'CC'), ('push', 'VB'), ('it', 'PRP'), ('up', 'RP'), ('or', 'CC'), ('something', 'NN')]	[('yeah', 'JJ'), ('push', 'NN'), ('another', 'DT'), ('make', 'VBP'), ('a', 'DT'), ('heavy', 'JJ'), ('thing', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('and', 'CC'), ('push', 'VB'), ('it', 'PRP'), ('up', 'RP'), ('or', 'CC'), ('something', 'NN')]	[('yeah', 'JJ'), ('push', 'NN'), ('another', 'DT'), ('make', 'VBP'), ('a', 'DT'), ('heavy', 'JJ'), ('thing', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('and', 'CC'), ('push', 'VB'), ('it', 'PRP'), ('up', 'RP'), ('or', 'CC'), ('something', 'NN')]	ASU-T10_ExpBlock2-CloudyDay.txt
PC:	make a heavy thing behind it like a it's just look at it going for this balloon	['make', 'a', 'heavy', 'thing', 'behind', 'it', 'like', 'a', 'it', 'is', 'just', 'look', 'at', 'it', 'going', 'for', 'this', 'balloon']	['make', 'a', 'heavy', 'thing', 'behind', 'it', 'like', 'a', 'it', 'be', 'just', 'look', 'at', 'it', 'go', 'for', 'this', 'balloon']	[('make', 'VB'), ('a', 'DT'), ('heavy', 'JJ'), ('thing', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('a', 'DT'), ('it', 'PRP'), ('is', 'VBZ'), ('just', 'RB'), ('look', 'NN'), ('at', 'IN'), ('it', 'PRP'), ('going', 'VBG'), ('for', 'IN'), ('this', 'DT'), ('balloon', 'NN')]	[('make', 'VB'), ('a', 'DT'), ('heavy', 'JJ'), ('thing', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('a', 'DT'), ('it', 'PRP'), ('be', 'VB'), ('just', 'RB'), ('look', 'NN'), ('at', 'IN'), ('it', 'PRP'), ('go', 'VB'), ('for', 'IN'), ('this', 'DT'), ('balloon', 'NN')]	[('make', 'VB'), ('a', 'DT'), ('heavy', 'JJ'), ('thing', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('a', 'DT'), ('it', 'PRP'), ('is', 'VBZ'), ('just', 'RB'), ('look', 'VB'), ('at', 'IN'), ('it', 'PRP'), ('going', 'VBG'), ('for', 'IN'), ('this', 'DT'), ('balloon', 'NN')]	[('make', 'VB'), ('a', 'DT'), ('heavy', 'JJ'), ('thing', 'NN'), ('behind', 'IN'), ('it', 'PRP'), ('like', 'IN'), ('a', 'DT'), ('it', 'PRP'), ('be', 'VB'), ('just', 'RB'), ('look', 'VB'), ('at', 'IN'), ('it', 'PRP'), ('go', 'VB'), ('for', 'IN'), ('this', 'DT'), ('balloon', 'NN')]	ASU-T10_ExpBlock2-CloudyDay.txt
PA:	draw an object like a little bit further	['draw', 'an', 'object', 'like', 'a', 'little', 'bit', 'further']	['draw', 'an', 'object', 'like', 'a', 'little', 'bit', 'far']	[('draw', 'VB'), ('an', 'DT'), ('object', 'NN'), ('like', 'IN'), ('a', 'DT'), ('little', 'JJ'), ('bit', 'NN'), ('further', 'RBR')]	[('draw', 'VB'), ('an', 'DT'), ('object', 'NN'), ('like', 'IN'), ('a', 'DT'), ('little', 'JJ'), ('bit', 'NN'), ('far', 'RB')]	[('draw', 'VB'), ('an', 'DT'), ('object', 'NN'), ('like', 'IN'), ('a', 'DT'), ('little', 'JJ'), ('bit', 'NN'), ('further', 'JJ')]	[('draw', 'VB'), ('an', 'DT'), ('object', 'NN'), ('like', 'IN'), ('a', 'DT'), ('little', 'JJ'), ('bit', 'NN'), ('far', 'RB')]	ASU-T10_ExpBlock2-CloudyDay.txt
PB:	 that's easy	['that', 'is', 'easy']	['that', 'be', 'easy']	[('that', 'DT'), ('is', 'VBZ'), ('easy', 'JJ')]	[('that', 'DT'), ('be', 'VB'), ('easy', 'JJ')]	[('that', 'DT'), ('is', 'VBZ'), ('easy', 'JJ')]	[('that', 'IN'), ('be', 'VB'), ('easy', 'JJ')]	ASU-T10_ExpBlock2-CloudyDay.txt
PC:	what the heck	['what', 'the', 'neck']	['what', 'the', 'neck']	[('what', 'WP'), ('the', 'DT'), ('neck', 'NN')]	[('what', 'WP'), ('the', 'DT'), ('neck', 'NN')]	[('what', 'WP'), ('the', 'DT'), ('neck', 'NN')]	[('what', 'WP'), ('the', 'DT'), ('neck', 'NN')]	ASU-T10_ExpBlock2-CloudyDay.txt
PA:	why was that so easy	['why', 'was', 'that', 'so', 'easy']	['why', 'be', 'that', 'so', 'easy']	[('why', 'WRB'), ('was', 'VBD'), ('that', 'IN'), ('so', 'RB'), ('easy', 'JJ')]	[('why', 'WRB'), ('be', 'VB'), ('that', 'DT'), ('so', 'RB'), ('easy', 'JJ')]	[('why', 'WRB'), ('was', 'VBD'), ('that', 'DT'), ('so', 'RB'), ('easy', 'JJ')]	[('why', 'WRB'), ('be', 'VB'), ('that', 'DT'), ('so', 'RB'), ('easy', 'JJ')]	ASU-T10_ExpBlock2-CloudyDay.txt
PC:	i don't know do you think that this one will be the same	['i', 'do', 'not', 'know', 'do', 'you', 'think', 'that', 'this', 'one', 'will', 'be', 'the', 'same']	['i', 'do', 'not', 'know', 'do', 'you', 'think', 'that', 'this', 'one', 'will', 'be', 'the', 'same']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('that', 'IN'), ('this', 'DT'), ('one', 'CD'), ('will', 'MD'), ('be', 'VB'), ('the', 'DT'), ('same', 'JJ')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('that', 'IN'), ('this', 'DT'), ('one', 'CD'), ('will', 'MD'), ('be', 'VB'), ('the', 'DT'), ('same', 'JJ')]	[('i', 'LS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('do', 'VB'), ('you', 'PRP'), ('think', 'VB'), ('that', 'IN'), ('this', 'DT'), ('one', 'CD'), ('will', 'MD'), ('be', 'VB'), ('the', 'DT'), ('same', 'JJ')]	[('i', 'LS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('do', 'VB'), ('you', 'PRP'), ('think', 'VB'), ('that', 'IN'), ('this', 'DT'), ('one', 'CD'), ('will', 'MD'), ('be', 'VB'), ('the', 'DT'), ('same', 'JJ')]	ASU-T10_ExpBlock2-CloudyDay.txt
