participant	content	token	lemma	tagged_token	tagged_lemma	tagged_stan_token	tagged_stan_lemma	file
PC:	i thought that maybe that would do something	['i', 'thought', 'that', 'maybe', 'that', 'would', 'do', 'something']	['i', 'think', 'that', 'maybe', 'that', 'would', 'do', 'something']	[('i', 'NN'), ('thought', 'VBD'), ('that', 'IN'), ('maybe', 'NN'), ('that', 'WDT'), ('would', 'MD'), ('do', 'VB'), ('something', 'NN')]	[('i', 'NN'), ('think', 'VBP'), ('that', 'IN'), ('maybe', 'RB'), ('that', 'DT'), ('would', 'MD'), ('do', 'VB'), ('something', 'NN')]	[('i', 'LS'), ('thought', 'VBD'), ('that', 'IN'), ('maybe', 'RB'), ('that', 'DT'), ('would', 'MD'), ('do', 'VB'), ('something', 'NN')]	[('i', 'FW'), ('think', 'VBP'), ('that', 'IN'), ('maybe', 'RB'), ('that', 'DT'), ('would', 'MD'), ('do', 'VB'), ('something', 'NN')]	ASU-T10_ExpBlock2-DolphinShow.txt
PA:	i think you have to c maybe close it and it will work you didn't close the circle all the way	['i', 'think', 'you', 'have', 'to', 'c', 'maybe', 'close', 'it', 'and', 'it', 'will', 'work', 'you', 'did', 'not', 'close', 'the', 'circle', 'all', 'the', 'way']	['i', 'think', 'you', 'have', 'to', 'c', 'maybe', 'close', 'it', 'and', 'it', 'will', 'work', 'you', 'do', 'not', 'close', 'the', 'circle', 'all', 'the', 'way']	[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('c', 'VB'), ('maybe', 'RB'), ('close', 'JJ'), ('it', 'PRP'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('work', 'VB'), ('you', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('close', 'VB'), ('the', 'DT'), ('circle', 'NN'), ('all', 'PDT'), ('the', 'DT'), ('way', 'NN')]	[('i', 'NN'), ('think', 'VBP'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('c', 'VB'), ('maybe', 'RB'), ('close', 'JJ'), ('it', 'PRP'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('work', 'VB'), ('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('close', 'VB'), ('the', 'DT'), ('circle', 'NN'), ('all', 'PDT'), ('the', 'DT'), ('way', 'NN')]	[('i', 'LS'), ('think', 'VB'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('c', 'NN'), ('maybe', 'RB'), ('close', 'RB'), ('it', 'PRP'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('work', 'VB'), ('you', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('close', 'VB'), ('the', 'DT'), ('circle', 'NN'), ('all', 'PDT'), ('the', 'DT'), ('way', 'NN')]	[('i', 'LS'), ('think', 'VB'), ('you', 'PRP'), ('have', 'VBP'), ('to', 'TO'), ('c', 'NN'), ('maybe', 'RB'), ('close', 'RB'), ('it', 'PRP'), ('and', 'CC'), ('it', 'PRP'), ('will', 'MD'), ('work', 'VB'), ('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('close', 'VB'), ('the', 'DT'), ('circle', 'NN'), ('all', 'PDT'), ('the', 'DT'), ('way', 'NN')]	ASU-T10_ExpBlock2-DolphinShow.txt
PC:	should i restart this it's like down there	['should', 'i', 'start', 'this', 'it', 'is', 'like', 'down', 'there']	['should', 'i', 'start', 'this', 'it', 'be', 'like', 'down', 'there']	[('should', 'MD'), ('i', 'VB'), ('start', 'VB'), ('this', 'DT'), ('it', 'PRP'), ('is', 'VBZ'), ('like', 'IN'), ('down', 'IN'), ('there', 'EX')]	[('should', 'MD'), ('i', 'VB'), ('start', 'VB'), ('this', 'DT'), ('it', 'PRP'), ('be', 'VB'), ('like', 'IN'), ('down', 'RB'), ('there', 'EX')]	[('should', 'MD'), ('i', 'FW'), ('start', 'VB'), ('this', 'DT'), ('it', 'PRP'), ('is', 'VBZ'), ('like', 'IN'), ('down', 'RB'), ('there', 'RB')]	[('should', 'MD'), ('i', 'FW'), ('start', 'VB'), ('this', 'DT'), ('it', 'PRP'), ('be', 'VB'), ('like', 'IN'), ('down', 'RB'), ('there', 'RB')]	ASU-T10_ExpBlock2-DolphinShow.txt
PA:	yeah i would just restart it	['yeah', 'i', 'would', 'just', 'start', 'it']	['yeah', 'i', 'would', 'just', 'start', 'it']	[('yeah', 'NN'), ('i', 'NN'), ('would', 'MD'), ('just', 'RB'), ('start', 'VB'), ('it', 'PRP')]	[('yeah', 'NN'), ('i', 'NN'), ('would', 'MD'), ('just', 'RB'), ('start', 'VB'), ('it', 'PRP')]	[('yeah', 'JJ'), ('i', 'FW'), ('would', 'MD'), ('just', 'RB'), ('start', 'VB'), ('it', 'PRP')]	[('yeah', 'JJ'), ('i', 'FW'), ('would', 'MD'), ('just', 'RB'), ('start', 'VB'), ('it', 'PRP')]	ASU-T10_ExpBlock2-DolphinShow.txt
PC:	okay now what  	['okay', 'now', 'what']	['okay', 'now', 'what']	[('okay', 'RB'), ('now', 'RB'), ('what', 'WP')]	[('okay', 'RB'), ('now', 'RB'), ('what', 'WP')]	[('okay', 'JJ'), ('now', 'RB'), ('what', 'WP')]	[('okay', 'JJ'), ('now', 'RB'), ('what', 'WP')]	ASU-T10_ExpBlock2-DolphinShow.txt
PA:	you didn't close it	['you', 'did', 'not', 'close', 'it']	['you', 'do', 'not', 'close', 'it']	[('you', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('close', 'VB'), ('it', 'PRP')]	[('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('close', 'VB'), ('it', 'PRP')]	[('you', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('close', 'VB'), ('it', 'PRP')]	[('you', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('close', 'VB'), ('it', 'PRP')]	ASU-T10_ExpBlock2-DolphinShow.txt
PC:	yeah but what does it matter if i close it	['yeah', 'but', 'what', 'does', 'it', 'matter', 'if', 'i', 'close', 'it']	['yeah', 'but', 'what', 'do', 'it', 'matter', 'if', 'i', 'close', 'it']	[('yeah', 'NN'), ('but', 'CC'), ('what', 'WP'), ('does', 'VBZ'), ('it', 'PRP'), ('matter', 'VB'), ('if', 'IN'), ('i', 'RB'), ('close', 'VBP'), ('it', 'PRP')]	[('yeah', 'NN'), ('but', 'CC'), ('what', 'WP'), ('do', 'VBP'), ('it', 'PRP'), ('matter', 'VB'), ('if', 'IN'), ('i', 'RB'), ('close', 'VBP'), ('it', 'PRP')]	[('yeah', 'NN'), ('but', 'CC'), ('what', 'WP'), ('does', 'VBZ'), ('it', 'PRP'), ('matter', 'VB'), ('if', 'IN'), ('i', 'FW'), ('close', 'VB'), ('it', 'PRP')]	[('yeah', 'NN'), ('but', 'CC'), ('what', 'WP'), ('do', 'VBP'), ('it', 'PRP'), ('matter', 'VB'), ('if', 'IN'), ('i', 'FW'), ('close', 'VB'), ('it', 'PRP')]	ASU-T10_ExpBlock2-DolphinShow.txt
PA:	 we could make another pendulum and it could swing up to it	['we', 'could', 'make', 'another', 'pendulum', 'and', 'it', 'could', 'swing', 'up', 'to', 'it']	['we', 'could', 'make', 'another', 'pendulum', 'and', 'it', 'could', 'swing', 'up', 'to', 'it']	[('we', 'PRP'), ('could', 'MD'), ('make', 'VB'), ('another', 'DT'), ('pendulum', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('could', 'MD'), ('swing', 'VB'), ('up', 'RP'), ('to', 'TO'), ('it', 'PRP')]	[('we', 'PRP'), ('could', 'MD'), ('make', 'VB'), ('another', 'DT'), ('pendulum', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('could', 'MD'), ('swing', 'VB'), ('up', 'RP'), ('to', 'TO'), ('it', 'PRP')]	[('we', 'PRP'), ('could', 'MD'), ('make', 'VB'), ('another', 'DT'), ('pendulum', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('could', 'MD'), ('swing', 'VB'), ('up', 'RP'), ('to', 'TO'), ('it', 'PRP')]	[('we', 'PRP'), ('could', 'MD'), ('make', 'VB'), ('another', 'DT'), ('pendulum', 'NN'), ('and', 'CC'), ('it', 'PRP'), ('could', 'MD'), ('swing', 'VB'), ('up', 'RP'), ('to', 'TO'), ('it', 'PRP')]	ASU-T10_ExpBlock2-DolphinShow.txt
PC:	okay okay	['okay', 'okay']	['okay', 'okay']	[('okay', 'NN'), ('okay', 'NN')]	[('okay', 'NN'), ('okay', 'NN')]	[('okay', 'JJ'), ('okay', 'JJ')]	[('okay', 'JJ'), ('okay', 'JJ')]	ASU-T10_ExpBlock2-DolphinShow.txt
PB:	you're gonna have to swing up somehow	['you', 'are', 'on', 'na', 'have', 'to', 'swing', 'up', 'somehow']	['you', 'be', 'on', 'na', 'have', 'to', 'swing', 'up', 'somehow']	[('you', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'NNS'), ('have', 'VBP'), ('to', 'TO'), ('swing', 'VBG'), ('up', 'RP'), ('somehow', 'RB')]	[('you', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'NNS'), ('have', 'VBP'), ('to', 'TO'), ('swing', 'VBG'), ('up', 'RP'), ('somehow', 'RB')]	[('you', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'TO'), ('have', 'VB'), ('to', 'TO'), ('swing', 'VB'), ('up', 'RP'), ('somehow', 'RB')]	[('you', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('have', 'VB'), ('to', 'TO'), ('swing', 'VB'), ('up', 'RP'), ('somehow', 'RB')]	ASU-T10_ExpBlock2-DolphinShow.txt
PC:	 well i don't really know how we're gonna get it to swing regardless though   'cause it's gonna be heavy	['well', 'i', 'do', 'not', 'really', 'know', 'how', 'we', 'are', 'on', 'na', 'get', 'it', 'to', 'swing', 'regardless', 'though', 'because', 'it', 'is', 'on', 'na', 'be', 'heavy']	['well', 'i', 'do', 'not', 'really', 'know', 'how', 'we', 'be', 'on', 'na', 'get', 'it', 'to', 'swing', 'regardless', 'though', 'because', 'it', 'be', 'on', 'na', 'be', 'heavy']	[('well', 'RB'), ('i', 'RB'), ('do', 'VBP'), ('not', 'RB'), ('really', 'RB'), ('know', 'VB'), ('how', 'WRB'), ('we', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'NNS'), ('get', 'VBP'), ('it', 'PRP'), ('to', 'TO'), ('swing', 'VBG'), ('regardless', 'RB'), ('though', 'IN'), ('because', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('on', 'IN'), ('na', 'NN'), ('be', 'VB'), ('heavy', 'JJ')]	[('well', 'RB'), ('i', 'RB'), ('do', 'VBP'), ('not', 'RB'), ('really', 'RB'), ('know', 'VB'), ('how', 'WRB'), ('we', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'JJ'), ('get', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('swing', 'VBG'), ('regardless', 'RB'), ('though', 'IN'), ('because', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'JJ'), ('be', 'VB'), ('heavy', 'JJ')]	[('well', 'RB'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('really', 'RB'), ('know', 'VB'), ('how', 'WRB'), ('we', 'PRP'), ('are', 'VBP'), ('on', 'IN'), ('na', 'TO'), ('get', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('swing', 'VB'), ('regardless', 'RB'), ('though', 'RB'), ('because', 'IN'), ('it', 'PRP'), ('is', 'VBZ'), ('on', 'IN'), ('na', 'TO'), ('be', 'VB'), ('heavy', 'JJ')]	[('well', 'RB'), ('i', 'FW'), ('do', 'VBP'), ('not', 'RB'), ('really', 'RB'), ('know', 'VB'), ('how', 'WRB'), ('we', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('get', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('swing', 'VB'), ('regardless', 'RB'), ('though', 'RB'), ('because', 'IN'), ('it', 'PRP'), ('be', 'VB'), ('on', 'IN'), ('na', 'TO'), ('be', 'VB'), ('heavy', 'JJ')]	ASU-T10_ExpBlock2-DolphinShow.txt
PA:	maybe pin it to like that blue wave	['maybe', 'pin', 'it', 'to', 'like', 'that', 'blue', 'wave']	['maybe', 'pin', 'it', 'to', 'like', 'that', 'blue', 'wave']	[('maybe', 'RB'), ('pin', 'VBZ'), ('it', 'PRP'), ('to', 'TO'), ('like', 'VB'), ('that', 'DT'), ('blue', 'NN'), ('wave', 'VBP')]	[('maybe', 'RB'), ('pin', 'VBZ'), ('it', 'PRP'), ('to', 'TO'), ('like', 'VB'), ('that', 'DT'), ('blue', 'NN'), ('wave', 'VBP')]	[('maybe', 'RB'), ('pin', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('like', 'VB'), ('that', 'IN'), ('blue', 'JJ'), ('wave', 'NN')]	[('maybe', 'RB'), ('pin', 'VB'), ('it', 'PRP'), ('to', 'TO'), ('like', 'VB'), ('that', 'IN'), ('blue', 'JJ'), ('wave', 'NN')]	ASU-T10_ExpBlock2-DolphinShow.txt
PC:	this one	['this', 'one']	['this', 'one']	[('this', 'DT'), ('one', 'NN')]	[('this', 'DT'), ('one', 'NN')]	[('this', 'DT'), ('one', 'CD')]	[('this', 'DT'), ('one', 'CD')]	ASU-T10_ExpBlock2-DolphinShow.txt
